S.No,DISTRICT,PANCHAYAT SAMITI,CATEGORY,ELECTED MEMBERS,PARTY,VOTE SECURED,NEAREST RIVAL,PARTY,VOTE SECURED,MARGIN,REMARKS
,,UNIARA,GEN,KAILASH CHAND,BJP,9,MANUENDRA SINGH,INC,8,1,
32,UDAIPUR,BADGAON,ST W,BHAGWAN LAL,INC,10,LOGAR LAL,BJP,5,5,
,,BHINDER,GEN,KARAN SINGH,INC,13,PURUSHOTTAM,BJP,12,1,
,,DHARIYAWAD,ST W,SMT.VARJA,BJP,18,SMT. VIMLESH,IND,7,11,
,,GIRWA,GEN W,SMT. NIRMLA DEVI,INC,,,,,,UNCONTESTED
,,GOGUNDA,ST W,GANGLI (GANGA),INC,,,,,,UNCONTESTED
,,JHADOL,ST,PREM CHAND,INC,17,SUNDER,BJP,5,12,
,,KHERWARA,ST W,SMT. NERUPA,INC,22,SMT. LAJWANTI,BJP,6,16,
,,KOTRA,ST,BABU LAL,BJP,12,LAXMI LAL,INC,9,3,
,,MAVALI,OBC,HUKMI CHAND DANGI,INC,12,HEERA LAL,BJP,11,1,
,,SALUMBER,ST,DEVI LAL,INC,21,UDAI LAL,BJP,4,17,
,,SARADA,ST,NARENDRA KUMAR,INC,,,,,,UNCONTESTED
