SR. NO.,DISTRICT,NAME OF PANCHAYAT SAMITI,NAME OF GRAM PANCHAYAT,WARD CATEGORY,NAME OF ELECTED SARP ANCH,WINNING CANDIDAES CATEGORY
6946,KARAULI,KAURALI,KHOHRI,General (Woman),KUSUM,SC (Woman)
6947,KARAULI,NADOTI,BADAGAON,SC,SHYAMLAL VARGI,SC
6948,KARAULI,NADOTI,BADARAJPUR,General,SEEMA MEENA,ST (Woman)
6949,KARAULI,NADOTI,BAGOR,General,SURENDRA SINGH DHAKAD,OBC
6950,KARAULI,NADOTI,BARDALA,SC (Woman),SUMITRA MHAVAR,SC (Woman)
6951,KARAULI,NADOTI,BHEELP ADA,General (Woman),SANJU RANI,OBC (Woman)
6952,KARAULI,NADOTI,CHIRAVANDA,General,HARET LAL GURJAR,OBC
6953,KARAULI,NADOTI,DALPURA,ST,SHRIPHAL MEENA,ST
6954,KARAULI,NADOTI,DHARIYA,ST (Woman),SUNIT A,ST (Woman)
6955,KARAULI,NADOTI,DHOLET A,General,LAXMAN,OBC
6956,KARAULI,NADOTI,GADHKHEDA,ST (Woman),ANITA MEENA,ST (Woman)
6957,KARAULI,NADOTI,GADHMORA,ST,BRIJLAL MINA,ST
6958,KARAULI,NADOTI,GUDACHANDRAJI,SC,RADHESHYAM KHATIK,SC
6959,KARAULI,NADOTI,JEETKIPUR,OBC,VIKRAM SINGH GURJAR,OBC
6960,KARAULI,NADOTI,KEMA,ST,SHANKUNTLA MEENA,ST (Woman)
6961,KARAULI,NADOTI,KEML A,ST,PYARELAL MEENA,ST
6962,KARAULI,NADOTI,KEMRI,General (Woman),KAMLESH GURJAR,OBC (Woman)
6963,KARAULI,NADOTI,KUNJELA,SC,PAPPURAM MAHAWAR,SC
6964,KARAULI,NADOTI,MENDKAPURA,General,HANSRAJ,OBC
6965,KARAULI,NADOTI,NADOTI,OBC (Woman),PARVEEN BANO,OBC (Woman)
6966,KARAULI,NADOTI,P ALANPUR,General (Woman),GUDDI DEVI,OBC (Woman)
6967,KARAULI,NADOTI,RAJAHEDA,General (Woman),RAKAMBAI GUJAR,OBC (Woman)
6968,KARAULI,NADOTI,RAYSNA,SC (Woman),SHANKUNTLA MHAVAR,SC (Woman)
6969,KARAULI,NADOTI,RONSI,General (Woman),SUNIT A,OBC (Woman)
6970,KARAULI,NADOTI,SAHAR,General (Woman),DEEPIKA DIKSHIT,General (Woman)
6971,KARAULI,NADOTI,SALAWAD,General,VIJAY SINGH JANKAWAT PURVIYA,General
6972,KARAULI,NADOTI,SOP,SC (Woman),RUKMANI DHOBI,SC (Woman)
6973,KARAULI,NADOTI,T ALCHIDA,ST (Woman),SARITA DEVI,ST (Woman)
6974,KARAULI,NADOTI,TESGAON,General (Woman),RAMSAKHI,OBC (Woman)
6975,KARAULI,NADOTI,TIMAWA,General,KALYARAM,ST
6976,KARAULI,SAPOTRA,AMARGARH,SC (Woman),SURESH BAI BAIRWA,SC (Woman)
6977,KARAULI,SAPOTRA,AMARW AD,SC (Woman),NEERAJ,SC (Woman)
6978,KARAULI,SAPOTRA,BAGIDA,General,GIRRAJ SARAN,General
6979,KARAULI,SAPOTRA,BALOTI,SC,RAMKANYA,SC (Woman)
6980,KARAULI,SAPOTRA,BANJANA,ST (Woman),SAMAY BAI MEENA,ST (Woman)
6981,KARAULI,SAPOTRA,BAPOTI,SC,MOHAN LAL BAIRWA,SC
6982,KARAULI,SAPOTRA,BARODA,ST (Woman),KOSHALYA MEENA,ST (Woman)
6983,KARAULI,SAPOTRA,BHARTUN,ST (Woman),ASMIN MEENA,ST (Woman)
6984,KARAULI,SAPOTRA,BUKNA,SC (Woman),GORDHANI MANAWAR,SC
6985,KARAULI,SAPOTRA,CHODA GAON,ST (Woman),SIMLA DEVI MEENA,ST (Woman)
6986,KARAULI,SAPOTRA,DABRA,General,BHARAT LAL MEENA,ST
6987,KARAULI,SAPOTRA,DIKOLIKALAN,General (Woman),RAMOTI MEENA,ST (Woman)
6988,KARAULI,SAPOTRA,DOLATPURA,ST,RAM LAKHAN MEENA,ST
6989,KARAULI,SAPOTRA,EKAT,General (Woman),GUDDI DEVI MEENA,ST
6990,KARAULI,SAPOTRA,GAJJUPURA,OBC,MUKESH PRAJAPAT,OBC
6991,KARAULI,SAPOTRA,GOTHRA,General,MUKESH CHAND MEENA,ST
6992,KARAULI,SAPOTRA,HADOTI,ST,MUNIRAJ MEENA,ST
6993,KARAULI,SAPOTRA,HARIYA KA MANDIR,General (Woman),USHA KUMARI MEENA,ST (Woman)
6994,KARAULI,SAPOTRA,INAYATI,General (Woman),LAKHAN BAI MEENA,ST (Woman)
6995,KARAULI,SAPOTRA,JAKHODA,ST,SHRI LAL MEENA,ST
6996,KARAULI,SAPOTRA,JEEROT A,General (Woman),BAVLI BANO,OBC (Woman)
6997,KARAULI,SAPOTRA,JODLI,SC,BHARAT LAL BAIRWA,SC
6998,KARAULI,SAPOTRA,KACHRODA,General,KAMAR SINGH MEENA,ST
6999,KARAULI,SAPOTRA,KALAGUDA,ST,BATTI LAL MEENA,ST
7000,KARAULI,SAPOTRA,KHEDL A,ST,HANSRAJ MEENA,ST
7001,KARAULI,SAPOTRA,KUDGAON,SC,SURENDRA KUMAR BAIRWA,SC
7002,KARAULI,SAPOTRA,LEDIYA,General,JAGDISH MEENA,ST
7003,KARAULI,SAPOTRA,LULOJ,General,GHANSHYAM MEENA,ST
7004,KARAULI,SAPOTRA,MAHMEDPUR,ST (Woman),SHANTI DEVI MEENA,ST (Woman)
7005,KARAULI,SAPOTRA,NAROLIDOG,ST,PRITHVI RAJ MEENA,ST
7006,KARAULI,SAPOTRA,NIBHERA,General,GAYATRI SHARMA,General
7007,KARAULI,SAPOTRA,ODACH,SC,ASHA RAM,SC
7008,KARAULI,SAPOTRA,SALEMPURA,ST (Woman),VINITA MEENA,ST (Woman)
7009,KARAULI,SAPOTRA,SAPOTRA,ST,ROOPRAM MEENA,ST
7010,KARAULI,TODABHIM,AJIJPUR,SC (Woman),GUDDI DEVI,SC (Woman)
7011,KARAULI,TODABHIM,BALGHAT,ST (Woman),PRAKASHI DEVI,ST (Woman)
7012,KARAULI,TODABHIM,BHAJEDA,General (Woman),LEKHA SHARMA,General (Woman)
7013,KARAULI,TODABHIM,BHANAKPURA,ST,DAYA RAM MEENA,ST
7014,KARAULI,TODABHIM,BHANDARIAND,ST (Woman),POONAM KUMARI,ST (Woman)
7015,KARAULI,TODABHIM,BHOPUR,ST (Woman),RAJNI DEVI,ST (Woman)
7016,KARAULI,TODABHIM,BOOL,General (Woman),SAGAR BAI MEENA,ST (Woman)
7017,KARAULI,TODABHIM,DEVLEN,General,PARVAT SINGH,OBC
7018,KARAULI,TODABHIM,DHAVAN,ST (Woman),MEENA KUMARI MEENA,ST (Woman)
7019,KARAULI,TODABHIM,GORDA,ST (Woman),NIRMALA DEVI,ST (Woman)
7020,KARAULI,TODABHIM,JAGDISHPURA,OBC,HARSAHAI GURJAR,OBC
7021,KARAULI,TODABHIM,JAUL,SC,VIRENDRA SINGH JATAV,SC
7022,KARAULI,TODABHIM,JHADISA,General,VEENA DEVI,OBC (Woman)
7023,KARAULI,TODABHIM,KAMALPURA,ST,PRATHVI RAJ MEENA,ST
7024,KARAULI,TODABHIM,KANJOLI,ST,RAMNIVAS MEENA,ST
7025,KARAULI,TODABHIM,KATARA AJEEJ,SC,BANE SINGH,SC
7026,KARAULI,TODABHIM,KHEDI,ST (Woman),SUNITA MEENA,ST (Woman)
7027,KARAULI,TODABHIM,KHOHRA,SC (Woman),BADAMI BAIRWA,SC (Woman)
7028,KARAULI,TODABHIM,KIRIRI,General (Woman),SHEELA MEENA,ST (Woman)
7029,KARAULI,TODABHIM,KIRW ADA,General (Woman),MEERA DEVI,ST (Woman)
7030,KARAULI,TODABHIM,KUDHW AL,General (Woman),ROOP SHIKHA,ST (Woman)
7031,KARAULI,TODABHIM,LAPAVALI,General,GORE LAL GURJAR,OBC
7032,KARAULI,TODABHIM,MACHADI,SC (Woman),KAMLA JATAV,SC (Woman)
7033,KARAULI,TODABHIM,MAHAMEDPUR,ST,PRAHLAD MEENA,ST
7034,KARAULI,TODABHIM,MANDRU,ST (Woman),SUKHDEI MEENA,ST (Woman)
7035,KARAULI,TODABHIM,MANNOJ,ST,RAMKAILASH MEENA,ST
7036,KARAULI,TODABHIM,MASHARW A,General (Woman),BAJENTE MEENA,ST (Woman)
7037,KARAULI,TODABHIM,MATASULA,SC (Woman),RESHMA,SC (Woman)
7038,KARAULI,TODABHIM,MORDA,SC,JAGDISH KUMAR MAHAVAR,SC
7039,KARAULI,TODABHIM,MUNDIYA,SC,HARSWAROOP JATAV,SC
7040,KARAULI,TODABHIM,NANGAL MANDAL,General (Woman),SHILA BAI MEENA,ST (Woman)
7041,KARAULI,TODABHIM,NANGAL SHERPUR,ST,RAKESH KUMAR,ST
7042,KARAULI,TODABHIM,NISURA,General,TUNDA RAM,OBC
7043,KARAULI,TODABHIM,P ADAMPURA,General,MUKESH KUMAR,ST
7044,KARAULI,TODABHIM,P AHADI,General,HARIBHAJAN MEENA,ST
7045,KARAULI,TODABHIM,P ALADAKHALSA,ST (Woman),JHOOMLATA MEENA,ST (Woman)
7046,KARAULI,TODABHIM,RANOLI,General,MURARI LAL MEENA,ST
7047,KARAULI,TODABHIM,SAHRAKAR,General (Woman),HEMA MEENA,ST (Woman)
7048,KARAULI,TODABHIM,SANKARW ARA,SC,RAJKUMAR BAIRWA,SC
7049,KARAULI,TODABHIM,SHEKHPURA,ST,SUNITA MEENA,ST (Woman)
7050,KARAULI,TODABHIM,SINGHANIYA,SC (Woman),SHEELA,SC (Woman)
7051,KARAULI,TODABHIM,TIGHRIYA,OBC,HARPRASAD,OBC
7052,KARAULI,TODABHIM,URDEN,General,UDAI SINGH,OBC
7053,KARAULI,MANDRAYAL,BAHADARPUR,SC (Woman),ASHA BHAND,SC (Woman)
7054,KARAULI,MANDRAYAL,BA TDA,ST (Woman),KRISHNA,ST (Woman)
7055,KARAULI,MANDRAYAL,BHANKARI,General,NAND KISHOR MEENA,ST
7056,KARAULI,MANDRAYAL,BUGDAR,ST (Woman),BAIKUNTHI MEENA,ST (Woman)
7057,KARAULI,MANDRAYAL,CHANDELIPURA,General (Woman),SHIV DAE,OBC (Woman)
7058,KARAULI,MANDRAYAL,DHORET A,ST (Woman),BABITA,ST (Woman)
7059,KARAULI,MANDRAYAL,GURDHA,General (Woman),KAMLESH,ST (Woman)
7060,KARAULI,MANDRAYAL,KARANPUR,ST,MURARI LAL,ST
7061,KARAULI,MANDRAYAL,KASED,General,BABU LAL MEENA,ST
7062,KARAULI,MANDRAYAL,LANGRA,SC (Woman),REKHA BAI JATAV,SC (Woman)
7063,KARAULI,MANDRAYAL,MAHAJRAPURA,SC,RAJU LAL BAIRWA,SC
7064,KARAULI,MANDRAYAL,MANDRAYAL,General,YOGESH KUMAR SHARMA,General
7065,KARAULI,MANDRAYAL,MONGEPURA,General (Woman),RAMESHI MEENA,ST
7066,KARAULI,MANDRAYAL,NANPUR,General (Woman),MOTI BAI,ST (Woman)
7067,KARAULI,MANDRAYAL,NEENDAR,OBC,SHRIDHAR,OBC
7068,KARAULI,MANDRAYAL,OOND,General,MUKESH BARETHA,SC
7069,KARAULI,MANDRAYAL,P ANCHOLI,General,KANTA MEENA,ST (Woman)
7070,KARAULI,MANDRAYAL,RAHIR,ST,RAMPHAL MEENA,ST
7071,KARAULI,MANDRAYAL,RANIPURA,ST (Woman),SAMANTI DEVI,ST (Woman)
7072,KARAULI,MANDRAYAL,RODHAI,ST,NARESH MEENA,ST
7073,KARAULI,MANDRAYAL,TODA,General (Woman),VINTOSH SHARMA,General (Woman)
7074,KARAULI,MANDRAYAL,GADI KI GAON,ST,DESHRAJ MEENA,ST
7075,KARAULI,MANDRAYAL,DHARGAMA,SC,MAHESH JATAV,SC
7076,KOT A,ITAWA,AYANA,General (Woman),GIRIJA,OBC (Woman)
7077,KOT A,ITAWA,AYANI,General,TULSIRAM SHARMA,General
7078,KOT A,ITAWA,BAGLI,SC,HARIMOHAN,SC
7079,KOT A,ITAWA,BALUPA,SC (Woman),MAHINDRA BAIRWA,SC (Woman)
7080,KOT A,ITAWA,BAMBULIKALAN,General,HEMRAJ MEENA,ST
7081,KOT A,ITAWA,BINAYAKA,SC,JHODHRAJ DHOLI,SC
7082,KOT A,ITAWA,BORDA,General,LAKHANLAL KHATI,OBC
7083,KOT A,ITAWA,DUNGARLI,SC,TEJMAL ARAYA,SC
7084,KOT A,ITAWA,DURJANURA,ST,MAHA VEER,ST
7085,KOT A,ITAWA,GAIT A,General (Woman),PURNIMA SINGH,General (Woman)
7086,KOT A,ITAWA,GANESHGANJ,ST (Woman),MEVA KUMARI MEENA,ST (Woman)
7087,KOT A,ITAWA,JALODAKHTIYAN,ST,KEDARLAL MEENA,ST
7088,KOT A,ITAWA,JATWARA,General,PUSHPENDRA SINGH,General
7089,KOT A,ITAWA,JORAWARPURA,General (Woman),SHANTI,ST (Woman)
7090,KOT A,ITAWA,KAITHUDA,General (Woman),BRAHAR BAI URF BRAHMA,OBC (Woman)
7091,KOT A,ITAWA,KAKARW ADA,OBC,VIJA YSHANKAR,OBC
7092,KOT A,ITAWA,KARVADA,General (Woman),KRISHNA KANWAR,General (Woman)
7093,KOT A,ITAWA,KHATOLI,General (Woman),RUCHIT A,General (Woman)
7094,KOT A,ITAWA,KHYAVDA,SC (Woman),CHANDRA KALA,SC (Woman)
7095,KOT A,ITAWA,LAKSHMIPURA,ST (Woman),SUNITA MEENA,ST (Woman)
7096,KOT A,ITAWA,LUHAVAD,SC,BADRI PRAKASH ARYA,SC
7097,KOT A,ITAWA,NIMOL A,SC (Woman),CHANDA VERMA,SC (Woman)
7098,KOT A,ITAWA,NONERA,ST (Woman),ANITA KUMARI MEENA,ST (Woman)
7099,KOT A,ITAWA,PIP ALDAKALA,General (Woman),SEEMA,General (Woman)
7100,KOT A,ITAWA,RAJOP A,ST,RAMBHAROS,ST
7101,KOT A,ITAWA,RANODIYA,ST,SURENDRA KUMAR,ST
7102,KOT A,ITAWA,SAHNANAVADA,General,RAMESHWAR KUSHWAH,OBC
7103,KOT A,ITAWA,TALAB,General,GOPAL LAL,ST
7104,KOT A,ITAWA,THIBRI CHAMBAL,General (Woman),MANJU LATA,General (Woman)
7105,KOT A,KHERABAD,ALOD,OBC (Woman),SAROJ,OBC (Woman)
7106,KOT A,KHERABAD,ARNIYAKALAN,General,RAMDAYAL,OBC
7107,KOT A,KHERABAD,BADOLIYA KALAN,General (Woman),SANTRA BAI,ST (Woman)
7108,KOT A,KHERABAD,BUDDHKHAN,ST,BHOJRAJ,ST
7109,KOT A,KHERABAD,CHECHAT,SC,MANOJ BAIRWA,SC
7110,KOT A,KHERABAD,DEVLIKALAN,SC,ASHOK KUMAR,SC
7111,KOT A,KHERABAD,DEVLIKHURD,SC (Woman),ANJALI VERMA,SC (Woman)
7112,KOT A,KHERABAD,DHARNAVAD,SC,HARISH CHANDRA,SC
7113,KOT A,KHERABAD,GADIYA,General,BHAGWAN SINGH,OBC
7114,KOT A,KHERABAD,GHATOLI,General,KRISHNA GOPAL,OBC
7115,KOT A,KHERABAD,GOYANDA,General (Woman),MAMTA KANWAR,General (Woman)
7116,KOT A,KHERABAD,HATHIYAKHEDI,ST,RAMESH,ST
7117,KOT A,KHERABAD,HERIYA KHEDI,SC (Woman),ANIT A,SC (Woman)
7118,KOT A,KHERABAD,JULMI,General,SAMANDAR YADAV,OBC
7119,KOT A,KHERABAD,KHAIRABAD,General (Woman),SUSHIL A,OBC (Woman)
7120,KOT A,KHERABAD,KHEDARUDHA,SC (Woman),GAYATRI BAI,SC (Woman)
7121,KOT A,KHERABAD,KHEDLI,General (Woman),RANU BEE,General (Woman)
7122,KOT A,KHERABAD,KHIMACH,General,ABDUL SALAM,General
7123,KOT A,KHERABAD,KUDAYALA,SC,RAJA RAM,SC
7124,KOT A,KHERABAD,KUKDA KHURD,SC (Woman),GEETA BAI,SC (Woman)
7125,KOT A,KHERABAD,KUMBHKOT,General (Woman),NIRMALA KUMARI,General (Woman)
7126,KOT A,KHERABAD,LAKHARIYA,SC (Woman),AMITA RAWAL,SC (Woman)
7127,KOT A,KHERABAD,LAXMIPURA,ST (Woman),SAROJ MEENA,ST (Woman)
7128,KOT A,KHERABAD,MADANPURA,General,BHAGWAN SINGH,General
7129,KOT A,KHERABAD,MANDA,General,SHAMBHU SINGH,General
7130,KOT A,KHERABAD,MODAK GAON,OBC,RAJKUMAR,OBC
7131,KOT A,KHERABAD,PIP AKHEDI,OBC,GIRJESH KUMAR,OBC
7132,KOT A,KHERABAD,PIP ALDA,General (Woman),RAMBHAROSE,OBC (Woman)
7133,KOT A,KHERABAD,RICHHDIYA,General,BHUPENDRA SINGH,General
7134,KOT A,KHERABAD,SAHARVADA,ST (Woman),NIRMALA BAI,ST (Woman)
7135,KOT A,KHERABAD,SALAVADKHURD,General (Woman),SUNITA MEENA,ST (Woman)
7136,KOT A,KHERABAD,SALEDAKHURD,SC,MANGILAL,SC
7137,KOT A,KHERABAD,SA TLKHEDI,General,SHANTI BAI,SC (Woman)
7138,KOT A,KHERABAD,SUKET,General (Woman),ARCHANA,OBC (Woman)
7139,KOT A,KHERABAD,UDPURA MODAK STATION,OBC (Woman),MAMT A MEW ARA,OBC (Woman)
7140,KOT A,KHERABAD,UNDAWA,General (Woman),KALAWATI BAI,OBC (Woman)
7141,KOT A,LADPURA,ALNIYA,ST,GAJANAND BHIL,ST
7142,KOT A,LADPURA,ARANDKHEDA,General (Woman),RAJESH SHARMA,General (Woman)
7143,KOT A,LADPURA,BANIYANI,SC (Woman),ANITA VERMA,SC (Woman)
7144,KOT A,LADPURA,BHANWARIYA,SC (Woman),BHAWANA BAI,SC (Woman)
7145,KOT A,LADPURA,BHEEMPURA,General (Woman),JAYA KANWAR,General (Woman)
7146,KOT A,LADPURA,BORABAS,SC,SHIVRAM SAGAR,SC
7147,KOT A,LADPURA,DOLYA,General,NAND LAL MEGHWAL,SC
7148,KOT A,LADPURA,GANDIFALI,General (Woman),SUNITA BAI,OBC (Woman)
7149,KOT A,LADPURA,GODLYAHEDI,General (Woman),RAM MALA BAI,ST (Woman)
7150,KOT A,LADPURA,JAKHODA,General,TIKAM CHAND,OBC
7151,KOT A,LADPURA,KALYAKHEDI,OBC,SHIV KUMAR,OBC
7152,KOT A,LADPURA,KASAR,General,SEETA RAM,OBC
7153,KOT A,LADPURA,KHEDARSULPUR,ST (Woman),DIVYA BHARTI MINA,ST (Woman)
7154,KOT A,LADPURA,KISHANPURA TAKIYA,General,SHRI GURU SHARAN,General
7155,KOT A,LADPURA,KOLANA / LAXMIPURA,General,RAM KARAN,OBC
7156,KOT A,LADPURA,MANASGAON,General (Woman),HEM LATA YADAV,OBC (Woman)
7157,KOT A,LADPURA,MANDALIYA,OBC,BHARAT SINGH,OBC
7158,KOT A,LADPURA,MANDANA,General (Woman),SEEMA,General (Woman)
7159,KOT A,LADPURA,MAWASA,SC,RAMESH CHAND NAYAK,SC
7160,KOT A,LADPURA,RANGPUR,OBC (Woman),BABITA,OBC (Woman)
7161,KOT A,LADPURA,TATHER,ST,YOGESH MEENA,ST
7162,KOT A,SANGOD,AANVA,SC (Woman),JANAKI BAI URF RAMJANAKI,SC (Woman)
7163,KOT A,SANGOD,AMRITKUAN,General,SURYAPRAKASH,General
7164,KOT A,SANGOD,BALUHEDA,General (Woman),NARENDRA KUMARI,OBC (Woman)
7165,KOT A,SANGOD,BAPAVARKALA,General,KISHAN CHAND,General
7166,KOT A,SANGOD,BASYAHEDI,General (Woman),MAMTA GOCHAR,OBC (Woman)
7167,KOT A,SANGOD,BORINAKALAN,General (Woman),RAJKUMARI MEHTA,OBC (Woman)
7168,KOT A,SANGOD,DANTA,SC (Woman),KAILASH BAI,SC (Woman)
7169,KOT A,SANGOD,DEEGOD,General (Woman),PREMLATA MEENA,ST (Woman)
7170,KOT A,SANGOD,DEVLI,OBC,RAMESHWAR PRASAD SUMAN,OBC
7171,KOT A,SANGOD,DHULET,General,NAROTTAM SHARMA,General
7172,KOT A,SANGOD,DILLIPURA,SC,KAMLA PRAKASH,SC
7173,KOT A,SANGOD,HEINGI,SC (Woman),LAXMI MEHAR,SC (Woman)
7174,KOT A,SANGOD,HINGONLIA,OBC,RAM PRASAD,OBC
7175,KOT A,SANGOD,JALIMPURA,OBC (Woman),MANBHAR BAI,OBC (Woman)
7176,KOT A,SANGOD,JHALRI,SC (Woman),MANGI BAI,SC (Woman)
7177,KOT A,SANGOD,KAMOLAR,OBC (Woman),LEELA BAI,OBC (Woman)
7178,KOT A,SANGOD,KANW AS,ST,NAVAN KISHOR,ST
7179,KOT A,SANGOD,KHADIYA,General,RAMCHANDRA NAGAR,OBC
7180,KOT A,SANGOD,KHAJURI,General (Woman),BINTI,OBC (Woman)
7181,KOT A,SANGOD,KHAJURNA,ST,RAJENDRA PRASAD,ST
7182,KOT A,SANGOD,KISHANPURA,ST (Woman),SANJU KUMARI MINA,ST (Woman)
7183,KOT A,SANGOD,KUNDANPUR,General (Woman),MEENA KUMARI,General (Woman)
7184,KOT A,SANGOD,KURAD,General (Woman),MAMTA,OBC (Woman)
7185,KOT A,SANGOD,KURIDIYAKHURD,General (Woman),RUKMANI BAI,OBC (Woman)
7186,KOT A,SANGOD,LABANIYA,SC,JAI SINGH NAYAK,SC
7187,KOT A,SANGOD,LATURI,OBC (Woman),MEENA,OBC (Woman)
7188,KOT A,SANGOD,LODAHEDA,ST (Woman),KAVITA MEENA,ST (Woman)
7189,KOT A,SANGOD,MAMOR,General,KUSHAL PAL SINGH,General
7190,KOT A,SANGOD,MANDAP,SC,DEVI LAL,SC
7191,KOT A,SANGOD,MANDIT A,General,TEJPRATAP SINGH,General
7192,KOT A,SANGOD,MOIKALA,OBC,KRISHN MURARI YADAV,OBC
7193,KOT A,SANGOD,MORUKALA,SC,RAM PRASAD VALMIKI,SC
7194,KOT A,SANGOD,SAWANBHADO,General,DUSHYANT KUMAR SHARMA,General
7195,KOT A,SANGOD,SHYAMPURA,General (Woman),MADHUBALA NAHRIYA,OBC (Woman)
7196,KOT A,SANGOD,TOHTI,General,SATYA NARAYAN,OBC
7197,KOT A,SANGOD,VINODKHURD,General,PREMCHAND,OBC
7198,KOT A,SULTANPUR,AMARPURA,General (Woman),SMT RAJKUMARI,General (Woman)
7199,KOT A,SULTANPUR,BADOD,SC,GIRIRAJ PRASAD,SC
7200,KOT A,SULTANPUR,BAMORI,General (Woman),GAYATRI BAI,ST (Woman)
7201,KOT A,SULTANPUR,BANETHIA,SC (Woman),JANKI BAI,SC (Woman)
7202,KOT A,SULTANPUR,BHANDAHEDA,General (Woman),SONU NAGAR,OBC (Woman)
7203,KOT A,SULTANPUR,BHONRA,General,SOBHAG,ST
7204,KOT A,SULTANPUR,BISLAI,ST (Woman),REKHA BAI,ST (Woman)
7205,KOT A,SULTANPUR,BUDHADEET,ST (Woman),INDRESH KUMARI,ST (Woman)
7206,KOT A,SULTANPUR,CHOMAMALIYAN,OBC,ANADI LAL DHAKAD,OBC
7207,KOT A,SULTANPUR,DEEGOD,SC,DHANRAJ,SC
7208,KOT A,SULTANPUR,DUNGARJYA,ST (Woman),MANISHA,ST (Woman)
7209,KOT A,SULTANPUR,GADHEP AN,General (Woman),SMT KRATIKA MEENA,ST (Woman)
7210,KOT A,SULTANPUR,JALIMPURA,General,YAGYADATT DADHICH,General
7211,KOT A,SULTANPUR,JHADGAON,ST,OMPRAKASH MEENA,ST
7212,KOT A,SULTANPUR,KHERLI TAVRAN,General (Woman),AASHA BAI,General (Woman)
7213,KOT A,SULTANPUR,KHERUL A,OBC (Woman),ANIT A,OBC (Woman)
7214,KOT A,SULTANPUR,KISHORPURA,General (Woman),SUNITA NAGAR,General (Woman)
7215,KOT A,SULTANPUR,KOTADA DEEP SINGH,General,LOKENDRA KUMAR VAISHNAV,OBC
7216,KOT A,SULTANPUR,KOTSUVA,General,NAVNEET KUMAR,General
7217,KOT A,SULTANPUR,LAKHSANIJA,SC,ANITA KUMARI,SC (Woman)
7218,KOT A,SULTANPUR,MADANPURA,ST,DWARIKA LAL,ST
7219,KOT A,SULTANPUR,MANDAWARA,General,BAJRANG LAL NAGAR,OBC
7220,KOT A,SULTANPUR,MORP A,General (Woman),KRISHNA KUMARI,General (Woman)
7221,KOT A,SULTANPUR,MUNDL A,SC,LATUR LAL,SC
7222,KOT A,SULTANPUR,NIMODA,SC (Woman),PREM BAI,SC (Woman)
7223,KOT A,SULTANPUR,NOTADA,General,MOINUDDIN,General
7224,KOT A,SULTANPUR,POLAIKALAN,ST,MADAN PAL,ST
7225,KOT A,SULTANPUR,RAIL GAON,General,DHARM CHAND,General
7226,KOT A,SULTANPUR,SAROLA,SC (Woman),SMT MANOHAR BAI,SC (Woman)
7227,KOT A,SULTANPUR,SIMALIYA,General (Woman),RAJESH NAGAR,OBC (Woman)
7228,KOT A,SULTANPUR,SULTANUR,General,MANGI LAL,General
7229,KOT A,SULTANPUR,T AKARW ADA,SC (Woman),SANJU KUMARI,SC (Woman)
7230,KOT A,SULTANPUR,TORAN,General,OM PRAKASH,OBC
7231,NAGAUR,DEEDW ANA,AANGUTA,OBC (Woman),SUPYARI,OBC (Woman)
7232,NAGAUR,DEEDW ANA,BAIRAKHURD,OBC (Woman),RESMA BANO,OBC (Woman)
7233,NAGAUR,DEEDW ANA,BALIYA,General,SULEMAN,OBC
7234,NAGAUR,DEEDW ANA,BARANGANA,General,MANDEJ SINGH,General
7235,NAGAUR,DEEDW ANA,BARDAWA,General (Woman),MUNNI DEVI,General (Woman)
7236,NAGAUR,DEEDW ANA,BHEECHAWA,OBC (Woman),SUMAN LEL,OBC (Woman)
7237,NAGAUR,DEEDW ANA,CHHOLUKHA,SC,RATAN LAL,SC
7238,NAGAUR,DEEDW ANA,DADU BASNI,General,MOHAMMAD SARIF,OBC
7239,NAGAUR,DEEDW ANA,DAULATPURA,General (Woman),CHANDA DEVI,OBC (Woman)
7240,NAGAUR,DEEDW ANA,DAYALPURA,General,KHNEHYA LAL SHARMA,General
7241,NAGAUR,DEEDW ANA,DEENDARPURA,General,MOHANRAM CHOUDHARY,OBC
7242,NAGAUR,DEEDW ANA,DUNDOLI,General (Woman),SUMAN,OBC (Woman)
7243,NAGAUR,DEEDW ANA,KALVANI,OBC,BHANWAR LAL,OBC
7244,NAGAUR,DEEDW ANA,KERAP,General (Woman),MADHU,OBC
7245,NAGAUR,DEEDW ANA,KHARESH,General (Woman),JAISREE SIKHWAL,General (Woman)
7246,NAGAUR,DEEDW ANA,KHA TUKHURD,OBC,MEGHA RAM,OBC
7247,NAGAUR,DEEDW ANA,KHUNKHUNA,OBC,BILAL KHAN,OBC
7248,NAGAUR,DEEDW ANA,KOLIYA,General,SANTOSH,OBC
7249,NAGAUR,DEEDW ANA,LALASARI,General (Woman),BHAGWATI,OBC (Woman)
7250,NAGAUR,DEEDW ANA,LOROLIKALA,General (Woman),SARVJEET KOR,General
7251,NAGAUR,DEEDW ANA,MAMDODA,SC,SARWAN RAM,SC
7252,NAGAUR,DEEDW ANA,MAWA,SC,MUKASH KUMAR,SC
7253,NAGAUR,DEEDW ANA,NIMBIKALAN,General (Woman),NAJMA BANO,OBC
7254,NAGAUR,DEEDW ANA,P ALOT,OBC,RAKESH DARA,OBC
7255,NAGAUR,DEEDW ANA,SANIYA,General,VIMLESH KANWAR,General
7256,NAGAUR,DEEDW ANA,SHERANI ABAD,General (Woman),RAFIKA BANO,General
7257,NAGAUR,DEEDW ANA,SIGARAWATKALA,General,RAJENDRA SINGH,General
7258,NAGAUR,DEEDW ANA,SINGHANA,General,RAKESH,General
