ElectionType,ElectionDuration,District,PanchayatSamiti,SrNo,GramPanchayat,NominationTotalNoOfNominationFilled,NominationCandidate,ValidlyNominatedCandidate,Withdrawal,Unopposed,Contestants
General Election,JAN-MAR 2020,DHOLPUR,SARMATHURA PANCHAYAT SAMITI,10,GAULARI,10,10,9,5,0,4
General Election,JAN-MAR 2020,DHOLPUR,SARMATHURA PANCHAYAT SAMITI,11,JHIRI,6,6,6,3,0,3
General Election,JAN-MAR 2020,DHOLPUR,SARMATHURA PANCHAYAT SAMITI,12,KHARAULI,12,12,12,7,0,5
General Election,JAN-MAR 2020,DHOLPUR,SARMATHURA PANCHAYAT SAMITI,13,KHURDIA,7,7,7,4,0,3
General Election,JAN-MAR 2020,DHOLPUR,SARMATHURA PANCHAYAT SAMITI,14,LILOTHI,9,9,9,6,0,3
General Election,JAN-MAR 2020,DHOLPUR,SARMATHURA PANCHAYAT SAMITI,15,MADANPUR,12,12,12,3,0,9
General Election,JAN-MAR 2020,DHOLPUR,SARMATHURA PANCHAYAT SAMITI,16,MADASIL,8,8,8,4,0,4
General Election,JAN-MAR 2020,DHOLPUR,SARMATHURA PANCHAYAT SAMITI,17,NADANPUR,7,7,7,3,0,4
General Election,JAN-MAR 2020,DHOLPUR,SARMATHURA PANCHAYAT SAMITI,18,PAVAINEE,7,7,7,4,0,3
General Election,JAN-MAR 2020,DHOLPUR,SARMATHURA PANCHAYAT SAMITI,19,PIPRAIT,6,6,6,3,0,3
General Election,JAN-MAR 2020,DHOLPUR,SARMATHURA PANCHAYAT SAMITI,20,RAHRAI,26,26,26,18,0,8
General Election,JAN-MAR 2020,DHOLPUR,SARMATHURA PANCHAYAT SAMITI,21,SARMATHURA,28,28,28,13,0,15
General Election,JAN-MAR 2020,DHOLPUR,SARMATHURA PANCHAYAT SAMITI,22,VATIKARA,4,4,4,1,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,1,ADSISAR,4,4,4,1,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,2,AJITSAR,4,4,4,0,0,4
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,3,ASAPALSAR BADA,4,4,4,1,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,4,BAGHERA,4,4,4,2,0,2
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,5,BAIJASAR,11,11,11,7,0,4
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,6,BANDHAUN DIKHNAADA,3,3,3,1,0,2
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,7,BANDHNAU UTRADA,4,4,4,1,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,8,BARJANGSAR,5,5,5,2,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,9,BAYALA,5,5,5,1,0,4
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,10,BHADASAR DISHANADA,8,8,8,4,0,4
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,11,BHANIPURA,4,4,4,1,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,12,BHOJASAR CHHOTA,6,6,6,3,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,13,BHOJRASAR,4,4,4,2,0,2
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,14,BHOJUSAR UPADHIYAN,5,5,5,3,0,2
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,15,BIKAMSARA,4,4,4,2,0,2
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,16,BILYUBAS RAMPURA,7,7,7,3,0,4
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,17,BUKANSAR BADA,7,7,7,3,0,4
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,18,BUKANSAR CHHOTA,11,11,11,6,0,5
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,19,DALMAN,12,12,12,6,0,6
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,20,DERAJSAR,7,7,7,4,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,21,DHANI PACHERA,7,7,7,4,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,22,DULRASAR,5,5,5,3,0,2
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,23,GHADISAR,5,5,5,3,0,2
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,24,HARIYASAR GHDSOTAN,16,16,16,7,0,9
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,25,JAISANGSAR,10,10,10,5,0,5
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,26,JAITASAR,4,4,4,2,0,2
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,27,JAITSISAR,4,4,4,2,0,2
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,28,JIVANDESAR,5,5,5,2,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,29,KAKLASAR,4,4,4,0,0,4
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,30,KALYANPURA PUROHITIAN,9,9,9,2,0,7
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,31,KANWALASAR,7,7,7,3,0,4
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,32,KHEJDA DIKHNADA,12,12,12,4,0,8
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,33,KHIVANSAR,6,6,6,3,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,34,KIKASAR,5,5,4,1,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,35,MALAKSAR,8,8,8,1,0,7
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,36,MALSAR,4,4,4,0,0,4
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,37,MEHRASAR CHACHERA,7,7,7,4,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,38,MEHRASAR UPADIYAN,7,7,7,4,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,39,MEHRIRAJVIYAN,8,8,8,4,0,4
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,40,MELUSAR,7,7,7,1,0,6
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,41,MITASAR,9,9,9,2,0,7
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,42,NAINASAR,4,4,4,0,0,4
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,43,NENASAR SUMERIYA,4,4,4,2,0,2
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,44,PAATLISAR BADA,4,4,4,2,0,2
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,45,PHOGA BHARTHARI,4,4,4,2,0,2
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,46,PHULASAR,9,9,9,2,0,7
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,47,PICHAKRAITAL,4,4,4,2,0,2
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,48,RAJASAR BIKAN,6,6,6,3,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,49,RAJASAR PANWARAN,7,7,7,1,0,6
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,50,RAMSISAR BHEDWALIYA,6,6,6,2,0,4
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,51,RANASAR BECAAN,9,9,9,7,0,2
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,52,RANGAISAR,3,3,3,1,0,2
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,53,RANIASISAR,4,4,4,1,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,54,RATUSAR,6,6,6,3,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,55,RAYPURA,5,5,5,2,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,56,ROLASAR,3,3,3,0,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,57,RUPLISAR,7,7,7,2,0,5
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,58,SAAVAR,6,6,6,3,0,3
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,59,SADASAR,9,9,9,5,0,4
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,60,SAWAI BADI,6,6,6,0,0,6
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,61,SHIMLA,6,6,6,2,0,4
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,62,TOLASAR,6,6,6,4,0,2
General Election,JAN-MAR 2020,CHURU,SARDARSHAHAR PANCHAYAT SAMITI,63,UDSAR LODERA,6,6,6,3,0,3
By Election,DEC 2021,BIKANER,DUNGARGARH PANCHAYAT SAMITI,1,DELVAN,1,1,1,0,1,0
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,1,ABSAR,10,10,10,6,0,4
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,2,BADABER,5,5,5,2,0,3
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,3,BAGHSAR ATHUNDA,6,6,6,2,0,4
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,4,BHANISAR TEJSIGHOTHAN,4,4,4,1,0,3
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,5,BHASINA,12,12,12,6,0,6
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,6,BHIMSAR,5,5,5,3,0,2
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,7,BOBASAR BIDAWATAN,11,11,11,5,0,6
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,8,CHERLA,4,4,4,1,0,3
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,9,DHAATRI,9,9,9,4,0,5
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,10,GEDAP,7,7,7,5,0,2
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,11,GOPALPURA,7,7,7,3,0,4
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,12,GUDABADI,6,6,6,2,0,4
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,13,GULARIYA,7,7,7,4,0,3
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,14,HERASAR,13,13,13,7,0,6
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,15,JAITASAR,4,4,4,2,0,2
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,16,JILI,5,5,5,2,0,3
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,17,JOGLIYA,10,10,10,4,0,6
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,18,KANUTA,7,7,7,3,0,4
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,19,KHARIYA KANIRAM,3,3,3,0,0,3
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,20,KHUDDI,11,11,11,7,0,4
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,21,KOLASAR,9,9,9,4,0,5
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,22,LODSAR,9,9,9,5,0,4
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,23,MAGRASAR,4,4,4,2,0,2
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,24,MALASI,7,7,7,2,0,5
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,25,MALSISAR,10,10,10,5,0,5
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,26,MUNDRA,6,6,6,4,0,2
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,27,MURDAKIYA,6,6,6,2,0,4
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,28,NORANGSAR,10,10,10,4,0,6
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,29,NYAMA,9,9,9,4,0,5
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,30,RAJIYASAR MITHA,8,8,8,3,0,5
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,31,RANDHISAR,7,7,7,3,0,4
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,32,SALASAR,15,15,15,12,0,3
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,33,SAROTHIYA,6,6,6,3,0,3
General Election,JAN-MAR 2020,CHURU,SUJANGARH PANCHAYAT SAMITI,34,SHOBHASAR,11,11,10,7,0,3
By Election,DEC 2021,BIKANER,KOLAYAT PANCHAYAT SAMITI,1,SIMBHU KA BURJ,nan,nan,nan,nan,nan,nan
By Election,DEC 2021,BIKANER,NOKHA PANCHAYAT SAMITI,1,BERASAR,nan,nan,nan,nan,nan,nan
By Election,DEC 2021,BIKANER,PUGAL PANCHAYAT SAMITI,1,SAMMEWALA,nan,nan,nan,nan,nan,nan
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,1,BANKADA,3,3,3,0,0,3
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,2,BANSIYA,8,8,7,3,0,4
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,3,BHACHDIYA,10,10,10,5,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,4,BHADAR,10,10,10,5,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,5,BHANDARI,5,5,5,2,0,3
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,6,CHADOLI,16,16,16,6,0,10
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,7,DHAMBOLA,4,4,4,1,0,3
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,8,DHODHRA,13,13,13,3,0,10
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,9,DUNKA,22,22,22,8,0,14
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,10,GADAGOKAL,12,12,12,4,0,8
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,11,GADAPATTE PEETH,20,20,20,7,0,13
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,12,GADAVATESHVAR,21,21,21,10,0,11
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,13,GHUVED,12,12,12,4,0,8
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,14,JHALAI,11,11,11,5,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,15,JHALAP,12,12,12,7,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,16,JHARNI,13,13,13,3,0,10
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,17,KANABA,10,10,10,4,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,18,KESARPURA,15,15,15,6,0,9
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,19,KHARPEDA,17,17,16,4,0,12
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,20,LIKHI BADI,11,11,11,3,0,8
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,21,MAANA KA DEV,16,16,16,7,0,9
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,22,MANDALI,19,19,19,7,0,12
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,23,MEDLA,18,18,18,8,0,10
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,24,MEVADA,13,13,12,3,0,9
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,25,NITHAUVA,14,14,14,7,0,7
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,26,PEETH,6,6,6,0,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,27,RAMSOR JUNA,6,6,6,1,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,28,RASTA PAL,12,12,11,3,0,8
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,29,RATANPURA,9,9,9,1,0,8
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,30,SADRIYA,11,11,10,5,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,31,SAKARSI,8,8,8,3,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,32,SARTHUNA,14,14,14,7,0,7
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,33,SEETHAL,16,16,16,5,0,11
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,34,SIMALWARA,8,8,8,1,0,7
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,35,SUJA TALAI,6,6,6,2,0,4
By Election,DEC 2021,BHILWARA,SHAHPURA PANCHAYAT SAMITI,1,KANCHE KURD,1,1,1,0,1,0
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,36,THAAM KA TALAB,23,23,23,7,0,16
General Election,JAN-MAR 2020,DUNGARPUR,SIMALWARA PANCHAYAT SAMITI,37,UPLA RASTA,16,16,16,7,0,9
By Election,SEP 2021,UDAIPUR,NAYAGAON PANCHAYAT SAMITI,1,ASARIWADA,nan,nan,nan,nan,nan,nan
By Election,SEP 2021,UDAIPUR,NAYAGAON PANCHAYAT SAMITI,2,BALICHA,6.0,6.0,6.0,0.0,0.0,6.0
By Election,SEP 2021,UDAIPUR,NAYAGAON PANCHAYAT SAMITI,3,DABAYCHA,nan,nan,nan,nan,nan,nan
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,1,BAGDARI,7,7,7,1,0,6
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,2,BALWADA,14,14,13,2,0,11
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,3,BATAKA PHALA,6,6,6,1,0,5
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,4,BHATPUR,13,13,13,7,0,6
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,5,BHATVADA,13,13,13,3,0,10
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,6,BILADI,11,11,11,2,0,9
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,7,BORI,13,13,12,2,0,10
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,8,CHAK MAHUDI,10,10,10,3,0,7
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,9,DEVALKHAS,11,11,11,4,0,7
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,10,GADAMORYA,7,7,7,3,0,4
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,11,GAMDIDEWAL,6,6,6,2,0,4
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,12,GHUGHARA,7,7,7,4,0,3
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,13,GOKULPURA,8,8,8,0,0,8
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,14,GUMANPURA,17,17,17,4,0,13
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,15,KANKRADRA,18,18,17,5,0,12
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,16,KHEDA,11,11,11,4,0,7
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,17,KHEMARU,19,19,18,7,0,11
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,18,KHERVADA,6,6,6,2,0,4
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,19,MADA,10,10,9,1,0,8
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,20,MAJHOLA,6,6,6,2,0,4
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,21,MATHUGAMDA,17,17,17,4,0,13
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,22,METALI,10,10,10,5,0,5
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,23,PAGARA,6,6,6,2,0,4
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,24,PAL GAMADI,11,11,11,5,0,6
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,25,PAL MATHHUGAMDA,10,10,10,4,0,6
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,26,PALDEWAL,11,11,11,4,0,7
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,27,PALVDA,13,13,12,5,0,7
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,28,PIPLADA,12,12,12,2,0,10
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,29,ROHANVADA,19,19,19,3,0,16
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,30,SATIRAMPURA,18,18,18,5,0,13
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,31,SINDI KHAIRWADA,20,20,20,5,0,15
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,32,SUNDAPUR,11,11,11,3,0,8
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,33,SURPUR,16,16,15,4,0,11
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,34,TADI OBARI,16,16,16,3,0,13
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,35,THANA,9,9,9,3,0,6
General Election,JAN-MAR 2020,DUNGARPUR,DUNGARPUR PANCHAYAT SAMITI,36,UPARGAON,10,10,10,5,0,5
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,1,BALWANIYA,10,10,10,2,0,8
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,2,BEDA,11,11,11,3,0,8
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,3,BEDSA,13,13,13,6,0,7
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,4,BHILWA PACHELA (B),11,11,11,4,0,7
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,5,BHINDA,9,9,9,5,0,4
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,6,CHARWADA,7,7,7,1,0,6
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,7,CHAUKI,10,10,10,3,0,7
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,8,DOLE KUNJELLA,14,14,12,3,0,9
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,9,GAINJI,13,13,12,4,0,8
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,10,GANDHAVA,9,9,9,3,0,6
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,11,GORADA,18,18,18,6,0,12
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,12,HADMATIYA,10,10,10,3,0,7
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,13,JHOTHARI,17,17,17,5,0,12
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,14,KARAWADA,5,5,5,2,0,3
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,15,KHARWAR KHUNIA,11,11,11,4,0,7
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,16,MAHUDI,17,17,17,2,0,15
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,17,MALL,16,16,15,4,0,11
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,18,MANDELA UPALI,12,12,11,5,0,6
