ElectionType,ElectionDuration,District,PanchayatSamiti,SrNo,NameOfGramPanchyat,CategoryOfGramPanchyat,TotalNoOfContestingCandidate,ElectedUnoppose,TotalElectorateVotes,TotalPolledVotes,RejectedVotes,TotalValidVotes,PollPercent,WinnerCandidateName,ViewPledge,VoteSecureByWinner,RunnerupCandidateName,VoteSecureByRunnerup,TotalNoOfNOTACount,TenderedVotes
General Election,JAN-MAR 2020,PALI,DESURI PANCHAYAT SAMITI,23,SINDARLI,SC,8,NO,3761,2440,0,2440,64.88,KANARAM,https://sec.rajasthan.gov.in/Nominations/193_SARPANCH_DEOPALI1_3K7K202210P19P43AM.pdf,660,BHAGARAM,562,29,0
General Election,JAN-MAR 2020,PALI,DESURI PANCHAYAT SAMITI,24,SUMER,OBC,4,NO,3186,1967,0,1967,61.74,SOHAN LAL,https://sec.rajasthan.gov.in/Nominations/193_SARPANCH_DEOPALI1_3K7K202210P19P56AM.pdf,985,GULAB BHARATI,390,43,0
General Election,JAN-MAR 2020,RAJSAMAND,DELVADA PANCHAYAT SAMITI,2,Delwara,General,6,NO,3564,2807,0,2807,78.76,MANGI LAL,https://sec.rajasthan.gov.in/Nominations/336_SARPANCH_ERODELWR1_3K4K20223P23P45PM.pdf,1373,NIRMALA DEVI KATARIYA,1226,23,0
General Election,JAN-MAR 2020,RAJSAMAND,DELVADA PANCHAYAT SAMITI,3,Ghorach,SC,7,NO,4367,3265,0,3265,74.77,DEVILAL,https://sec.rajasthan.gov.in/Nominations/336_SARPANCH_ERODELWR1_3K4K20223P23P58PM.pdf,1333,BHERA,1136,58,0
General Election,JAN-MAR 2020,RAJSAMAND,DELVADA PANCHAYAT SAMITI,4,Kalivas,ST,6,NO,3186,2647,0,2647,83.08,VAGTA,https://sec.rajasthan.gov.in/Nominations/336_SARPANCH_ERODELWR1_3K4K20223P24P10PM.pdf,671,CHIMANLAL BHIL,626,87,0
General Election,JAN-MAR 2020,RAJSAMAND,DELVADA PANCHAYAT SAMITI,5,Karauli,General (Woman),14,NO,2995,2514,0,2514,83.94,SUSHILA,https://sec.rajasthan.gov.in/Nominations/336_SARPANCH_ERODELWR1_3K4K20223P24P39PM.pdf,681,REKHA KUNWAR MOJAWAT,313,33,0
General Election,JAN-MAR 2020,RAJSAMAND,DELVADA PANCHAYAT SAMITI,6,Kesuli,SC (Woman),2,NO,3191,2460,0,2460,77.09,LEELA BAI MEGHWAL,https://sec.rajasthan.gov.in/Nominations/336_SARPANCH_ERODELWR1_3K4K20223P24P55PM.pdf,1325,NATHI BAI,1032,103,0
General Election,JAN-MAR 2020,RAJSAMAND,DELVADA PANCHAYAT SAMITI,7,Lalmadadi,OBC,6,NO,2867,2475,0,2475,86.33,BALVEER SINGH,https://sec.rajasthan.gov.in/Nominations/336_SARPANCH_ERODELWR1_3K4K20223P25P32PM.pdf,1006,SURYA PRATAP SINGH,839,38,0
General Election,JAN-MAR 2020,RAJSAMAND,DELVADA PANCHAYAT SAMITI,8,Mandiana,General,8,NO,4313,3370,0,3370,78.14,BHARAT SINGH,https://sec.rajasthan.gov.in/Nominations/336_SARPANCH_ERODELWR1_3K4K20223P25P49PM.pdf,967,DINESH KUMAR VAISHNAV,770,47,1
General Election,JAN-MAR 2020,RAJSAMAND,DELVADA PANCHAYAT SAMITI,9,Nedach,ST (Woman),1,YES,3816,0,0,0,0.0,LALI BAI,https://sec.rajasthan.gov.in/Nominations/336_SARPANCH_ERODELWR1_3K4K20223P26P01PM.pdf,0,nan,0,0,0
General Election,JAN-MAR 2020,RAJSAMAND,DELVADA PANCHAYAT SAMITI,10,Negadia,ST,4,NO,3998,3053,0,3053,76.36,THANA BHIL,https://sec.rajasthan.gov.in/Nominations/336_SARPANCH_ERODELWR1_3K4K20223P26P17PM.pdf,1123,SURESH BHIL,1114,39,1
General Election,JAN-MAR 2020,RAJSAMAND,DELVADA PANCHAYAT SAMITI,11,Pakhand,General (Woman),6,NO,3687,2735,0,2735,74.18,BHANWAR KUNWAR,https://sec.rajasthan.gov.in/Nominations/336_SARPANCH_ERODELWR1_3K4K20223P26P33PM.pdf,1280,PREM KUNWAR,838,50,0
General Election,JAN-MAR 2020,RAJSAMAND,DELVADA PANCHAYAT SAMITI,12,Salor,General (Woman),5,NO,3834,3103,0,3103,80.93,VIMLA JAIN,https://sec.rajasthan.gov.in/Nominations/336_SARPANCH_ERODELWR1_3K4K20223P26P57PM.pdf,1417,LALITA DEVI,1205,54,0
General Election,JAN-MAR 2020,RAJSAMAND,DELVADA PANCHAYAT SAMITI,13,Semal,General (Woman),4,NO,3041,2121,0,2121,69.75,LEELA BAI,https://sec.rajasthan.gov.in/Nominations/336_SARPANCH_ERODELWR1_3K4K20223P27P14PM.pdf,888,PUSHPA,862,39,0
General Election,JAN-MAR 2020,RAJSAMAND,DELVADA PANCHAYAT SAMITI,14,Shishvi,OBC (Woman),8,NO,4000,3246,0,3246,81.15,VARJU,https://sec.rajasthan.gov.in/Nominations/336_SARPANCH_ERODELWR1_3K4K20223P27P27PM.pdf,1041,ROOPI,965,40,1
General Election,JAN-MAR 2020,RAJSAMAND,DELVADA PANCHAYAT SAMITI,15,Upali Oden,General,7,NO,3768,3205,0,3205,85.06,SURESH CHANDRA JALANIYA,https://sec.rajasthan.gov.in/Nominations/336_SARPANCH_ERODELWR1_3K4K20223P27P41PM.pdf,830,LAXMI NARAYAN MALI,639,42,0
General Election,JAN-MAR 2020,RAJSAMAND,DELVADA PANCHAYAT SAMITI,16,Uthnol,General,4,NO,4732,3730,0,3730,78.83,VIJENDRA SINGH,https://sec.rajasthan.gov.in/Nominations/336_SARPANCH_ERODELWR1_3K4K20223P27P52PM.pdf,1824,PUSHKAR LAL CHOUDHARY,1384,45,1
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,1,AAGARIYA,ST (Woman),1,YES,4684,0,0,0,0.0,RUKMANI,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20223P59P23PM.pdf,0,nan,0,0,0
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,2,AAIDANA,SC,8,NO,4317,3195,0,3195,74.01,LALIT KUMAR REGAR,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20224P00P04PM.pdf,1078,PRAKASH CHANDRA REGAR,556,81,0
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,3,BIKAWAS,General (Woman),6,NO,3770,2955,0,2955,78.38,SHYAM KANWAR,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20224P14P45PM.pdf,1317,SEEMA KUNWAR,986,56,0
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,4,DOOWARA,General,5,NO,4102,3323,0,3323,81.01,RATAN SINGH,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20224P15P07PM.pdf,976,LAHRI LAL,936,31,0
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,5,GALWA,General (Woman),7,NO,3597,2696,0,2696,74.95,MAYA DEVI,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20224P15P16PM.pdf,1229,PYARI BAI,504,32,0
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,6,GHOSUNDI,General,5,NO,3595,2856,0,2856,79.44,BAHADUR SINGH,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20224P15P37PM.pdf,1158,BALU LAL,694,40,0
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,7,GOWAL,General (Woman),6,NO,3871,2825,0,2825,72.98,KAILASH KANWAR,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20224P15P53PM.pdf,928,HAWAN KANWAR,864,56,0
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,8,JAITPURA,SC (Woman),7,NO,3524,2616,0,2616,74.23,AJI BAI,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20224P16P04PM.pdf,985,PUSHPA,849,45,0
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,9,JHOOR,General (Woman),2,NO,4170,3299,0,3299,79.11,DURGA KANWAR,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20224P16P17PM.pdf,2067,POOJA TELI,1205,27,0
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,10,JILOLA,General,10,NO,3370,2620,0,2620,77.74,RAM LAL,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20224P16P34PM.pdf,718,NAHAR SINGH BHATI,481,36,0
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,11,KHAKHARMALA,OBC,4,NO,4273,2876,0,2876,67.31,DEVENDRA SINGH CHARAN,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20224P16P47PM.pdf,1203,GAJANAND,972,34,0
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,12,LEEKI,OBC (Woman),9,NO,3550,2852,0,2852,80.34,ANJALI RAVAT,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20224P17P00PM.pdf,893,RADHA VAISHNAV,413,36,0
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,13,LODHIYANA,SC,6,NO,2810,1963,0,1963,69.86,HIRA LAL,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20224P17P37PM.pdf,907,MANISH PADMAVAT,434,43,0
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,14,OLANAKHERA,OBC,6,NO,4072,3014,0,3014,74.02,DINESH KUMAR,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20224P17P50PM.pdf,1211,BHERU LAL,1152,33,0
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,15,PANOTIYA,General (Woman),4,NO,4421,3566,0,3566,80.66,GOMI GURJAR,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20224P18P31PM.pdf,1590,MANJU DEVI,1440,26,0
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,16,RACHHETI,OBC (Woman),8,NO,4477,3380,0,3380,75.5,ANCHHI,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20224P18P52PM.pdf,1691,SAJJANA,946,39,0
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,17,SAKARADA,General (Woman),3,NO,3182,2456,0,2456,77.18,MOHNI DEVI,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20224P19P20PM.pdf,1617,KAMLA KANWAR,694,41,0
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,18,SARDARGARH,General,5,NO,5412,4105,0,4105,75.85,PRAVEEN MEWARA,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20224P19P32PM.pdf,2924,GANPAT LAL CHAUDHARI,889,54,0
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,19,SELAGURHA,General,7,NO,4737,3508,0,3508,74.06,GANGA SINGH CHUNDAWAT,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20224P19P43PM.pdf,1100,JAGDISH CHANDRA PALIWAL,1096,48,0
General Election,JAN-MAR 2020,RAJSAMAND,AMET PANCHAYAT SAMITI,20,SIYANA,ST,3,NO,3583,2659,0,2659,74.21,KELA BHIL,https://sec.rajasthan.gov.in/Nominations/207_SARPANCH_EROAMET1_2K25K20224P19P53PM.pdf,1250,DINESH CHANDRA BHIL,1201,104,0
General Election,JAN-MAR 2020,RAJSAMAND,DEOGARH PANCHAYAT SAMITI,1,ANJANA,ST,5,NO,3391,2200,0,2200,64.88,AMBA LAL BHIL,https://sec.rajasthan.gov.in/Nominations/209_SARPANCH_ERODEOG1_3K7K20221P36P37PM.PDF,1171,BHERU LAL,492,78,0
General Election,JAN-MAR 2020,RAJSAMAND,DEOGARH PANCHAYAT SAMITI,2,DOLPURA,OBC (Woman),7,NO,3079,2429,0,2429,78.89,PATASI,https://sec.rajasthan.gov.in/Nominations/209_SARPANCH_ERODEOG1_3K7K20221P38P30PM.PDF,916,REKHA,633,25,2
General Election,JAN-MAR 2020,RAJSAMAND,DEOGARH PANCHAYAT SAMITI,3,ISHARMAND,General (Woman),2,NO,3508,2471,0,2471,70.44,HANSHA BAI,https://sec.rajasthan.gov.in/Nominations/209_SARPANCH_ERODEOG1_3K7K20221P38P53PM.PDF,1595,MARUDHAR KANWAR,827,49,0
General Election,JAN-MAR 2020,RAJSAMAND,DEOGARH PANCHAYAT SAMITI,4,JEERAN,General,10,NO,3830,2758,0,2758,72.01,CHANDRABHAN SINGH,https://sec.rajasthan.gov.in/Nominations/209_SARPANCH_ERODEOG1_3K7K20221P39P18PM.PDF,876,SURESH SINGH,414,41,1
General Election,JAN-MAR 2020,RAJSAMAND,DEOGARH PANCHAYAT SAMITI,5,KAKROD,General,9,NO,3111,2388,0,2388,76.76,NARAYAN,https://sec.rajasthan.gov.in/Nominations/209_SARPANCH_ERODEOG1_3K7K20221P39P44PM.PDF,681,BHAGWAN SINGH,549,23,0
General Election,JAN-MAR 2020,RAJSAMAND,DEOGARH PANCHAYAT SAMITI,6,KALESARIYA,SC,3,NO,4050,3106,0,3106,76.69,JAYRAM,https://sec.rajasthan.gov.in/Nominations/209_SARPANCH_ERODEOG1_3K7K20221P40P03PM.PDF,2090,PEERU LAL,946,26,0
General Election,JAN-MAR 2020,RAJSAMAND,DEOGARH PANCHAYAT SAMITI,7,KUNDWA,OBC (Woman),7,NO,3314,2455,0,2455,74.08,SANTOSH,https://sec.rajasthan.gov.in/Nominations/209_SARPANCH_ERODEOG1_3K7K20221P40P18PM.PDF,704,MAYA,620,34,0
General Election,JAN-MAR 2020,RAJSAMAND,DEOGARH PANCHAYAT SAMITI,8,KUNVATHAL,General (Woman),8,NO,2993,2073,0,2073,69.26,SHYAMU,https://sec.rajasthan.gov.in/Nominations/209_SARPANCH_ERODEOG1_3K7K20221P40P47PM.PDF,907,SOHANI,360,29,0
General Election,JAN-MAR 2020,RAJSAMAND,DEOGARH PANCHAYAT SAMITI,9,LASANI,OBC,3,NO,5464,3676,0,3676,67.28,ASHU RAM,https://sec.rajasthan.gov.in/Nominations/209_SARPANCH_ERODEOG1_3K7K20221P40P58PM.PDF,2090,SHANKAR SINGH,1368,48,0
General Election,JAN-MAR 2020,RAJSAMAND,DEOGARH PANCHAYAT SAMITI,10,MAAD,General,4,NO,3961,3070,0,3070,77.51,ARJUN SINGH RATHOR,https://sec.rajasthan.gov.in/Nominations/209_SARPANCH_ERODEOG1_3K7K20221P41P30PM.PDF,1737,PUKHRAJ GURJAR,643,39,1
General Election,JAN-MAR 2020,RAJSAMAND,DEOGARH PANCHAYAT SAMITI,11,MADARIA,OBC,7,NO,3791,2799,0,2799,73.83,AMBA LAL,https://sec.rajasthan.gov.in/Nominations/209_SARPANCH_ERODEOG1_3K7K20221P42P18PM.PDF,1148,DILIP KUMAR,847,23,0
General Election,JAN-MAR 2020,RAJSAMAND,DEOGARH PANCHAYAT SAMITI,12,MIYALA,SC (Woman),7,NO,3033,2133,0,2133,70.33,VANITA DEVI,https://sec.rajasthan.gov.in/Nominations/209_SARPANCH_ERODEOG1_3K7K20221P42P34PM.PDF,840,VAJI DEVI,672,16,0
General Election,JAN-MAR 2020,RAJSAMAND,DEOGARH PANCHAYAT SAMITI,13,NARANA,General (Woman),7,NO,3920,2764,0,2764,70.51,SUGNA KANWAR,https://sec.rajasthan.gov.in/Nominations/209_SARPANCH_ERODEOG1_3K7K20221P42P49PM.PDF,875,GANESHI,830,41,1
General Election,JAN-MAR 2020,RAJSAMAND,DEOGARH PANCHAYAT SAMITI,14,NARDAS KA GUDHA,General (Woman),7,NO,3662,2583,0,2583,70.54,MANJU,https://sec.rajasthan.gov.in/Nominations/209_SARPANCH_ERODEOG1_3K7K20221P43P06PM.PDF,832,REKHA,604,36,0
General Election,JAN-MAR 2020,RAJSAMAND,DEOGARH PANCHAYAT SAMITI,15,PARDI,General,11,NO,3600,2733,0,2733,75.92,HEERA LAL,https://sec.rajasthan.gov.in/Nominations/209_SARPANCH_ERODEOG1_3K7K20221P43P21PM.PDF,563,HAMRAJ SINGH,522,43,0
General Election,JAN-MAR 2020,RAJSAMAND,DEOGARH PANCHAYAT SAMITI,16,SANGAWAS,General (Woman),9,NO,3588,2512,0,2512,70.01,GANGA DEVI,https://sec.rajasthan.gov.in/Nominations/209_SARPANCH_ERODEOG1_3K7K20221P43P35PM.PDF,660,VIMLA DEVI,530,41,1
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,1,AJEETGARH,General,11,NO,3935,3041,0,3041,77.28,SOHNI DEVI,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P31P02PM.pdf,1372,UDAI SINGH,1193,37,2
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,2,BAGGAR,General,8,NO,3276,2364,0,2364,72.16,VISHVAMBHER KRISHAN SINGH,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20224P05P04PM.pdf,655,NARAYAN SINGH,614,19,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,3,BAGHANA,General,13,NO,4208,3018,0,3018,71.72,VISHNU KUMAR,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20224P31P40PM.pdf,1149,VIMAL SINGH,416,40,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,4,Balato Ki Gawar,SC (Woman),10,NO,2931,2337,0,2337,79.73,VIMLA KHATIK,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P36P48PM.pdf,670,SANTOSH DEVI,539,32,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,5,BALI,OBC (Woman),12,NO,3356,2528,0,2528,75.33,NIDHI,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P58P34PM.pdf,447,PRIYANKA DEVI,442,16,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,6,BAR,General,4,NO,4040,3213,0,3213,79.53,LAKSHMAN SINGH,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P35P17PM.pdf,1454,GANGA DEVI,1192,36,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,7,BARAR,OBC (Woman),4,NO,4292,3227,0,3227,75.19,PANKAJ KANWAR,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P58P52PM.pdf,1192,FOOLWANTI,1163,36,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,8,BARJAL,OBC,7,NO,3196,2354,0,2354,73.65,SURESH SINGH,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P36P28PM.pdf,929,NARENDRA SINGH,762,37,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,9,BHEEM,General (Woman),14,NO,8647,6679,0,6679,77.24,YASHODA KANWAR,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P37P17PM.pdf,2309,YASHODA DEVI,1288,63,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,10,Biliyawas,OBC,9,NO,2721,1926,0,1926,70.78,DEEP SINGH,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P34P05PM.pdf,373,LAKHA SINGH,351,15,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,11,BORWA,General (Woman),5,NO,3989,3081,0,3081,77.24,SALMA,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20224P00P27PM.pdf,1017,GEETA,910,79,5
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,12,CHHAPALI,General,9,NO,4172,2959,0,2959,70.93,GANPAT SINGH,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P54P10PM.pdf,606,NARAYAN SINGH,519,29,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,13,DANGERKHEDA,General (Woman),8,NO,3142,2539,0,2539,80.81,KAMLA DEVI,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20224P30P55PM.pdf,769,SALMA MEHRAT,580,43,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,14,DEWAR,OBC,7,NO,4756,3436,0,3436,72.25,BHANWAR SINGH,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20224P28P25PM.pdf,1350,KAMLESH,1026,43,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,15,Dunga Ji ka Gaon,General (Woman),2,NO,4325,3251,0,3251,75.17,KANCHAN DEVI,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P35P00PM.pdf,2573,JAMNA DEVI,635,43,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,16,Hamela Ki Weir,SC,6,NO,2220,1652,0,1652,74.41,RAKESH KUMAR,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P59P11PM.pdf,968,BHANWRI DEVI,438,44,2
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,17,KACHHABALI,General (Woman),8,NO,3495,2628,0,2628,75.19,ASHA DEVI,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P33P16PM.pdf,666,TARUNA DEVI,640,26,1
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,18,KALADEH,OBC,8,NO,4647,3407,0,3407,73.32,BALVEER SINGH,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P33P45PM.pdf,1496,VIKRAM SINGH,793,46,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,19,KALAGUMAN,General,9,NO,2951,2194,0,2194,74.35,MOTH SINGH,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P56P41PM.pdf,852,GULAB KANWAR,415,35,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,20,KHEEMA KHERA,ST (Woman),2,NO,2195,1456,0,1456,66.33,MEENAXI BHIL,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P56P18PM.pdf,723,SONI DEVI,695,38,1
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,21,KUKARKHEDA,General (Woman),13,NO,4900,3655,0,3655,74.59,KHYALI DEVI,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P55P02PM.pdf,952,MEENA DEVI,678,39,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,22,KUSHALPURA,General (Woman),15,NO,3988,2997,0,2997,75.15,SONU KANWAR,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20224P03P10PM.pdf,508,NAINA DEVI,347,37,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,23,LAGETKHERA,General (Woman),11,NO,4084,3207,0,3207,78.53,VIMLA,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20224P32P02PM.pdf,1005,BINDU CHAUHAN,864,22,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,24,LAKHA GUDHA,OBC (Woman),16,NO,3239,2284,0,2284,70.52,BASANTA KANWAR,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P53P49PM.pdf,489,KANCHAN KANWAR,404,7,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,25,MANDAWAR,General (Woman),8,NO,3099,2290,0,2290,73.89,PYARI,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P36P05PM.pdf,805,MEERA,641,25,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,26,PIPLI NAGAR,SC,5,NO,3943,2763,0,2763,70.07,SURESH BHAI BHAT,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20224P04P24PM.pdf,1379,ANITA BHAND,782,85,1
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,27,SAMELIYA,General (Woman),7,NO,4139,2889,0,2889,69.8,JYOTI BALA,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P34P22PM.pdf,1103,SANGITA,1017,30,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,28,SAROTH,General,8,NO,2424,1873,0,1873,77.27,KAMLA DEVI,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P34P39PM.pdf,585,RAKESH KUMAR,516,25,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,29,SHEKHAWAS,General,2,NO,4224,3278,0,3278,77.6,HALU KAATHAT,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20224P30P11PM.pdf,2018,PADAM SINGH,1181,79,0
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,30,THIKARWAS,General,5,NO,3197,2434,0,2434,76.13,MANOHAR SINGH,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20223P55P37PM.pdf,1154,LALIT SINGH,581,26,1
General Election,JAN-MAR 2020,RAJSAMAND,BHIM PANCHAYAT SAMITI,31,TOGI,General (Woman),3,NO,3773,3020,0,3020,80.04,SHANTA,https://sec.rajasthan.gov.in/Nominations/208_SARPANCH_EROBHIM1_3K4K20224P02P45PM.pdf,1491,HANJA,1414,65,0
General Election,JAN-MAR 2020,RAJSAMAND,DEOGARH PANCHAYAT SAMITI,17,Sohangarh,SC (Woman),6,NO,3007,2105,0,2105,70.0,MAMTA DEVI,https://sec.rajasthan.gov.in/Nominations/209_SARPANCH_ERODEOG1_3K7K20221P44P41PM.PDF,956,KELI,717,19,0
General Election,JAN-MAR 2020,RAJSAMAND,DEOGARH PANCHAYAT SAMITI,18,SWADARI,General,12,NO,4826,3639,0,3639,75.4,TRILOK SINGH,https://sec.rajasthan.gov.in/Nominations/209_SARPANCH_ERODEOG1_3K7K20221P43P52PM.PDF,657,MAHENDRA SINGH,596,41,0
