sl_no_2005,dist_name_2005,samiti_name_2005,gp_2005,reservation_2005,name_2005,sex_2005,category_2005,gp_new_2005,dist_name_new_2005,samiti_name_new_2005,dist_2010_2005,key_2005,sl_no_2010,dist_name_2010,samiti_name_2010,gp_2010,reservation_2010,name_2010,sex_2010,category_2010,gp_new_2010,dist_name_new_2010,samiti_name_new_2010,key_2010,dist,nuke
1538,BARMER,DHORIMANA,SHOBHALA DARSHAN,GEN,BHALA,MALE,GEN,shobhala dsarshan,BARMER,DHORIMANNA,NA,BARMERDHORIMANNAshobhala dsarshan,1504,BARMER,DHORIMANNA,SHOBHALA DSARSHAN,GEN,GANGA RAM,M,OBC,shobhala dsarshan,BARMER,DHORIMANNA,BARMERDHORIMANNAshobhala dsarshan,0,
1539,BARMER,DHORIMANA,SI.HARNIYAN,GEN W,JHAMU DEVI,FEMALE,GEN,sidhaswa harniyan,BARMER,DHORIMANNA,NA,BARMERDHORIMANNAsidhaswa harniyan,1505,BARMER,DHORIMANNA,SIDHASWA HARNIYAN,GENW,HAPIYO,F,OBCW,sidhaswa harniyan,BARMER,DHORIMANNA,BARMERDHORIMANNAsidhaswa harniyan,0,
1540,BARMER,DHORIMANA,SONDI,GEN,PEMARAM,MALE,GEN,sonadi,BARMER,DHORIMANNA,NA,BARMERDHORIMANNAsonadi,1506,BARMER,DHORIMANNA,SONADI,GEN,POKRA RAM,M,GEN,sonadi,BARMER,DHORIMANNA,BARMERDHORIMANNAsonadi,0,
1541,BARMER,DHORIMANA,SURABERI,GEN,JAGMALRAM,MALE,GEN,sudaberi,BARMER,DHORIMANNA,NA,BARMERDHORIMANNAsudaberi,1507,BARMER,DHORIMANNA,SUDABERI,GEN,VEERMA,M,OBC,sudaberi,BARMER,DHORIMANNA,BARMERDHORIMANNAsudaberi,0,
1542,BARMER,DHORIMANA,UDASAR,OBC,LACHHI DEVI,FEMALE,OBC,udasar,BARMER,DHORIMANNA,NA,BARMERDHORIMANNAudasar,1508,BARMER,DHORIMANNA,UDASAR,SCW,KATU DEVI,F,SCW,udasar,BARMER,DHORIMANNA,BARMERDHORIMANNAudasar,0,
1543,BARMER,DHORIMANA,VISARNIYA,GEN,MANGLARAM,MALE,GEN,visarniya,BARMER,DHORIMANNA,NA,BARMERDHORIMANNAvisarniya,1475,BARMER,DHORIMANNA,BISARNIY A,GENW,FOOLI DEVI,F,OBCW,bisarniya,BARMER,DHORIMANNA,BARMERDHORIMANNAbisarniya,1,
1544,BARMER,SHEO,AASADI,OBC,BHIKHA,MALE,OBC,aasadi,BARMER,SHEO,NA,BARMERSHEOaasadi,1510,BARMER,SHEO,AASADI,GENW,JAM KANWAR,F,GENW,aasadi,BARMER,SHEO,BARMERSHEOaasadi,0,
1545,BARMER,SHEO,AKLI,GEN W,MANAKDE,FEMALE,OBC,akali,BARMER,SHEO,NA,BARMERSHEOakali,1511,BARMER,SHEO,AKALI,GEN,BASANT SINGH,M,GEN,akali,BARMER,SHEO,BARMERSHEOakali,0,
1546,BARMER,SHEO,ARANG,GEN W,HARKANWAR,FEMALE,GEN,balasar,BARMER,SHEO,NA,BARMERSHEObalasar,1531,BARMER,SHEO,KANASAR,OBC,NAGA RAM,M,OBC,kanasar,BARMER,SHEO,BARMERSHEOkanasar,2,1
1546,BARMER,SHEO,ARANG,GEN W,HARKANWAR,FEMALE,GEN,balasar,BARMER,SHEO,NA,BARMERSHEObalasar,1544,BARMER,SHEO,RANASAR,GENW,GOPI DEVI,F,SCW,ranasar,BARMER,SHEO,BARMERSHEOranasar,2,1
1547,BARMER,SHEO,BALASAR,GEN,KHANGAR SINGH,MALE,GEN,balasar,BARMER,SHEO,NA,BARMERSHEObalasar,1531,BARMER,SHEO,KANASAR,OBC,NAGA RAM,M,OBC,kanasar,BARMER,SHEO,BARMERSHEOkanasar,2,1
1547,BARMER,SHEO,BALASAR,GEN,KHANGAR SINGH,MALE,GEN,balasar,BARMER,SHEO,NA,BARMERSHEObalasar,1544,BARMER,SHEO,RANASAR,GENW,GOPI DEVI,F,SCW,ranasar,BARMER,SHEO,BARMERSHEOranasar,2,1
1546,BARMER,SHEO,ARANG,GEN W,HARKANWAR,FEMALE,GEN,balasar,BARMER,SHEO,NA,BARMERSHEObalasar,1512,BARMER,SHEO,BALASAR,GENW,SAKU KANWAR,F,GENW,balasar,BARMER,SHEO,BARMERSHEObalasar,0,
1547,BARMER,SHEO,BALASAR,GEN,KHANGAR SINGH,MALE,GEN,balasar,BARMER,SHEO,NA,BARMERSHEObalasar,1512,BARMER,SHEO,BALASAR,GENW,SAKU KANWAR,F,GENW,balasar,BARMER,SHEO,BARMERSHEObalasar,0,
1548,BARMER,SHEO,BALEWA,ST,AJURAM,MALE,ST,balewa,BARMER,SHEO,NA,BARMERSHEObalewa,1513,BARMER,SHEO,BALEW A,GEN,TULCHI DEVI,F,OBCW,balewa,BARMER,SHEO,BARMERSHEObalewa,0,
1549,BARMER,SHEO,BANDHDA,GEN,KRIPALDAS,MALE,GEN,bandhda,BARMER,SHEO,NA,BARMERSHEObandhda,1514,BARMER,SHEO,BANDHRA,SC,PANU RAM,M,SC,bandhra,BARMER,SHEO,BARMERSHEObandhra,1,
1551,BARMER,SHEO,BINJAWAL,GEN,CHATAR KANWAR,FEMALE,GEN,beejawal,BARMER,SHEO,NA,BARMERSHEObeejawal,1515,BARMER,SHEO,BEEJAWAL,OBC,KAJEE KHAN,M,OBC,beejawal,BARMER,SHEO,BARMERSHEObeejawal,0,
1552,BARMER,SHEO,BISU KALAN,SC,GOVINDRAM,MALE,SC,beesukala,BARMER,SHEO,NA,BARMERSHEObeesukala,1516,BARMER,SHEO,BEESUKALA,OBC,DANARAM,M,OBC,beesukala,BARMER,SHEO,BARMERSHEObeesukala,0,
1550,BARMER,SHEO,BHIYAD,GEN,SAWAI SINGH,MALE,GEN,bhiyad,BARMER,SHEO,NA,BARMERSHEObhiyad,1517,BARMER,SHEO,BHIYAD,GEN,MURAR SINGH,M,GEN,bhiyad,BARMER,SHEO,BARMERSHEObhiyad,0,
1554,BARMER,SHEO,CHETRODI,GEN,REWANT SINGH,MALE,GEN,chetrodi,BARMER,SHEO,NA,BARMERSHEOchetrodi,1518,BARMER,SHEO,CHETRODI,GENW,SAYAR KANWAR,F,GENW,chetrodi,BARMER,SHEO,BARMERSHEOchetrodi,0,
1553,BARMER,SHEO,CHAUCHRA,GEN,SAGRARAM,MALE,OBC,chochara,BARMER,SHEO,NA,BARMERSHEOchochara,1519,BARMER,SHEO,CHOCHARA,OBCW,TULSI BAI,F,OBCW,chochara,BARMER,SHEO,BARMERSHEOchochara,0,
1555,BARMER,SHEO,DHARVI KALAN,OBC,SARDARA,MALE,OBC,dharvikalan,BARMER,SHEO,NA,BARMERSHEOdharvikalan,1520,BARMER,SHEO,DHARVIKALAN,GENW,TARA KANWAR,F,GENW,dharvikalan,BARMER,SHEO,BARMERSHEOdharvikalan,0,
1556,BARMER,SHEO,GADRA ROAD,ST W,KENKU,FEMALE,ST,gadraroad,BARMER,SHEO,NA,BARMERSHEOgadraroad,1522,BARMER,SHEO,GADRAROAD,OBCW,SAMDA DEVI,F,OBCW,gadraroad,BARMER,SHEO,BARMERSHEOgadraroad,0,
1557,BARMER,SHEO,GIRAB,GEN W,RAJ KANWAR,FEMALE,GEN,girab,BARMER,SHEO,NA,BARMERSHEOgirab,1523,BARMER,SHEO,GIRAB,OBCW,KAMLA,F,OBCW,girab,BARMER,SHEO,BARMERSHEOgirab,0,
1558,BARMER,SHEO,GUNGA,GEN W,SUJIDEVI,FEMALE,OBC,gunga,BARMER,SHEO,NA,BARMERSHEOgunga,1524,BARMER,SHEO,GUNGA,GEN,MURAR DAN,M,OBC,gunga,BARMER,SHEO,BARMERSHEOgunga,0,
1559,BARMER,SHEO,HARSANI,GEN,LADHU SINGH,MALE,GEN,harsani,BARMER,SHEO,NA,BARMERSHEOharsani,1525,BARMER,SHEO,HARSANI,SCW,MATKA DEVI,F,SCW,harsani,BARMER,SHEO,BARMERSHEOharsani,0,
1560,BARMER,SHEO,HATHI SINGH KI DHANI,OBC,SHIVDAN,MALE,OBC,hathi singh ka gaon,BARMER,SHEO,NA,BARMERSHEOhathi singh ka gaon,1526,BARMER,SHEO,HATHI SINGH KA GAON,STW,BABRI,F,STW,hathi singh ka gaon,BARMER,SHEO,BARMERSHEOhathi singh ka gaon,0,
1561,BARMER,SHEO,JAISINDHAR GAON,OBC,GEMARLAL,MALE,OBC,jaisindhar gaon,BARMER,SHEO,NA,BARMERSHEOjaisindhar gaon,1527,BARMER,SHEO,JAISINDHAR GAON,GEN,SHER MOHAMMAD,M,OBC,jaisindhar gaon,BARMER,SHEO,BARMERSHEOjaisindhar gaon,0,
1562,BARMER,SHEO,JAISINDHAR STATION,GEN,SUMAN DEVI,FEMALE,SC,jaisindhar station,BARMER,SHEO,NA,BARMERSHEOjaisindhar station,1528,BARMER,SHEO,JAISINDHAR STATION,OBC,NAVAB KHAN,M,OBC,jaisindhar station,BARMER,SHEO,BARMERSHEOjaisindhar station,0,
1563,BARMER,SHEO,JHANKLI,GEN,VIJRAJ SINGH,MALE,GEN,jhankali,BARMER,SHEO,NA,BARMERSHEOjhankali,1529,BARMER,SHEO,JHANKALI,SCW,SWATI,F,SCW,jhankali,BARMER,SHEO,BARMERSHEOjhankali,0,
1564,BARMER,SHEO,JHAPHLI KALA,GEN,ARJUN SINGH,MALE,GEN,jhapli kala,BARMER,SHEO,NA,BARMERSHEOjhapli kala,1530,BARMER,SHEO,JHAPLI KALA,GEN,RAHEEM KHAN,M,GEN,jhapli kala,BARMER,SHEO,BARMERSHEOjhapli kala,0,
1565,BARMER,SHEO,KANASAR,GEN W,GANGA DEVI,FEMALE,OBC,kanasar,BARMER,SHEO,NA,BARMERSHEOkanasar,1512,BARMER,SHEO,BALASAR,GENW,SAKU KANWAR,F,GENW,balasar,BARMER,SHEO,BARMERSHEObalasar,2,1
1565,BARMER,SHEO,KANASAR,GEN W,GANGA DEVI,FEMALE,OBC,kanasar,BARMER,SHEO,NA,BARMERSHEOkanasar,1544,BARMER,SHEO,RANASAR,GENW,GOPI DEVI,F,SCW,ranasar,BARMER,SHEO,BARMERSHEOranasar,1,1
1565,BARMER,SHEO,KANASAR,GEN W,GANGA DEVI,FEMALE,OBC,kanasar,BARMER,SHEO,NA,BARMERSHEOkanasar,1531,BARMER,SHEO,KANASAR,OBC,NAGA RAM,M,OBC,kanasar,BARMER,SHEO,BARMERSHEOkanasar,0,
1566,BARMER,SHEO,KASHMIR,OBC W,DHAI,FEMALE,OBC,kashmeer,BARMER,SHEO,NA,BARMERSHEOkashmeer,1532,BARMER,SHEO,KASHMEER,GENW,LACHI DEVI,F,GENW,kashmeer,BARMER,SHEO,BARMERSHEOkashmeer,0,
1567,BARMER,SHEO,KHABDALA,GEN,PRATAP SINGH,MALE,GEN,khabdala,BARMER,SHEO,NA,BARMERSHEOkhabdala,1533,BARMER,SHEO,KHABDALA,GEN,CHANDRA KANWAR,F,GENW,khabdala,BARMER,SHEO,BARMERSHEOkhabdala,0,
1568,BARMER,SHEO,KHALIFE KI BABADI,GEN,ROSHAN,MALE,OBC,khalife ki bavdi,BARMER,SHEO,NA,BARMERSHEOkhalife ki bavdi,1534,BARMER,SHEO,KHALIFE KI BAVDI,GEN,ROSHAN KHAN,M,OBC,khalife ki bavdi,BARMER,SHEO,BARMERSHEOkhalife ki bavdi,0,
1569,BARMER,SHEO,KHANIYANI,GEN W,JIMIYAT,FEMALE,OBC,khaniyani,BARMER,SHEO,NA,BARMERSHEOkhaniyani,1535,BARMER,SHEO,KHANIY ANI,GENW,AMNI,F,GENW,khaniyani,BARMER,SHEO,BARMERSHEOkhaniyani,0,
1570,BARMER,SHEO,KHARCHI,OBC W,SAMAND KANWAR,FEMALE,OBC,kharchi,BARMER,SHEO,NA,BARMERSHEOkharchi,1536,BARMER,SHEO,KHARCHI,GEN,AAL SINGH,M,OBC,kharchi,BARMER,SHEO,BARMERSHEOkharchi,0,
1571,BARMER,SHEO,KOTDA,GEN,GEMARSINGH,MALE,GEN,kotda,BARMER,SHEO,NA,BARMERSHEOkotda,1537,BARMER,SHEO,KOTDA,GEN,ISHWAR SINGH,M,GEN,kotda,BARMER,SHEO,BARMERSHEOkotda,0,
1572,BARMER,SHEO,MAUKHAB KALAN,SC,RIDMALRAM,MALE,SC,mokhab,BARMER,SHEO,NA,BARMERSHEOmokhab,1538,BARMER,SHEO,MOKHAB,GEN,ANTAR KANWAR,F,GENW,mokhab,BARMER,SHEO,BARMERSHEOmokhab,0,
1573,BARMER,SHEO,MUNGERIYA,GEN,GANGARAM,MALE,OBC,mungeriya,BARMER,SHEO,NA,BARMERSHEOmungeriya,1539,BARMER,SHEO,MUNGERIY A,SC,PANCHI DEVI,F,SCW,mungeriya,BARMER,SHEO,BARMERSHEOmungeriya,0,
1574,BARMER,SHEO,NAGDDA,GEN,BHAWANI SINGH,MALE,GEN,nagarda,BARMER,SHEO,NA,BARMERSHEOnagarda,1540,BARMER,SHEO,NAGARDA,GENW,HAR KANWAR,F,GENW,nagarda,BARMER,SHEO,BARMERSHEOnagarda,0,
1575,BARMER,SHEO,NIMBLA,OBC,GANESHARAM,MALE,OBC,nimbla,BARMER,SHEO,NA,BARMERSHEOnimbla,1541,BARMER,SHEO,NIMBALA,GEN,DIPSINGH,M,GEN,nimbala,BARMER,SHEO,BARMERSHEOnimbala,1,
1576,BARMER,SHEO,PHOGERA,SC W,TIBU DEVI,FEMALE,SC,phogera,BARMER,SHEO,NA,BARMERSHEOphogera,1521,BARMER,SHEO,FOGERA,GENW,SARE KANWAR,F,GENW,fogera,BARMER,SHEO,BARMERSHEOfogera,2,1
1577,BARMER,SHEO,RAJBERA,SC,ANDARAM,MALE,SC,rajbera,BARMER,SHEO,NA,BARMERSHEOrajbera,1542,BARMER,SHEO,RAJBERA,OBCW,JAMALI,F,OBCW,rajbera,BARMER,SHEO,BARMERSHEOrajbera,0,
1578,BARMER,SHEO,RAJDAL,OBC W,CHHAGAN,FEMALE,OBC,rajdal,BARMER,SHEO,NA,BARMERSHEOrajdal,1543,BARMER,SHEO,RAJDAL,SCW,PANCHI DEVI,F,SCW,rajdal,BARMER,SHEO,BARMERSHEOrajdal,0,
1579,BARMER,SHEO,RANASAR,OBC,ALANAKHAN,MALE,OBC,ranasar,BARMER,SHEO,NA,BARMERSHEOranasar,1512,BARMER,SHEO,BALASAR,GENW,SAKU KANWAR,F,GENW,balasar,BARMER,SHEO,BARMERSHEObalasar,2,1
1579,BARMER,SHEO,RANASAR,OBC,ALANAKHAN,MALE,OBC,ranasar,BARMER,SHEO,NA,BARMERSHEOranasar,1531,BARMER,SHEO,KANASAR,OBC,NAGA RAM,M,OBC,kanasar,BARMER,SHEO,BARMERSHEOkanasar,1,1
1579,BARMER,SHEO,RANASAR,OBC,ALANAKHAN,MALE,OBC,ranasar,BARMER,SHEO,NA,BARMERSHEOranasar,1544,BARMER,SHEO,RANASAR,GENW,GOPI DEVI,F,SCW,ranasar,BARMER,SHEO,BARMERSHEOranasar,0,
1580,BARMER,SHEO,REDANA,GEN W,REKHA KANWAR,FEMALE,GEN,redana,BARMER,SHEO,NA,BARMERSHEOredana,1545,BARMER,SHEO,REDANA,SC,KEKUDEVI,F,SCW,redana,BARMER,SHEO,BARMERSHEOredana,0,
1581,BARMER,SHEO,ROHIDI,GEN,KUSHAL SINGH,MALE,GEN,rohini,BARMER,SHEO,NA,BARMERSHEOrohini,1546,BARMER,SHEO,ROHINI,GENW,SAREEFA,F,GENW,rohini,BARMER,SHEO,BARMERSHEOrohini,0,
1582,BARMER,SHEO,SHAHDAD KA PAR,GEN,GIRDHAR SINGH,MALE,GEN,sahadad ka par,BARMER,SHEO,NA,BARMERSHEOsahadad ka par,1547,BARMER,SHEO,SAHADAD KA PAR,GEN,SARADEEN,M,OBC,sahadad ka par,BARMER,SHEO,BARMERSHEOsahadad ka par,0,
1583,BARMER,SHEO,SHEO,GEN,SAGTARAM,MALE,OBC,shiv,BARMER,SHEO,NA,BARMERSHEOshiv,1548,BARMER,SHEO,SHIV,GEN,DERAVAR SINGH,M,GEN,shiv,BARMER,SHEO,BARMERSHEOshiv,0,
1584,BARMER,SHEO,SUNDRA,GEN W,GULAB KANWAR,FEMALE,GEN,sundra,BARMER,SHEO,NA,BARMERSHEOsundra,1549,BARMER,SHEO,SUNDARA,GENW,JADA KANWAR,F,GENW,sundara,BARMER,SHEO,BARMERSHEOsundara,1,
1585,BARMER,SHEO,SWAMI KA GAON,SC W,MIRANGADEVI,FEMALE,SC,swami ka gaon,BARMER,SHEO,NA,BARMERSHEOswami ka gaon,1550,BARMER,SHEO,SWAMI KA GAON,OBCW,SAMANI,F,OBCW,swami ka gaon,BARMER,SHEO,BARMERSHEOswami ka gaon,0,
1586,BARMER,SHEO,TAMLOR,SC,THARURAM,MALE,SC,tamlor,BARMER,SHEO,NA,BARMERSHEOtamlor,1551,BARMER,SHEO,T AMLOR,GENW,SURAJ KANWAR,F,GENW,tamlor,BARMER,SHEO,BARMERSHEOtamlor,0,
1587,BARMER,SHEO,TANU MANJI,GEN W,MIRAG KANWAR,FEMALE,GEN,tanumanji,BARMER,SHEO,NA,BARMERSHEOtanumanji,1552,BARMER,SHEO,T ANUMANJI,GENW,SUGAN KANWAR,F,GENW,tanumanji,BARMER,SHEO,BARMERSHEOtanumanji,0,
1588,BARMER,SHEO,UNDU,SC,TAGARAM,MALE,SC,undu,BARMER,SHEO,NA,BARMERSHEOundu,1553,BARMER,SHEO,UNDU,ST,NANGA RAM,M,ST,undu,BARMER,SHEO,BARMERSHEOundu,0,
1589,BARMER,SINDHARI,AADEL,GEN W,MONI DEVI,FEMALE,GEN,aadel,BARMER,SINDHARI,NA,BARMERSINDHARIaadel,1554,BARMER,SINDHARI,AADEL,OBC,MONI DEVI,F,OBCW,aadel,BARMER,SINDHARI,BARMERSINDHARIaadel,0,
1591,BARMER,SINDHARI,ADARSH CHWA,OBC,BHAGAT SSINGH,MALE,OBC,adarsh chawa,BARMER,SINDHARI,NA,BARMERSINDHARIadarsh chawa,1555,BARMER,SINDHARI,ADARSH CHAWA,GEN,BHAGAT SINGH,M,OBC,adarsh chawa,BARMER,SINDHARI,BARMERSINDHARIadarsh chawa,0,
1590,BARMER,SINDHARI,AD SINDHARI,GEN,PANNA RAM,MALE,OBC,adsindhari,BARMER,SINDHARI,NA,BARMERSINDHARIadsindhari,1556,BARMER,SINDHARI,ADSINDHARI,GEN,PANNA RAM,M,OBC,adsindhari,BARMER,SINDHARI,BARMERSINDHARIadsindhari,0,
1592,BARMER,SINDHARI,BAND,SC,BHANWARA RAM,MALE,SC,bandh,BARMER,SINDHARI,NA,BARMERSINDHARIbandh,1557,BARMER,SINDHARI,BANDH,GENW,MANU DEVI,F,GENW,bandh,BARMER,SINDHARI,BARMERSINDHARIbandh,0,
1593,BARMER,SINDHARI,BERIWALATALA,GEN W,JETHI DEVI,FEMALE,OBC,beriwala tala,BARMER,SINDHARI,NA,BARMERSINDHARIberiwala tala,1558,BARMER,SINDHARI,BERIWALA TALA,GEN,KHARTHA RAM,M,GEN,beriwala tala,BARMER,SINDHARI,BARMERSINDHARIberiwala tala,0,
1594,BARMER,SINDHARI,BHUKA BHAGATSINGH,GEN,SUMER SINGH RAJPUT,MALE,GEN,bhunka bagatsingh,BARMER,SINDHARI,NA,BARMERSINDHARIbhunka bagatsingh,1559,BARMER,SINDHARI,BHUNKA BAGATSINGH,GEN,SUMER SINGH,M,GEN,bhunka bagatsingh,BARMER,SINDHARI,BARMERSINDHARIbhunka bagatsingh,0,
1595,BARMER,SINDHARI,BODWA,GEN,TIKMARAM,MALE,OBC,bodva,BARMER,SINDHARI,NA,BARMERSINDHARIbodva,1560,BARMER,SINDHARI,BODV A,GENW,DHELI DEVI,F,OBCW,bodva,BARMER,SINDHARI,BARMERSINDHARIbodva,0,
1597,BARMER,SINDHARI,CHWA,SC,KHAIRAJ RAM MEGWAL,MALE,SC,chawa,BARMER,SINDHARI,NA,BARMERSINDHARIchawa,1561,BARMER,SINDHARI,CHAWA,OBC,CHATRU,F,OBCW,chawa,BARMER,SINDHARI,BARMERSINDHARIchawa,0,
1596,BARMER,SINDHARI,CHHOTU,SC W,MANJU,FEMALE,SC,chhotu,BARMER,SINDHARI,NA,BARMERSINDHARIchhotu,1562,BARMER,SINDHARI,CHHOTU,OBC,MOOLA RAM,M,OBC,chhotu,BARMER,SINDHARI,BARMERSINDHARIchhotu,0,
1598,BARMER,SINDHARI,DANDALI,OBC W,TEEJO DEVI,FEMALE,OBC,dandali,BARMER,SINDHARI,NA,BARMERSINDHARIdandali,1563,BARMER,SINDHARI,DANDALI,GENW,ANACHI DEVI,F,GENW,dandali,BARMER,SINDHARI,BARMERSINDHARIdandali,0,
1599,BARMER,SINDHARI,DANKHA,GEN,BHIKHARAM,MALE,GEN,dankha,BARMER,SINDHARI,NA,BARMERSINDHARIdankha,1564,BARMER,SINDHARI,DANKHA,GENW,LEEL KANWAR,F,GENW,dankha,BARMER,SINDHARI,BARMERSINDHARIdankha,0,
1600,BARMER,SINDHARI,DHANWA,GEN W,JEEWO,FEMALE,OBC,dhanva,BARMER,SINDHARI,NA,BARMERSINDHARIdhanva,1565,BARMER,SINDHARI,DHANVA,SCW,NENU,F,SCW,dhanva,BARMER,SINDHARI,BARMERSINDHARIdhanva,0,
1601,BARMER,SINDHARI,DHOLANADA,GEN,ACHLA RAM,MALE,OBC,dholanada,BARMER,SINDHARI,NA,BARMERSINDHARIdholanada,1566,BARMER,SINDHARI,DHOLANADA,GEN,AMLU RAM,M,OBC,dholanada,BARMER,SINDHARI,BARMERSINDHARIdholanada,0,
1602,BARMER,SINDHARI,GO-JETMAL,OBC W,MEERON DEVI,FEMALE,OBC,goliya jaitmal,BARMER,SINDHARI,NA,BARMERSINDHARIgoliya jaitmal,1567,BARMER,SINDHARI,GOLIYA JAITMAL,GENW,CHUNI DEVI,F,GENW,goliya jaitmal,BARMER,SINDHARI,BARMERSINDHARIgoliya jaitmal,0,
1603,BARMER,SINDHARI,HODU,GEN W,RAMBHA DEVI,FEMALE,OBC,hodu,BARMER,SINDHARI,NA,BARMERSINDHARIhodu,1568,BARMER,SINDHARI,HODU,GENW,PEMPO DEVI,F,OBCW,hodu,BARMER,SINDHARI,BARMERSINDHARIhodu,0,
1604,BARMER,SINDHARI,JUNAMEETHA KHEDA,GEN,MOOL SINGH,MALE,GEN,junameetha khera,BARMER,SINDHARI,NA,BARMERSINDHARIjunameetha khera,1569,BARMER,SINDHARI,JUNAMEETHA KHERA,SCW,LEELA DEVI,F,SCW,junameetha khera,BARMER,SINDHARI,BARMERSINDHARIjunameetha khera,0,
1605,BARMER,SINDHARI,KADANADI,OBC,BHERARAM,MALE,OBC,kadanadi,BARMER,SINDHARI,NA,BARMERSINDHARIkadanadi,1570,BARMER,SINDHARI,KADANADI,GEN,CHUNI LAL,M,OBC,kadanadi,BARMER,SINDHARI,BARMERSINDHARIkadanadi,0,
1606,BARMER,SINDHARI,KAGAU,ST,GENARAM,MALE,ST,kagau,BARMER,SINDHARI,NA,BARMERSINDHARIkagau,1571,BARMER,SINDHARI,KAGAU,GENW,LEELA DEVI,F,GENW,kagau,BARMER,SINDHARI,BARMERSINDHARIkagau,0,
1607,BARMER,SINDHARI,KAMTHAI,GEN W,TIPU,FEMALE,OBC,kamthai,BARMER,SINDHARI,NA,BARMERSINDHARIkamthai,1572,BARMER,SINDHARI,KAMTHAI,OBCW,HEERO,F,OBCW,kamthai,BARMER,SINDHARI,BARMERSINDHARIkamthai,0,
1608,BARMER,SINDHARI,KARNA,GEN W,WAGTU,FEMALE,OBC,karna,BARMER,SINDHARI,NA,BARMERSINDHARIkarna,1595,BARMER,SINDHARI,SARNU,GENW,KHAMMA DEVI,F,GENW,sarnu,BARMER,SINDHARI,BARMERSINDHARIsarnu,2,1
1608,BARMER,SINDHARI,KARNA,GEN W,WAGTU,FEMALE,OBC,karna,BARMER,SINDHARI,NA,BARMERSINDHARIkarna,1573,BARMER,SINDHARI,KARNA,GEN,SURA RAM,M,OBC,karna,BARMER,SINDHARI,BARMERSINDHARIkarna,0,
1610,BARMER,SINDHARI,KHARA MAHECHAN,GEN,MISRARAM,MALE,OBC,khara mahechan,BARMER,SINDHARI,NA,BARMERSINDHARIkhara mahechan,1574,BARMER,SINDHARI,KHARA MAHECHAN,OBCW,SEETA DEVI,F,OBCW,khara mahechan,BARMER,SINDHARI,BARMERSINDHARIkhara mahechan,0,
1611,BARMER,SINDHARI,KHARANTIYA,GEN,KIRTARAM,MALE,OBC,kharantiya,BARMER,SINDHARI,NA,BARMERSINDHARIkharantiya,1575,BARMER,SINDHARI,KHARANTIYA,OBCW,HARKU DEVI,F,OBCW,kharantiya,BARMER,SINDHARI,BARMERSINDHARIkharantiya,0,
1612,BARMER,SINDHARI,KHUDALA,GEN,PATARAM,MALE,OBC,khudala,BARMER,SINDHARI,NA,BARMERSINDHARIkhudala,1577,BARMER,SINDHARI,KHUDASA,OBCW,MISHRO,F,OBCW,khudasa,BARMER,SINDHARI,BARMERSINDHARIkhudasa,1,1
1612,BARMER,SINDHARI,KHUDALA,GEN,PATARAM,MALE,OBC,khudala,BARMER,SINDHARI,NA,BARMERSINDHARIkhudala,1576,BARMER,SINDHARI,KHUDALA,OBCW,PALU DEVI,F,OBCW,khudala,BARMER,SINDHARI,BARMERSINDHARIkhudala,0,
1613,BARMER,SINDHARI,KHUDASA,GEN,PANARAM,MALE,OBC,khudasa,BARMER,SINDHARI,NA,BARMERSINDHARIkhudasa,1576,BARMER,SINDHARI,KHUDALA,OBCW,PALU DEVI,F,OBCW,khudala,BARMER,SINDHARI,BARMERSINDHARIkhudala,1,1
1613,BARMER,SINDHARI,KHUDASA,GEN,PANARAM,MALE,OBC,khudasa,BARMER,SINDHARI,NA,BARMERSINDHARIkhudasa,1577,BARMER,SINDHARI,KHUDASA,OBCW,MISHRO,F,OBCW,khudasa,BARMER,SINDHARI,BARMERSINDHARIkhudasa,0,
1609,BARMER,SINDHARI,KAUSHALU,GEN,MEGHRAM,MALE,OBC,koshlu,BARMER,SINDHARI,NA,BARMERSINDHARIkoshlu,1578,BARMER,SINDHARI,KOSHLU,GEN,DHANA RAM,M,OBC,koshlu,BARMER,SINDHARI,BARMERSINDHARIkoshlu,0,
1614,BARMER,SINDHARI,KUDLA,GEN,REKHARAM,MALE,OBC,kundla,BARMER,SINDHARI,NA,BARMERSINDHARIkundla,1579,BARMER,SINDHARI,KUNDL A,GEN,REKHA RAM,M,OBC,kundla,BARMER,SINDHARI,BARMERSINDHARIkundla,0,
1615,BARMER,SINDHARI,LOLAWA,SC,KALURAM,MALE,SC,lolawa,BARMER,SINDHARI,NA,BARMERSINDHARIlolawa,1580,BARMER,SINDHARI,LOLAWA,GEN,RAHMAN KHAN,M,OBC,lolawa,BARMER,SINDHARI,BARMERSINDHARIlolawa,0,
1616,BARMER,SINDHARI,MALPURA,GEN,DALURAM,MALE,OBC,malpura,BARMER,SINDHARI,NA,BARMERSINDHARImalpura,1581,BARMER,SINDHARI,MALPURA,GEN,DAMA RAM,M,OBC,malpura,BARMER,SINDHARI,BARMERSINDHARImalpura,0,
1617,BARMER,SINDHARI,MEHLU,OBC W,ANU DEVI,FEMALE,OBC,mehlu,BARMER,SINDHARI,NA,BARMERSINDHARImehlu,1582,BARMER,SINDHARI,MEHLU,SCW,RUKHI DEVI,F,SCW,mehlu,BARMER,SINDHARI,BARMERSINDHARImehlu,0,
