sl_no,dist_name,samiti_name,gp,reservation,name,sex,category,gp_new,dist_name_new,samiti_name_new,dist_2010
4956,JAIPUR,KOTPUTLI,PATHREDI,GEN,JAISINGH,MALE,GEN,patheredi,JAIPUR,KOTPUTLI,
4957,JAIPUR,KOTPUTLI,PURSHOTTAMPURA,GEN,MAHESH,MALE,GEN,puroshatampura,JAIPUR,KOTPUTLI,
4958,JAIPUR,KOTPUTLI,RAIKARANPURA,GEN,KAILASH CHAND,MALE,OBC,raikaranpura,JAIPUR,KOTPUTLI,
4959,JAIPUR,KOTPUTLI,RAJNOTA,OBC,SHARVAN SINGH,MALE,OBC,rajnota,JAIPUR,KOTPUTLI,
4960,JAIPUR,KOTPUTLI,RAMSINGHPURA,SC,BHARAT SINGH,MALE,SC,ramsinghpura,JAIPUR,KOTPUTLI,
4961,JAIPUR,KOTPUTLI,SANGTEDA,GEN,VEERSINGH,MALE,OBC,sangetada,JAIPUR,KOTPUTLI,
4962,JAIPUR,KOTPUTLI,SARUND,GEN,RAMNIWAS,MALE,OBC,sarud,JAIPUR,KOTPUTLI,
4963,JAIPUR,KOTPUTLI,SUKHLAWAS,GEN,RAMJI LAL,MALE,OBC,sukhlawas,JAIPUR,KOTPUTLI,
4964,JAIPUR,KOTPUTLI,SUNDERPURA,OBC,SAWANTRAM,MALE,OBC,sundarpura,JAIPUR,KOTPUTLI,
4965,JAIPUR,KOTPUTLI,SUNDERPURA DHADHA,OBC,GIRDHARI LAL TELI,MALE,OBC,sundarpuradhada,JAIPUR,KOTPUTLI,
4966,JAIPUR,KOTPUTLI,TASKOLA,OBC W,BADAMI,FEMALE,OBC,taskola,JAIPUR,KOTPUTLI,
4967,JAIPUR,KOTPUTLI,TOREDA,SC W,GYARSI,FEMALE,SC,torda gurjar,JAIPUR,KOTPUTLI,
4968,JAIPUR,PHAGI,BHAKROTA,SC,MOHAN LAL BAIRWA,MALE,SC,bhankrota,JAIPUR,PHAGI,
4969,JAIPUR,PHAGI,CHAKWADA,GEN W,PREM DEVI,FEMALE,OBC,chakwada,JAIPUR,PHAGI,
4970,JAIPUR,PHAGI,CHANDMA KALA,OBC,SHARVAN,MALE,OBC,chandmakalan,JAIPUR,PHAGI,
4971,JAIPUR,PHAGI,CHHITORA,OBC W,SANTRA DEVI,FEMALE,OBC,chittora,JAIPUR,PHAGI,
4972,JAIPUR,PHAGI,CHOURU,GEN W,MAINA DEVI,FEMALE,GEN,chouru,JAIPUR,PHAGI,
4973,JAIPUR,PHAGI,DABICH,SC W,KAMLA DEVI,FEMALE,SC,dabich,JAIPUR,PHAGI,
4974,JAIPUR,PHAGI,DHIDAWATA,GEN W,DHELA BAI,FEMALE,OBC,deedawata,JAIPUR,PHAGI,
4975,JAIPUR,PHAGI,DOSARA,SC,DHANNA LAL,MALE,SC,dosra,JAIPUR,PHAGI,
4976,JAIPUR,PHAGI,GOHENDI,GEN W,NANA DEVI,FEMALE,OBC,gohandi,JAIPUR,PHAGI,
4977,JAIPUR,PHAGI,HARSOLIYA,GEN,BAJRANG LAL,MALE,GEN,harsoliya,JAIPUR,PHAGI,
4978,JAIPUR,PHAGI,JHADLA,GEN W,MADHU SHARMA,FEMALE,GEN,jhaddla,JAIPUR,PHAGI,
4979,JAIPUR,PHAGI,KANSEL,GEN,SAYAR MEENA,MALE,ST,kansel,JAIPUR,PHAGI,
4980,JAIPUR,PHAGI,KISHOREPURA,GEN,RAJENDRA SINGH,MALE,GEN,kishorepura,JAIPUR,PHAGI,
4981,JAIPUR,PHAGI,LADANA,SC,BHOLURAM,MALE,SC,ladana,JAIPUR,PHAGI,
4982,JAIPUR,PHAGI,LASADIYA,GEN,JALAM SINGH,MALE,GEN,lasadiya,JAIPUR,PHAGI,
4983,JAIPUR,PHAGI,MADHORAJPURA,OBC W,SANGEETA KUMAWAT,FEMALE,OBC,madhorajpura,JAIPUR,PHAGI,
4984,JAIPUR,PHAGI,MAHENDBAS,OBC,BADRI NARAYAN,MALE,OBC,mehandawas,JAIPUR,PHAGI,
4985,JAIPUR,PHAGI,MANDAWARI,SC,GOPAL,MALE,SC,mandawari,JAIPUR,PHAGI,
4986,JAIPUR,PHAGI,MANDI,GEN,MOHAN SINGH,MALE,GEN,mandi,JAIPUR,PHAGI,
4987,JAIPUR,PHAGI,MANDORE,GEN,BISHAN SINGH,MALE,GEN,mandoor,JAIPUR,PHAGI,
4988,JAIPUR,PHAGI,MOHABBATPURA,OBC,NANDLAL GURJAR,MALE,OBC,mohabbatpura,JAIPUR,PHAGI,
4989,JAIPUR,PHAGI,NAREDA,GEN,SHYOJIRAM,MALE,OBC,nareda,JAIPUR,PHAGI,
4990,JAIPUR,PHAGI,NIMEDA,GEN W,UCHHAV KANWAR,FEMALE,GEN,nimeda,JAIPUR,PHAGI,
4991,JAIPUR,PHAGI,PACHALA,GEN,HANSRAJ BAIRWA,MALE,SC,pachala,JAIPUR,PHAGI,
4992,JAIPUR,PHAGI,PAHADIYA,ST,LAL CHAND,MALE,ST,pahadiya,JAIPUR,PHAGI,
4993,JAIPUR,PHAGI,PARVAN,SC W,SUGNA DEVI,FEMALE,SC,parwan,JAIPUR,PHAGI,
4994,JAIPUR,PHAGI,PHAGI,SC,HARINARAYAN,MALE,SC,phagi,JAIPUR,PHAGI,
4995,JAIPUR,PHAGI,PIPLA,OBC,RATAN LAL,MALE,OBC,pipla,JAIPUR,PHAGI,
4996,JAIPUR,PHAGI,RAINWAL MANJI,GEN,RAMNARAYAN CHOUDHARY,MALE,OBC,renwal manji,JAIPUR,PHAGI,
4997,JAIPUR,PHAGI,ROTEWADA,GEN,RODSINGH,MALE,GEN,rotwada,JAIPUR,PHAGI,
4998,JAIPUR,PHAGI,SAWAI JAISINGHPURA,OBC,RAMGOPAL,MALE,OBC,sawai jaisinghpura,JAIPUR,PHAGI,
4999,JAIPUR,SAMBHAR,ANANTPURA,SC,LADU RAM BALAI,MALE,SC,anantpura,JAIPUR,SAMBHER,
5000,JAIPUR,SAMBHAR,BABER WALON KI DHANI,GEN,CHHOTI LAL,MALE,OBC,baberwalon ki dhani,JAIPUR,SAMBHER,
5001,JAIPUR,SAMBHAR,BADHAL,SC W,MEERA DEVI,FEMALE,SC,bandhal,JAIPUR,SAMBHER,
5002,JAIPUR,SAMBHAR,BAGHAWAS,GEN W,KSERI DEVI YADAV,FEMALE,OBC,baghawas,JAIPUR,SAMBHER,
5003,JAIPUR,SAMBHAR,BASDI KHURD,GEN W,CHOUTHI DEVI,FEMALE,OBC,basdi khurd,JAIPUR,SAMBHER,
5004,JAIPUR,SAMBHAR,BHADWA,OBC W,KAMLA,FEMALE,OBC,bhavda,JAIPUR,SAMBHER,
5005,JAIPUR,SAMBHAR,BHAINSALANA,GEN,KEDAR NATH,MALE,GEN,bhaislana,JAIPUR,SAMBHER,
5006,JAIPUR,SAMBHAR,BHAINSAWA,GEN,GURUDEV SWAMI,MALE,OBC,bhaisawa,JAIPUR,SAMBHER,
5007,JAIPUR,SAMBHAR,BHOJPURA KALAN,GEN,KARNI SINGH,MALE,GEN,bhojpura kala,JAIPUR,SAMBHER,
5008,JAIPUR,SAMBHAR,DHANI NAGAN,GEN W,NIRMALA DEVI,FEMALE,OBC,dhani nagan,JAIPUR,SAMBHER,
5009,JAIPUR,SAMBHAR,DHEHRA,GEN,NANDA RAM,MALE,GEN,dehra,JAIPUR,SAMBHER,
5010,JAIPUR,SAMBHAR,DUNGRI KA BAS,OBC,RAMNIWAS YADAV,MALE,OBC,dungrsi ka bas,JAIPUR,SAMBHER,
5011,JAIPUR,SAMBHAR,DUNGRI KALAN,ST W,SANJANA DEVI,FEMALE,ST,dungari kala,JAIPUR,SAMBHER,
5012,JAIPUR,SAMBHAR,DUNGRI KHURD,GEN W,RUKMANI DEVI,FEMALE,GEN,dungari khurd,JAIPUR,SAMBHER,
5013,JAIPUR,SAMBHAR,DYODI,OBC,GOVIND RAM,MALE,OBC,dyodi,JAIPUR,SAMBHER,
5014,JAIPUR,SAMBHAR,HARSAULI,GEN,VIRENDRA SINGH,MALE,GEN,harsoli,JAIPUR,SAMBHER,
5015,JAIPUR,SAMBHAR,HINGONIYA,GEN,HATIF KHAN,MALE,GEN,hingoniya,JAIPUR,SAMBHER,
5016,JAIPUR,SAMBHAR,ITAWA,GEN W,KAMLA,FEMALE,OBC,itawa,JAIPUR,SAMBHER,
5017,JAIPUR,SAMBHAR,JAISINGHPURA,ST,BANSHI LAL MEENA,MALE,ST,jaisinghpura,JAIPUR,SAMBHER,
5018,JAIPUR,SAMBHAR,JORPURA,GEN,RAMAVATAR YADAV,MALE,OBC,jorpura,JAIPUR,SAMBHER,
5019,JAIPUR,SAMBHAR,JORPURA SUNDRIYAWAS,GEN,NANDA LAL,MALE,OBC,jorpura sundariwas,JAIPUR,SAMBHER,
5020,JAIPUR,SAMBHAR,KAJIPURA,GEN W,SARJU DEVI,FEMALE,OBC,kajipura,JAIPUR,SAMBHER,
5021,JAIPUR,SAMBHAR,KALAKH,OBC W,KAMLI DEVI,FEMALE,OBC,kalakh,JAIPUR,SAMBHER,
5022,JAIPUR,SAMBHAR,KARANSAR,SC,MALI DEVI,FEMALE,SC,karansar,JAIPUR,SAMBHER,
5023,JAIPUR,SAMBHAR,KHANDEL,OBC,SANWAL RAM,MALE,OBC,khandel,JAIPUR,SAMBHER,
5024,JAIPUR,SAMBHAR,KHEDI MALIK,SC,GANPAT LAL,MALE,SC,khedi malik,JAIPUR,SAMBHER,
5025,JAIPUR,SAMBHAR,KHEJDON KA WAS,SC,JHAMRI DEVI,FEMALE,SC,khejdon ka was,JAIPUR,SAMBHER,
5026,JAIPUR,SAMBHAR,KUDIYON KA BAS,GEN,MAHESH CHOUDHARY,MALE,OBC,kudion ka bas,JAIPUR,SAMBHER,
5027,JAIPUR,SAMBHAR,LALASAR,SC W,BADAMI DEVI,FEMALE,SC,lalasar,JAIPUR,SAMBHER,
5028,JAIPUR,SAMBHAR,LUNIYAWAS,GEN,HANUMAN PRASAD,MALE,OBC,luniwas,JAIPUR,SAMBHER,
5029,JAIPUR,SAMBHAR,MALIKPUR,GEN,MAHESH,MALE,OBC,malikpur,JAIPUR,SAMBHER,
5030,JAIPUR,SAMBHAR,MANDA BHIM SINGH,GEN,MOHAN LAL,MALE,GEN,mandabheem singh,JAIPUR,SAMBHER,
5031,JAIPUR,SAMBHAR,MUNDAWADA,OBC W,NANDU DEVI,FEMALE,OBC,mundawada,JAIPUR,SAMBHER,
5032,JAIPUR,SAMBHAR,MUNDIYAGARH,GEN,RAMESHWAR,MALE,OBC,mundiyagarh,JAIPUR,SAMBHER,
5033,JAIPUR,SAMBHAR,MUNDOTI,OBC,LALU RAM YADAV,MALE,OBC,mundoti,JAIPUR,SAMBHER,
5034,JAIPUR,SAMBHAR,MURLIPURA,OBC,BALU RAM JAT,MALE,OBC,murlipura,JAIPUR,SAMBHER,
5035,JAIPUR,SAMBHAR,NADRI,OBC,KANARAM,MALE,OBC,nandari,JAIPUR,SAMBHER,
5036,JAIPUR,SAMBHAR,NORANGPURA,GEN W,SARJU DEVI,FEMALE,OBC,norangpura,JAIPUR,SAMBHER,
5037,JAIPUR,SAMBHAR,PACHKODIYA,GEN,GOPAL YADAV,MALE,OBC,pachkodiya,JAIPUR,SAMBHER,
5038,JAIPUR,SAMBHAR,RALAVATA,GEN W,VIMLA,FEMALE,OBC,ralavata,JAIPUR,SAMBHER,
5039,JAIPUR,SAMBHAR,RAMJIPURA KALAN,GEN W,PHOOLI DEVI,FEMALE,SC,ramjipura kala,JAIPUR,SAMBHER,
5040,JAIPUR,SAMBHAR,SINODIYA,GEN,KHEMA RAM,MALE,OBC,sinodiya,JAIPUR,SAMBHER,
5041,JAIPUR,SAMBHAR,TEJA KA BAS,GEN,RAMPAL,MALE,OBC,tejya ka bas,JAIPUR,SAMBHER,
5042,JAIPUR,SAMBHAR,TYOND,SC,MAL CHAND,MALE,SC,tyod,JAIPUR,SAMBHER,
5043,JAIPUR,SANGANER,AJAYRAJPURA,GEN W,RADHA DEVI,FEMALE,OBC,ajairajpura,JAIPUR,SANGANER,
5044,JAIPUR,SANGANER,AVANIYA,GEN W,FAHEFA DEVI,FEMALE,OBC,aawaniya,JAIPUR,SANGANER,
5045,JAIPUR,SANGANER,BHAMBHORIYA,GEN,RAMESHWAR SHARMA,MALE,GEN,bhambhoriya,JAIPUR,SANGANER,
5046,JAIPUR,SANGANER,BHANPURA,GEN,GAJANAND ANKAD,MALE,GEN,bhanpura,JAIPUR,SANGANER,
5047,JAIPUR,SANGANER,BILWA,OBC W,LALI DEVI PRAJAPAT,FEMALE,OBC,beelwa,JAIPUR,SANGANER,
5048,JAIPUR,SANGANER,DADHIA,ST W,SANTOSH DEVI MEENA,FEMALE,ST,dadiya,JAIPUR,SANGANER,
5049,JAIPUR,SANGANER,DANTLI,SC,HEERA LAL KOLI,MALE,SC,dantali,JAIPUR,SANGANER,
5050,JAIPUR,SANGANER,DEHMIKALAN,GEN,RAMRATAN KUMAWAT,MALE,OBC,dehmikalan,JAIPUR,SANGANER,
5051,JAIPUR,SANGANER,DEVLIYA URF HARCHANDPURA,GEN,GOVIND NARAYAN JANGID,MALE,OBC,devliya,JAIPUR,SANGANER,
5052,JAIPUR,SANGANER,GONER,GEN,JAGDISH NARAYAN SHARMA,MALE,GEN,goner,JAIPUR,SANGANER,
5053,JAIPUR,SANGANER,JAISINGHPURA,SC W,DHANNI,FEMALE,SC,jaisinghpura,JAIPUR,SANGANER,
5054,JAIPUR,SANGANER,KALWADA,GEN,SITARAM MEENA,MALE,ST,kalwada,JAIPUR,SANGANER,
5055,JAIPUR,SANGANER,KAPURAWALA,OBC,BABU LAL SHARMA,MALE,OBC,kapurawala,JAIPUR,SANGANER,
5056,JAIPUR,SANGANER,LAKHANA,OBC W,NATHI DEVI,FEMALE,OBC,lakhana,JAIPUR,SANGANER,
5057,JAIPUR,SANGANER,MAHAPURA,ST,SATYA NARAYAN MEENA,MALE,ST,mahapura,JAIPUR,SANGANER,
5058,JAIPUR,SANGANER,MOHANPURA,GEN,RAMPRASAD SHARMA,MALE,GEN,mohanpura,JAIPUR,SANGANER,
5059,JAIPUR,SANGANER,MUHANA,OBC,BABU LAL YADAV,MALE,OBC,muhana,JAIPUR,SANGANER,
5060,JAIPUR,SANGANER,NARSINGHPURA,SC,JAGDISH KUMAR RAIGAR,MALE,SC,narsinghpura,JAIPUR,SANGANER,
5061,JAIPUR,SANGANER,NEVTA,SC W,MAINA DEVI HARIJAN,FEMALE,SC,nevta,JAIPUR,SANGANER,
5062,JAIPUR,SANGANER,PANVALIYA,OBC,SANJAI SINGH,MALE,OBC,panvaliya,JAIPUR,SANGANER,
5063,JAIPUR,SANGANER,RAMPURA UNTI,GEN,GULAB CHAND,MALE,OBC,rampura unti,JAIPUR,SANGANER,
5064,JAIPUR,SANGANER,SHREE RAM KI NANGAL,GEN W,TEEJA DEVI,FEMALE,ST,shriram ki nangal,JAIPUR,SANGANER,
5065,JAIPUR,SANGANER,THIKRIYA,GEN,RAM SAHAI,MALE,GEN,thikriya,JAIPUR,SANGANER,
5066,JAIPUR,SANGANER,VATIKA,SC,GOVIND NARAYAN PAHARIYA,MALE,SC,vatika,JAIPUR,SANGANER,
5067,JAIPUR,SANGANER,VIDHANI,ST,MADAN LAL MEENA,MALE,ST,vidhani,JAIPUR,SANGANER,
5068,JAIPUR,SHAHPURA,AMARSAR,SC W,SHAKUNTALA,FEMALE,SC,amarsar,JAIPUR,SHAHPURA,
5069,JAIPUR,SHAHPURA,BADI JODI,GEN W,DAPHLEE DEVI,FEMALE,OBC,badi jodi,JAIPUR,SHAHPURA,
5070,JAIPUR,SHAHPURA,BIDARA,SC,GIGARAM RAIGAR,MALE,SC,bidara,JAIPUR,SHAHPURA,
5071,JAIPUR,SHAHPURA,BILANDARPUR,GEN,SULTAN YADAV,MALE,OBC,bilandarpur,JAIPUR,SHAHPURA,
5072,JAIPUR,SHAHPURA,BISHANGARH,OBC,SANTOSH KUMAR YADAV,MALE,OBC,bishangarh,JAIPUR,SHAHPURA,
5073,JAIPUR,SHAHPURA,CHHARSA,GEN,RAMESH CHAND KUMAWAT,MALE,GEN,chharsa,JAIPUR,SHAHPURA,
5074,JAIPUR,SHAHPURA,DEVAN,GEN W,KALLI DEVI,FEMALE,OBC,devan,JAIPUR,SHAHPURA,
5075,JAIPUR,SHAHPURA,DEVIPURA,SC,RAM PRATAP BUNKAR,MALE,SC,devipura,JAIPUR,SHAHPURA,
5076,JAIPUR,SHAHPURA,DHAVLI,ST,TEJARAM MEENA,MALE,ST,dhavli,JAIPUR,SHAHPURA,
5077,JAIPUR,SHAHPURA,GHANOTA,GEN,GHASI LAL RAIGAR,MALE,SC,ghanota,JAIPUR,SHAHPURA,
5078,JAIPUR,SHAHPURA,GHASIPURA,GEN W,ANANDI DEVI YADAV,FEMALE,OBC,ghasipura,JAIPUR,SHAHPURA,
5079,JAIPUR,SHAHPURA,GOVINDPURA BASRI,GEN,GIRDHARI LAL MEENA,MALE,ST,govindpura basri,JAIPUR,SHAHPURA,
5080,JAIPUR,SHAHPURA,HANUTIYA,OBC W,GHASI DEVI,FEMALE,OBC,hanutiya,JAIPUR,SHAHPURA,
5081,JAIPUR,SHAHPURA,HANUTPURA,GEN W,MAYA DEVI,FEMALE,GEN,hanutpura,JAIPUR,SHAHPURA,
5082,JAIPUR,SHAHPURA,JAGATPURA,GEN,KALURAM BUNKAR,MALE,SC,jagatpura,JAIPUR,SHAHPURA,
5083,JAIPUR,SHAHPURA,KANT,GEN,BHAGIRATH MAL JAT,MALE,OBC,kant,JAIPUR,SHAHPURA,
5084,JAIPUR,SHAHPURA,KHORALADKHANI,OBC,SADHURAM JAT,MALE,OBC,khoraladkhani,JAIPUR,SHAHPURA,
5085,JAIPUR,SHAHPURA,KHORI,GEN W,MOTHI DEVI YADAV,FEMALE,OBC,khori,JAIPUR,SHAHPURA,
5086,JAIPUR,SHAHPURA,KRIRI,OBC,MAHESH CHANDRA NINI,MALE,OBC,kriri,JAIPUR,SHAHPURA,
5087,JAIPUR,SHAHPURA,MAHAR KHURD,OBC W,GYARSI DEVI GATHALA,FEMALE,OBC,mahar khurd,JAIPUR,SHAHPURA,
5088,JAIPUR,SHAHPURA,MURLIPURA,GEN,JAGDISH PRASAD,MALE,OBC,murlipura,JAIPUR,SHAHPURA,
5089,JAIPUR,SHAHPURA,NATHAWALA,GEN,MURARILAL GURJAR,MALE,OBC,nathawala,JAIPUR,SHAHPURA,
5090,JAIPUR,SHAHPURA,NAWALPURA,GEN W,SUPYAR DEVI YADAV,FEMALE,OBC,nawalpura,JAIPUR,SHAHPURA,
5091,JAIPUR,SHAHPURA,NAYAN,GEN,MOHAN LAL SAINI,MALE,OBC,nayan,JAIPUR,SHAHPURA,
5092,JAIPUR,SHAHPURA,NAYAWAS,GEN,BHAIRURAM JAT,MALE,OBC,nayawas,JAIPUR,SHAHPURA,
5093,JAIPUR,SHAHPURA,NITARALET KA WAS,SC,SUGAN CHAND BUNKAR,MALE,SC,nitaralet ka was,JAIPUR,SHAHPURA,
5094,JAIPUR,SHAHPURA,RADAWAS,OBC,NATHU LAL BERALA,MALE,OBC,radawas,JAIPUR,SHAHPURA,
5095,JAIPUR,SHAHPURA,SAIWAD,GEN,JAISINGH PAREEK,MALE,GEN,saiwad,JAIPUR,SHAHPURA,
5096,JAIPUR,SHAHPURA,SURANA,SC W,SHARVANI DEVI,FEMALE,SC,surana,JAIPUR,SHAHPURA,
5097,JAIPUR,VIRATNAGAR,AAMLODA,OBC,SITARAM GURJAR,MALE,OBC,amloda,JAIPUR,VIRATNAGAR,
5098,JAIPUR,VIRATNAGAR,AANTELA,ST,PURANMAL MEENA,MALE,ST,aantela,JAIPUR,VIRATNAGAR,
5099,JAIPUR,VIRATNAGAR,BADHAWAS CHAURASI,SC W,MALTI DEVI,FEMALE,SC,badhawas chorasi,JAIPUR,VIRATNAGAR,
5100,JAIPUR,VIRATNAGAR,BADNAGAR,GEN,RAJPAL SINGH SHEKHAWAT,MALE,GEN,badangar,JAIPUR,VIRATNAGAR,
5101,JAIPUR,VIRATNAGAR,BADOIYA,GEN,KAN SINGH,MALE,GEN,barodiya,JAIPUR,VIRATNAGAR,
5102,JAIPUR,VIRATNAGAR,BAHDAWAS AHIRAN,OBC,RAMESHWAR YADAV,MALE,OBC,badhawas ahiran,JAIPUR,VIRATNAGAR,
5103,JAIPUR,VIRATNAGAR,BAJRANGPURA,GEN,RAMSWAROOP,MALE,OBC,bajarangpura,JAIPUR,VIRATNAGAR,
5104,JAIPUR,VIRATNAGAR,BHAMOD,GEN,MAMRAJ,MALE,GEN,bhamod,JAIPUR,VIRATNAGAR,
5105,JAIPUR,VIRATNAGAR,BHAMRU,ST W,BIDAMI,FEMALE,ST,bhawru,JAIPUR,VIRATNAGAR,
5106,JAIPUR,VIRATNAGAR,BHANKRI,OBC,SHIV RAM,MALE,OBC,bhakari,JAIPUR,VIRATNAGAR,
5107,JAIPUR,VIRATNAGAR,BILWADI,SC,SHYAM LAL,MALE,SC,beelwadi,JAIPUR,VIRATNAGAR,
5108,JAIPUR,VIRATNAGAR,CHHAPDA KHURD,GEN,GOVIND RAM GURJAR,MALE,OBC,chhapada khurd,JAIPUR,VIRATNAGAR,
5109,JAIPUR,VIRATNAGAR,CHHITOLI,SC,SONI LAL,MALE,SC,chhitoli,JAIPUR,VIRATNAGAR,
5110,JAIPUR,VIRATNAGAR,DHANI GAISKAN,GEN W,MADHU SHARMA,FEMALE,GEN,dhani gaiskan,JAIPUR,VIRATNAGAR,
5111,JAIPUR,VIRATNAGAR,GOVINDPURA DABHAI,OBC W,MAMTA DEVI,FEMALE,OBC,govindpura dhabai,JAIPUR,VIRATNAGAR,
5112,JAIPUR,VIRATNAGAR,JAISINGHPURA,SC W,SARASWATI DEVI,FEMALE,SC,jaisingpura,JAIPUR,VIRATNAGAR,
5113,JAIPUR,VIRATNAGAR,JAJE KALAN,GEN,SUNDER LAL,MALE,OBC,jajekala,JAIPUR,VIRATNAGAR,
5114,JAIPUR,VIRATNAGAR,JAWANPURA,SC,GULLARAM BUNKAR,MALE,SC,jawanpura,JAIPUR,VIRATNAGAR,
5115,JAIPUR,VIRATNAGAR,JODHPURA,OBC,JAGDISH,MALE,OBC,jodhpura,JAIPUR,VIRATNAGAR,
5116,JAIPUR,VIRATNAGAR,JODHULA,GEN,MUKESH KUMAR,MALE,OBC,jodhula,JAIPUR,VIRATNAGAR,
5117,JAIPUR,VIRATNAGAR,KHELNA,OBC,GOKUL CHAND SAINI,MALE,OBC,khelna,JAIPUR,VIRATNAGAR,
5118,JAIPUR,VIRATNAGAR,KUHADA,GEN W,PREM DEVI,FEMALE,OBC,kuhada,JAIPUR,VIRATNAGAR,
5119,JAIPUR,VIRATNAGAR,KUNED,GEN,NARPAT SINGH,MALE,GEN,kuned,JAIPUR,VIRATNAGAR,
5120,JAIPUR,VIRATNAGAR,LUHAKANAKALAN,GEN W,AMAR KANWAR,FEMALE,GEN,luhakanakalan,JAIPUR,VIRATNAGAR,
5121,JAIPUR,VIRATNAGAR,MANDHA,GEN,DHIRSINGH,MALE,GEN,mandha,JAIPUR,VIRATNAGAR,
5122,JAIPUR,VIRATNAGAR,MED,GEN W,BASANTI CHANDOLIYA,FEMALE,SC,med,JAIPUR,VIRATNAGAR,
5123,JAIPUR,VIRATNAGAR,NORANGPURA,OBC W,GODHI,FEMALE,OBC,norangpura,JAIPUR,VIRATNAGAR,
5124,JAIPUR,VIRATNAGAR,PACHUDALA,GEN,MOHAN LAL AGARWAL,MALE,GEN,pachudala,JAIPUR,VIRATNAGAR,
5125,JAIPUR,VIRATNAGAR,PALDI,GEN,SHRIRAM GURJAR,MALE,OBC,paldi,JAIPUR,VIRATNAGAR,
5126,JAIPUR,VIRATNAGAR,PAVTA,GEN,JAGAN,MALE,OBC,pavta,JAIPUR,VIRATNAGAR,
5127,JAIPUR,VIRATNAGAR,PRYAGPURA,OBC W,MAMLI DEVI SAINI,FEMALE,OBC,pragpura,JAIPUR,VIRATNAGAR,
5128,JAIPUR,VIRATNAGAR,PURAWALA,GEN,RAMESHWAR MALI,MALE,OBC,purawala,JAIPUR,VIRATNAGAR,
5129,JAIPUR,VIRATNAGAR,RAMPURA,GEN W,DURGA DEVI,FEMALE,OBC,rampura,JAIPUR,VIRATNAGAR,
5130,JAIPUR,VIRATNAGAR,SAUTHANA,GEN,MATADEEN,MALE,GEN,sothana,JAIPUR,VIRATNAGAR,
5131,JAIPUR,VIRATNAGAR,TALVA BIHAJAR,SC,PRAKASH CHAND,MALE,SC,talva bihajar,JAIPUR,VIRATNAGAR,
5132,JAIPUR,VIRATNAGAR,TEVDI,GEN,VIJAISHANKAR SONI,MALE,OBC,tevdi,JAIPUR,VIRATNAGAR,
5133,JAIPUR,VIRATNAGAR,TULSIPURA,GEN W,MOHINI THIKRIYA,FEMALE,GEN,tulsipura,JAIPUR,VIRATNAGAR,
5134,JAISALMER,JAISALMER,AASKANDRA,GEN,GANPAT SINGH,MALE,GEN,askandra,JAISALMER,JAISALMER,
5135,JAISALMER,JAISALMER,AJASAR,GEN,SITA,FEMALE,GEN,ajasar,JAISALMER,JAISALMER,
5136,JAISALMER,JAISALMER,AMARSAGAR,GEN,DEVKA RAM MALI,MALE,OBC,amarsagar,JAISALMER,JAISALMER,
5137,JAISALMER,JAISALMER,AWAI,SC,BIRMARAM,MALE,SC,avai,JAISALMER,JAISALMER,
5138,JAISALMER,JAISALMER,BAHALA,OBC W,DHAI,FEMALE,OBC,bahala,JAISALMER,JAISALMER,
5139,JAISALMER,JAISALMER,BARAMSAR,OBC,LALSINGH,MALE,OBC,baramsar,JAISALMER,JAISALMER,
5140,JAISALMER,JAISALMER,BARODA GAON,GEN,GORDHAN SINGH,MALE,GEN,badoda gaon,JAISALMER,JAISALMER,
5141,JAISALMER,JAISALMER,BASANPEER JUNI,ST,PURKHA RAM,MALE,ST,basanpir,JAISALMER,JAISALMER,
5142,JAISALMER,JAISALMER,BHAREWALA,GEN,JIVAN KHAN,MALE,OBC,bharevala,JAISALMER,JAISALMER,
5143,JAISALMER,JAISALMER,BHU,GEN W,NEHMAT,FEMALE,OBC,bhu,JAISALMER,JAISALMER,
5144,JAISALMER,JAISALMER,BODANA,GEN W,MOHINI KANWAR,FEMALE,GEN,bodana,JAISALMER,JAISALMER,
5145,JAISALMER,JAISALMER,BOHA,GEN W,PEMPO,FEMALE,GEN,boha,JAISALMER,JAISALMER,
5146,JAISALMER,JAISALMER,CHANDAN,OBC,BHERULAL,MALE,OBC,chandan,JAISALMER,JAISALMER,
5147,JAISALMER,JAISALMER,CHHATREL,GEN,ALABAKSH,MALE,OBC,chatrial,JAISALMER,JAISALMER,
5148,JAISALMER,JAISALMER,CHINNU,SC W,HEERA,FEMALE,SC,chinnu,JAISALMER,JAISALMER,
5149,JAISALMER,JAISALMER,DABLA,SC,MANGILAL,MALE,SC,dabla,JAISALMER,JAISALMER,
5150,JAISALMER,JAISALMER,DEVA,OBC,KAPIL DEV,MALE,OBC,deva,JAISALMER,JAISALMER,
5151,JAISALMER,JAISALMER,DHAISAR,SC,TAMIL RAM,MALE,SC,dhaysar,JAISALMER,JAISALMER,
5152,JAISALMER,JAISALMER,HAMIRA,GEN W,MALKANWAR,FEMALE,GEN,hamira,JAISALMER,JAISALMER,
5153,JAISALMER,JAISALMER,JALUWALA,GEN W,SUGANI,FEMALE,GEN,jaluvala,JAISALMER,JAISALMER,
5154,JAISALMER,JAISALMER,KANOD,GEN,HASTU,FEMALE,GEN,kanod,JAISALMER,JAISALMER,
