state,body,ward_no,survey_year,councillor,councillor_woman,councillor_party,councillor_age,councillor_education,councillor_professional_education,councillor_pan_card,councillor_criminal_cases,council,councillor_spell_id,woman_reserved,reservation_raw,total_funds,funds_prop,gbm_attended,total_gbms,ward_attendance,total_ward_meetings,other_meetings,total_other_meetings,total_questions,slum,samplesize,adminward,rating_roads,rating_traffic,rating_gardens,rating_transport,rating_rations,rating_hospitals,rating_schools,rating_power,rating_water,rating_flooding,rating_pollution,rating_crime,rating_law_order,rating_sanitation,rating_recall_party,rating_recall_name,rating_accessibility,rating_satisfaction,rating_corruption,rating_quality_of_life,rating_footpaths,questions_corporation,questions_crimecorrupt,questions_culture,questions_distribution,questions_education,questions_health,questions_housing,questions_humanres,questions_license,questions_otherinfrastructure,questions_pollution,questions_recreationcommunity,questions_renaming,questions_tax,questions_transport,questions_watertoilets,questions_other,rating_flags,source_path
Maharashtra,Brihanmumbai Municipal Corporation,125,2013,Rakhee Harishchandra Jadhav,1,NCP,38,SSC,,Yes,0,2012,89,1,W,5818329.5,0.96972156,44,70,19,19,6,22,7,0.7,,N,75.3,73.465,75.724,78.846,72.247,76.951,82.49,90.053,89.21,64.882,64.429,63.026,73.069,76.469,58.4,74.3,62.43,68.8,73.6875,65.5275,,0,0,0,0,0,0,0,0,0,0,0.2857143,0,0.71428573,0,0,0,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,125,2014,Rakhee Harishchandra Jadhav,1,NCP,39,SSC,,Yes,0,2012,89,1,W,1.1596E7,0.9663333,33,65,14,18,59,110,1,0.7,,N,62.127,52.325,70.485,75.616,52.512,76.519,80.761,84.898,78.008,55.398,62.24,46.361,65.428,71.179,16.3,31.6,55.733334,68.255,55.81,72.6125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,125,2015,Rakhee Harishchandra Jadhav,1,NCP,40,SSC,,Yes,0,2012,89,1,W,4551000,0.7585,36,79,15,16,60,147,10,0.7,,N,59.089,53.615,71.479,68.536,64.409,69.974,71.241,73.189,70.614,52.046,52.763,56.068,59.41,52.533,13.5,51.7,53.636665,61.21,69.9925,63.6725,,0.1,0.2,0,0,0,0,0.4,0,0,0,0,0.1,0,0,0.2,0,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,125,2016,Rakhee Harishchandra Jadhav,1,NCP,41,SSC,,Yes,0,2012,89,1,W,6734178.5,0.56118155,42,74,13,16,0,0,3,0.7,,N,71.314,67.04,76.688,84.109,61.44,81.603,83.715,87.477,83.766,61.089,61.261,71.896,79.996,72.994,76,90.3,73.51667,84.105,83.7575,77.205,,0,0,0,0,0,0,0,0,0,0,0.33333334,0,0.6666667,0,0,0,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,125,2018,Rupali Suresh Awale,1,SS,32,Upto Fifth,,Yes,0,2017,90,1,W,4614280.5,0.7690467,79,102,15,19,10,18,9,0.7,,N,61.229,54.406,61.697,70.53,,70.089,68.849,76.797,72,50.411,53.359,64.433,64.123,60.883,32.4,35.2,67.136665,51.02,63.29,72.8775,53.8,0,0,0,0,0,0,0.11111111,0,0,0,0,0,0,0,0.8888889,0,0,satisfaction_inverted,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,126,2011,Rakhi Harishchandra Jadhav,1,NCP,,,,,,2007,91,1,W,,,8,51,12,17,3,14,7,0.7,136,N,70.865,68.411,67.838,72.189,,74.619,72.554,72.705,70.718,67.913,68.397,66.514,74.21,68.516,,,,,74.285,,,0,0,0,0,0,0.14285715,0.14285715,0,0,0,0.2857143,0,0.14285715,0,0.14285715,0.14285715,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,126,2013,Suresh Dnyanu Awale,0,MNS,40,SSC,,Yes,0,2012,92,0,,5062134.5,0.8436891,54,70,14,19,35,54,5,0.7,,N,63.53,62.459,37.898,61.388,69.517,55.367,57.267,93.992,89.364,55.875,56.063,66.067,67.613,61.478,16.2,21.6,53.856667,55.7925,63.085,56.5775,,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0.2,0,0.4,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,126,2014,Suresh Dnyanu Awale,0,MNS,41,SSC,,Yes,0,2012,92,0,,1.0632E7,0.886,36,65,10,18,17,38,3,0.7,,N,62.77,53.308,60.2,74.196,57.496,77.631,78.421,83.912,81.796,61.127,63.97,56.293,62.1,64.881,22.9,33.8,57.5,63.2575,56.2075,69.6025,,0,0,0,0,0,0,0.6666667,0,0,0,0,0,0.33333334,0,0,0,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,126,2015,Suresh Dnyanu Awale,0,MNS,42,SSC,,Yes,0,2012,92,0,,5375000,0.8958333,30,79,9,16,17,56,12,0.7,,N,56.353,39.475,38.759,74.941,48.042,67.367,65.318,83.089,82.154,35.618,43.831,49.991,65.135,49.026,87.1,87.1,49.27,73.905,86.575,76.09,,0,0,0,0,0,0,0.083333336,0,0,0,0,0,0.5833333,0,0.33333334,0,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,126,2016,Suresh Dnyanu Awale,0,MNS,43,SSC,,Yes,0,2012,92,0,,6313895.5,0.526158,27,74,16,16,4,49,8,0.7,,N,66.43,63.34,63.011,71.159,70.357,69.123,70.813,73.838,73.405,63.837,65.145,63.291,68.694,69.065,0,10.9,47.826668,69.0125,55.6725,65.755,,0,0,0,0,0,0,0.5,0,0,0,0.125,0,0,0,0.375,0,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
