year,ward_no,serial,candidate,party,party_local,votes,electorate,valid_votes,source_path
2012,14,2,P. Nilam Narhari,MNS,Maharashtra Navnirman Sena,3225,51318,20152,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,14,3,Sushil Rambhiya,INC,Indian National Congress,5024,51318,20152,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,14,4,Vakale Sharda Tanaji,BSP,Bahujan Samaj Party,186,51318,20152,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,15,1,Ganesh Bhasker,shivrajya paksh,shivrajya paksh,112,57566,24638,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,15,2,Mahesh Vinod Bhoir,MNS,Maharashtra Navnirman Sena,7069,57566,24638,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,15,3,Raja Ramchandra Dalavi,IND,Apaksh,102,57566,24638,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,15,4,Mahadik Ravi Arjun,Bahujan Vikas Aaghadi,Bahujan Vikas Aaghadi,287,57566,24638,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,15,5,Mithbavkar Mohan Ramchandra,BJP,bjp,12476,57566,24638,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,15,6,Anil Rajendra Sankad,IND,Apaksh,298,57566,24638,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,15,7,Shah Bharat Sumanlal,NCP,nationalist congress party,2980,57566,24638,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,15,8,Vikram,IND,Apaksh,719,57566,24638,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,15,9,Prasad Subhash Vichare,IND,Apaksh,595,57566,24638,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,16,1,Bhanushali Dayalji Harji,IND,Apaksh,135,46791,22560,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,16,2,Gajabe Bhaurav Yadavrav,BSP,Bahujan Samaj Party,73,46791,22560,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,16,3,Ganiga Urf Mahadik Aashish Rammurti,IND,Apaksh,330,46791,22560,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,16,4,Nilesh Katira,IND,Apaksh,186,46791,22560,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,16,5,Sumitradevi Sahebrav Khandale,IND,Apaksh,53,46791,22560,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,16,6,Mahendra Pratap Naik,MNS,Maharashtra Navnirman Sena,3151,46791,22560,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,16,7,Bhushan Patil,INC,Indian National Congress,8503,46791,22560,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,16,8,Shah Praveen Rikhavchand,BJP,bjp,9859,46791,22560,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,16,9,Singh Rajesh Kuvar Bahadur,IND,Apaksh,270,46791,22560,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,17,1,Bhatkar Ranjana Mahesh,MNS,Maharashtra Navnirman Sena,9919,65870,31503,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,17,2,Sandhya Vipul Doshi (Sanke),NCP,nationalist congress party,12055,65870,31503,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,17,3,Keni Bharti Jaywant,BJP,bjp,8308,65870,31503,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,17,4,Malvi Ujjyala Laxman,IND,Apaksh,200,65870,31503,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,17,5,Shraddha Pramod Manjrekar,Bahujan Vikas Aaghadi,Bahujan Vikas Aaghadi,69,65870,31503,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,17,6,Vandana Masavkar,IND,Apaksh,183,65870,31503,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,17,7,Rajput Sapana Sagarsingh,maharashtra parivartan sena,maharashtra parivartan sena,388,65870,31503,data/maharashtra/mumbai/2012_scanned_data.xlsx
2012,17,8,Ramugade Ashwini Ravindra,BSP,Bahujan Samaj Party,307,65870,31503,data/maharashtra/mumbai/2012_scanned_data.xlsx
