year,ward_no,candidate,party,party_local,votes,rank,source_path
2017,18,Kabirdas Dnyandeo More,MNS,Maharashtra Navnirman Sena,3841,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,18,DILIP BAGARAM PANDIT,INC,Indian National Congress,974,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,18,TEJAS VITTHAL KONDVILKAR,NCP,Nationalist Congress Party,341,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,18,Manish Vedprakash Agarwal,IND,Independent,284,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,18,SANJAY SAYAJI WAGHMARE,BSP,Bahujan Samaj Party,281,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,18,AMAR DNYANESHWAR SHELAR,IND,Independent,179,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,18,NOTA,,,375,,data/maharashtra/mumbai/mumbai_2017.csv
2017,19,Shubhada Subhash Gudekar,SS,Shivsena,10817,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,19,RESHMA RAVINDRA TAKKE,BJP,Bhartiya Janata Party,8687,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,19,SANSKRUTI SATYANARAYAN RAJHANS,INC,Indian National Congress,2198,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,19,SANGEETA SHANTARAM KARANDE,MNS,Maharashtra Navnirman Sena,1298,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,19,JAYASHRI SANTOSH GAWALI,NCP,Nationalist Congress Party,1124,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,19,SARASWATI RAMESH SAPKALE,Republican Party of India (A),Republican Party of India (A),790,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,19,MANGAL VAMAN DANDEKAR,BSP,Bahujan Samaj Party,385,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,19,NOTA,,,421,,data/maharashtra/mumbai/mumbai_2017.csv
2017,20,DEEPAK PARSHURAM TAWDE,BJP,Bhartiya Janata Party,6856,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,20,SUDHAKAR PARSHURAM SURVE,SS,Shivsena,4360,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,20,VINAYAK NANA PATIL,NCP,Nationalist Congress Party,2037,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,20,MOHAMMADHAROON MOHAMMADYUNUS CHAUDHARY,SP,Samajwadi Party,1627,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,20,LALJI GAJANAN DUBEY,INC,Indian National Congress,934,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,20,RAJENDRA GANPAT KADAM,MNS,Maharashtra Navnirman Sena,886,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,20,Yusuf MohammadUmar Khan,IND,Independent,423,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,20,SHAMIM SADRUDDIN AZMI,AIMIM,All India Majlis e Ittehadul Muslimeen,414,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,20,AZHARUDDIN AMIRUDDIN MOHD,Bahujan Vikas Aghadi,Bahujan Vikas Aghadi,143,9,data/maharashtra/mumbai/mumbai_2017.csv
