year,ward_no,candidate,party,party_local,votes,rank,source_path
2017,120,Soma Rajesh Sarkar,Republican Party of India (A),Republican Party of India (A),3297,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,120,PRAGATI SHIVAJI MANE,INC,Indian National Congress,2020,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,120,NEELAM ANANDA PATIL,MNS,Maharashtra Navnirman Sena,1649,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,120,ASHWINI KAMLESH KASBE,bahujan republican sociolist party,bahujan republican sociolist party,675,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,120,Sujata Madhukar Sarode,Bahujan Mukti Party,Bahujan Mukti Party,133,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,120,Faridabi ShakilAhmad Qureshi,IND,Independent,74,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,120,NOTA,,,547,,data/maharashtra/mumbai/mumbai_2017.csv
2017,121,Chandravati Shivaji More,SS,Shivsena,4769,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,121,Vaishali Sachin Sakte,MNS,Maharashtra Navnirman Sena,2274,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,121,ANNUM SHERJADA KHAN,INC,Indian National Congress,2010,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,121,PRADNYA SUKHDEV GAIKWAD,BJP,Bhartiya Janata Party,1417,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,121,SUSHAMA PRAKASH BIRHADE,BSP,Bahujan Samaj Party,1158,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,121,VARSHA KARBHARI DAWANDE,AIMIM,All India Majlis e Ittehadul Muslimeen,492,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,121,JAGDEVI RATANDEEP BANSODE,Republican Party of India (A),Republican Party of India (A),334,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,121,VANDANA SANTOSH SONAWANE,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,300,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,121,DEEPIKA VIJAY JADHAV,Sambhaji Brigade,Sambhaji Brigade,266,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,121,Hemlata Prashant Palwankar,NCP,Nationalist Congress Party,212,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,121,INDU DAMODAR PAIKRAO,IND,Independent,191,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,121,PRATIMA RAJIV BHAVIR,Bahujan Mukti Party,Bahujan Mukti Party,153,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,121,JYOTSNA VIJAY SORTE,IND,Independent,27,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,121,NOTA,,,325,,data/maharashtra/mumbai/mumbai_2017.csv
2017,122,Vaishali Shrikant Patil,BJP,Bhartiya Janata Party,4942,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,122,Jaya Hanumantha Venkatgiri,NCP,Nationalist Congress Party,4220,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,122,Snehal Deepak Mande,SS,Shivsena,3749,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,122,ANJALI VASANT DARADE,INC,Indian National Congress,1552,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,122,MANISHA SANTOSH SHITRE,Communist Party Of India (Marxist),Communist Party Of India (Marxist),655,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,122,Surekha Suresh Chavan,IND,Independent,542,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,122,PALLAVI VIPUL RANKHABE,bahujan republican sociolist party,bahujan republican sociolist party,359,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,122,Sujata Ashwin Chawan,MNS,Maharashtra Navnirman Sena,318,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,122,NOTA,,,378,,data/maharashtra/mumbai/mumbai_2017.csv
2017,123,SNEHAL SUNIL MORE,IND,Independent,9322,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,123,Dr. Bavdane Bharti Subhodh,SS,Shivsena,8567,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,123,SANGITA VIJAY PADWAL,BJP,Bhartiya Janata Party,4004,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,123,SUNITA PRAMOD JADHAV,IND,Independent,2062,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,123,Snehalata Kailas Bondarde,INC,Indian National Congress,680,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,123,anita gangadhar mohite,MNS,Maharashtra Navnirman Sena,517,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,123,PRIYANKA DEEPAK NAVELE,BSP,Bahujan Samaj Party,192,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,123,ARUNA ASHOK PATIL,IND,Independent,153,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,123,JAYASHREE VINOD CHAUGULE,IND,Independent,100,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,123,ASHA RAMAKANT MOHITE,IND,Independent,59,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,123,NOTA,,,300,,data/maharashtra/mumbai/mumbai_2017.csv
2017,124,Jyoti Harun Khan,NCP,Nationalist Congress Party,6686,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,124,Namita Jeevan kini,BJP,Bhartiya Janata Party,3906,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,124,SHAMLI SHAILESH TALEKAR,SS,Shivsena,3569,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,124,LALITA ROHIT TAMBE,IND,Independent,2715,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,124,Shamira Mukhtar Shaikh,AIMIM,All India Majlis e Ittehadul Muslimeen,1017,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,124,KALPANA PIYUSH CHHEDA,MNS,Maharashtra Navnirman Sena,848,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,124,rashida khalil khot,INC,Indian National Congress,846,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,124,SANJANA SANJAY JADHAV,BSP,Bahujan Samaj Party,161,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,124,Farida Hayat Shaikh,SP,Samajwadi Party,62,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,124,SARITA SAMBHAJI RAUL,IND,Independent,61,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,124,SANJANA RAJENDRA JADHAV,IND,Independent,57,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,124,UJWALA RAMESH KAMBLE,IND,Independent,29,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,124,NOTA,,,233,,data/maharashtra/mumbai/mumbai_2017.csv
2017,125,Rupali Suresh Awale,SS,Shivsena,10652,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,125,Sakshi Sachin Pawar,BJP,Bhartiya Janata Party,7608,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,125,VAISHALI RAJENDRA KAMBLE,INC,Indian National Congress,1745,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,125,chetna chandrakant chavan,BSP,Bahujan Samaj Party,1522,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,125,SUCHITA SATISH PAWAR,IND,Independent,1239,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,125,Surekha Uttam Ghuge,MNS,Maharashtra Navnirman Sena,969,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,125,Vaishali Chandrakant More,NCP,Nationalist Congress Party,746,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,125,SANGEETA VITTHAL TELANG,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,437,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,125,SHEELA NAMDEV UBALE,IND,Independent,250,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,125,SARIKA KISHOR KARDAK,Janata Dal Secular,Janata Dal Secular,127,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,125,JYOTI MILIND RAIGAONKAR,SP,Samajwadi Party,108,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,125,SMIITA MALHARI SATHE,IND,Independent,74,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,125,DIMPLE DHARMESH THAKKAR,IND,Independent,67,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,125,KOMAL DHAMMADEEP BANSODE,Republican Party of India (A),Republican Party of India (A),31,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,125,NOTA,,,494,,data/maharashtra/mumbai/mumbai_2017.csv
2017,126,ARCHANA SANJAY BHALERAO,MNS,Maharashtra Navnirman Sena,12759,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,126,Shraddha Rajendra Chankadan,BJP,Bhartiya Janata Party,6089,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,126,SWATI SUNIL SHITAP,SS,Shivsena,5623,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,126,NOTA,,,515,,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,TUKARAM KRISHNA PATIL,SS,Shivsena,8596,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,Reetu Rajesh Tavade,BJP,Bhartiya Janata Party,4572,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,GANESH VASANT BHAGAT,MNS,Maharashtra Navnirman Sena,4458,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,KETAN PRAFUL SHAH,INC,Indian National Congress,1589,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,NAVNATH SHANKAR SHEJWAL,IND,Independent,827,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,SANJAY MOTIRAM JADHAV,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,559,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,JYOTI PRAMOD KEDARE,BSP,Bahujan Samaj Party,541,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,CHANDRAMANI CHANDRAKANT JADHAV,NCP,Nationalist Congress Party,425,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,VIJAY VITTHAL GORE,IND,Independent,322,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,SATISH SAMPAT LOKHANDE,IND,Independent,222,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,DINESH DILIP SHELAR,IND,Independent,104,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,Yogesh Raghunath Pawar,IND,Independent,96,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,PRAKASH SHANKAR KAMBLE,IND,Independent,79,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,Sachin Harishchandra Patade,IND,Independent,69,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,SANJAY VASUDEO SAWANT,IND,Independent,64,15,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,SURESH MAHADEV BHOSALE,IND,Independent,45,16,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,Santosh Vitthal Salunke,IND,Independent,42,17,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,RAJESH MADHUKAR PARKHE,Republican Party of India (Khobragade),Republican Party of India (Khobragade),40,18,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,Sudarshan Kisan Ahire,IND,Independent,35,19,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,SHRIKANT YASHWANT SURVE,IND,Independent,30,20,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,DATTARAM NARAYAN KANK,Akhil Bharatiya Sena,Akhil Bharatiya Sena,27,21,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,Jairam Haridas Kagade,Sambhaji Brigade,Sambhaji Brigade,10,22,data/maharashtra/mumbai/mumbai_2017.csv
2017,127,NOTA,,,252,,data/maharashtra/mumbai/mumbai_2017.csv
2017,128,ASHWINI DEEPAK HANDE,SS,Shivsena,12980,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,128,SHUBHANGI DASHRATH SHIRKE,IND,Independent,4910,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,128,Prachi Pravin Vichare,BJP,Bhartiya Janata Party,4898,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,128,nanda manik gavhane,MNS,Maharashtra Navnirman Sena,607,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,128,SANGEETA VIJAY VARPE,INC,Indian National Congress,579,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,128,ASHA ASHOK KANASE,NCP,Nationalist Congress Party,287,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,128,nanda maruti gaikwad,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,276,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,128,PUSHPALATA ATMARAM TALEKAR,Sambhaji Brigade,Sambhaji Brigade,148,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,128,Kavita Dasharath Chilawant,IND,Independent,122,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,128,KAMINI PRADEEP CHAUHAN,IND,Independent,42,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,128,NOTA,,,348,,data/maharashtra/mumbai/mumbai_2017.csv
2017,129,Suryakant Jayhari Gawali,BJP,Bhartiya Janata Party,6927,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,129,PRADIP BABAN MANDAVKAR,SS,Shivsena,6712,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,129,Roshan Harun Khan,NCP,Nationalist Congress Party,4962,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,129,Archana Pradyumna Waghmare,INC,Indian National Congress,1946,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,129,Saleem Maqbool Pathan,AIMIM,All India Majlis e Ittehadul Muslimeen,670,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,129,RAJESH RAMCHANDRA MORE,IND,Independent,591,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,129,JAYWANT MARUTI WAGHMARE,Akhil Bharatiya Sena,Akhil Bharatiya Sena,63,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,129,NOTA,,,329,,data/maharashtra/mumbai/mumbai_2017.csv
2017,130,BINDU CHETAN TRIVEDI,BJP,Bhartiya Janata Party,11055,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,130,KAVITA MAHESH WALUNJ,SS,Shivsena,5910,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,130,Supriya Pravin Kadam,INC,Indian National Congress,2397,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,130,NAFISA AYUB SHAIKH,MNS,Maharashtra Navnirman Sena,2394,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,130,POONAM SACHIN GUPTA,NCP,Nationalist Congress Party,935,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,130,Lusi David farnandis,IND,Independent,401,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,130,JULIE DENIS DSOUZA,IND,Independent,296,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,130,Pratibha Swarup Khedekar,IND,Independent,91,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,130,PRITI NARANJI THAKKER,IND,Independent,42,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,130,NOTA,,,529,,data/maharashtra/mumbai/mumbai_2017.csv
2017,131,Rakhee Harishchandra Jadhav,NCP,Nationalist Congress Party,12123,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,131,BHALCHANDRA MOTIRAM SHIRSAT,BJP,Bhartiya Janata Party,11375,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,131,Mangal Lakhamshi Mange,SS,Shivsena,4701,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,131,SURESH GANAPAT MARATHE,INC,Indian National Congress,1038,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,131,SANDEEP ANKUSH RANE,MNS,Maharashtra Navnirman Sena,899,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,131,KAVERI DNYANESHWAR SHIRAL,BSP,Bahujan Samaj Party,143,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,131,MONTU DEEPAK JOSHI,IND,Independent,129,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,131,PRAVIN CHANDRAKANT KEDARE,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,112,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,131,RAMESH LALJI RANGANI,IND,Independent,112,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,131,VINAY VIDHYADHAR ACHAREKAR,Republican Party of India (A),Republican Party of India (A),104,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,131,Anand Uttam Nirbhavane,Bhartiya Manavatawadi Party,Bhartiya Manavatawadi Party,78,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,131,BALKRISHNA SHRIDHAR MHASKAR,IND,Independent,48,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,131,Rajesh Roopnarayan Singh,IND,Independent,35,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,131,NOTA,,,516,,data/maharashtra/mumbai/mumbai_2017.csv
2017,132,PARAG KISHOR SHAH,BJP,Bhartiya Janata Party,14519,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,132,PRAVIN VELJI CHHEDA,INC,Indian National Congress,11794,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,132,SUDHAKAR LAXMAN PATIL,SS,Shivsena,1203,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,132,BOBBY RAMANAND CHANDELIYA,MNS,Maharashtra Navnirman Sena,240,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,132,ASHWIN MITHUBHAI JOSHI,BSP,Bahujan Samaj Party,149,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,132,SANJAY SHAMRAO SONAWALE,Bahujan Mukti Party,Bahujan Mukti Party,110,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,132,RAJU SHRINIWASAN NAICKER,IND,Independent,63,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,132,NOTA,,,348,,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,Parmeshwar Tukaram Kadam,MNS,Maharashtra Navnirman Sena,5037,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,RATNAM PRIYASWAMI DEVENDRA,BJP,Bhartiya Janata Party,3791,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,vikas damodar pawar,BSP,Bahujan Samaj Party,3526,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,Santosh Bhagoji Pingle,IND,Independent,3000,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,SACHIN MARUTI GAIKWAD,SS,Shivsena,2977,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,NAMDEV DAMU UBALE,IND,Independent,1236,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,ANIL MARUTI SHINDE,IND,Independent,1097,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,MILIND BHAGWAN GAIKWAD,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,942,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,BRIJMOHAN BALRAM SHARMA,INC,Indian National Congress,920,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,ABDULAZIZ ATIKJABBAR SHAIKH,SP,Samajwadi Party,863,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,MANOJ SHIVAJI DHUMALE,NCP,Nationalist Congress Party,497,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,Nitin Raghunath Jadhav,Bhartiya Manavatawadi Party,Bhartiya Manavatawadi Party,295,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,RAJU SUDAM KHARAT,IND,Independent,192,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,RAVINDRA BABURAO NETAVATE,Republican Party of India (A),Republican Party of India (A),144,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,VINOD DAGADU SALVE,IND,Independent,120,15,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,VINOD ROHIDAS SONAWANE,IND,Independent,118,16,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,AVINASH LAXMAN PANDHARE,IND,Independent,96,17,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,SUDHIR LAXMAN KAMBLE,Lok Janshakti Party,Lok Janshakti Party,89,18,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,SUSHILKUMAR SANTBAHADUR SINGH,IND,Independent,74,19,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,Sandeep Manohar Shete,IND,Independent,68,20,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,NADEEM NOOR SAYYED,Akhil Bharatiya Sena,Akhil Bharatiya Sena,47,21,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,UMESH SAHEBRAO AMRUTKAR,IND,Independent,44,22,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,Dilip Bholanath Sharma,united congress party,united congress party,40,23,data/maharashtra/mumbai/mumbai_2017.csv
2017,133,NOTA,,,435,,data/maharashtra/mumbai/mumbai_2017.csv
2017,134,SHAERA SHAFAHAD KHAN,SP,Samajwadi Party,6671,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,134,SAGIRUNNISA AKHTARALAM KHAN,AIMIM,All India Majlis e Ittehadul Muslimeen,2663,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,134,NOORJAHAN ABDULMAJID INAMDAR,INC,Indian National Congress,1915,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,134,VARSHA SANTOSH MOHITE,SS,Shivsena,1088,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,134,TESINA SIRAJUDDIN ANSARI,NCP,Nationalist Congress Party,829,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,134,REKHA NARENDRA MORE,BJP,Bhartiya Janata Party,412,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,134,FATIMABEE SHERALI SIDDIKI,BSP,Bahujan Samaj Party,380,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,134,AKHTARUNNISA ISRAR KHAN,IND,Independent,93,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,134,SALEHA SAKIR KHAN,IND,Independent,83,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,134,Noor Saba Feroz Ahmed Choudhary,BJP,Bhartiya Janata Party,77,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,134,KHUSALAIN PAPPU KHAN,IND,Independent,72,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,134,NASIMBANO ISAKALI SHAIKH,BJP,Bhartiya Janata Party,59,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,134,Kalpana Kishor Gaikwad,AIMIM,All India Majlis e Ittehadul Muslimeen,52,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,134,REHANABANOO AFZAL KHAN,IND,Independent,49,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,134,kavita shivprasad tripathi,Indian Union Muslim League,Indian Union Muslim League,33,15,data/maharashtra/mumbai/mumbai_2017.csv
2017,134,FARIDABI NOORMOHAMMED SHAIKH,Bhartiya Shetkari Kamgar Paksh,Bhartiya Shetkari Kamgar Paksh,19,16,data/maharashtra/mumbai/mumbai_2017.csv
2017,134,NOTA,,,47,,data/maharashtra/mumbai/mumbai_2017.csv
2017,135,Samiksha Deepak Sakre,SS,Shivsena,2804,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,135,Kailashi Ramkumar Verma,IND,Independent,2103,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,135,RIAA YOGESH BARGE,BJP,Bhartiya Janata Party,1941,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,135,KHATIJABI BASHIRAHMED SUBRATI,AIMIM,All India Majlis e Ittehadul Muslimeen,1701,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,135,SHAHEEN FAZLURREHMAN CHOUDHARY,SP,Samajwadi Party,1362,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,135,Ashwini Kisan Pawar,Republican Party of India (A),Republican Party of India (A),1315,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,135,Surayya Shabbir Petkar,IND,Independent,1033,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,135,NIRMALADEVI VASANT SINGH,INC,Indian National Congress,933,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,135,PALLAVI SAROJ JAISWAL,BSP,Bahujan Samaj Party,850,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,135,Rama Babasaheb Kashid,BJP,Bhartiya Janata Party,386,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,135,Shobha Vasant Khirawale,MNS,Maharashtra Navnirman Sena,339,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,135,SUNANDA VIJAY THORAT,Bhartiya Shetkari Kamgar Paksh,Bhartiya Shetkari Kamgar Paksh,317,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,135,Rupali Nilesh Patil,IND,Independent,234,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,135,ASHVINI SATISH GAIKWAD,Bahujan Vikas Aghadi,Bahujan Vikas Aghadi,160,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,135,ZARINABEGUM SHAULHAMEED nil,NCP,Nationalist Congress Party,155,15,data/maharashtra/mumbai/mumbai_2017.csv
2017,135,Meena Narendra Baske,IND,Independent,57,16,data/maharashtra/mumbai/mumbai_2017.csv
2017,135,NOTA,,,73,,data/maharashtra/mumbai/mumbai_2017.csv
2017,136,RUKHSANA NAZIM SIDDIQUI,SP,Samajwadi Party,6364,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,136,ASMINBANO BILALAHMED KHAN,INC,Indian National Congress,2665,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,136,NURIKHATUN SAEED KHAN,AIMIM,All India Majlis e Ittehadul Muslimeen,2370,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,136,QUAMRUNNISA MOHAMMAD NAZIR ANSARI,NCP,Nationalist Congress Party,1703,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,136,SHABNAM IRSHADILAHI SHAIKH,SS,Shivsena,1374,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,136,ANITA ANIL KAMBLE,BJP,Bhartiya Janata Party,1139,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,136,SUNANDA SIDDHARTH USTURE,MNS,Maharashtra Navnirman Sena,152,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,136,SHABNAM SIRAJUDDIN ANSARI,IND,Independent,94,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,136,NOTA,,,82,,data/maharashtra/mumbai/mumbai_2017.csv
2017,137,Ayesha Rafique Shaikh,SP,Samajwadi Party,8343,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,137,SANDHYA MAHADEO AMBEKAR,SS,Shivsena,5695,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,137,BISMILLA ZAKIR MURSAL,INC,Indian National Congress,1125,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,137,JAYMALA KAILASH SARGAR,BJP,Bhartiya Janata Party,684,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,137,FARIDA SHOUKAT MOMIN,NCP,Nationalist Congress Party,645,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,137,NOTA,,,236,,data/maharashtra/mumbai/mumbai_2017.csv
2017,138,AYESHABANO AINMOHAMMED KHAN,SP,Samajwadi Party,6110,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,138,REHANA MOHDIQBAL SHAIKH,IND,Independent,4467,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,138,SUNANDA ANAND SHINDE,SS,Shivsena,3378,3,data/maharashtra/mumbai/mumbai_2017.csv
