source_pdf,tier,reservation_raw,caste_reservation_local,caste_reservation,woman_reserved,count,min_match_score
block_member_daskroi_tps_2020.pdf,block_member,અનુસૂચિત જાતિ સ્ત્રી,અનુસૂચિત જાતિ સ્ત્રી,SC,1,1,1.0
block_member_daskroi_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય,બિન અનામત સામાન્ય,NONE,0,5,1.0
block_member_daskroi_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય *,બિન અનામત સામાન્ય,NONE,0,4,1.0
block_member_daskroi_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય .,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_daskroi_tps_2020.pdf,block_member,સા.શૈ.પછાતર્ગ સ્ત્રી,સા.શૈ.પછાતવર્ગ સ્ત્રી,BC,1,1,0.9714
block_member_daskroi_tps_2020.pdf,block_member,સામાન્ય સ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,2,1.0
block_member_daskroi_tps_2020.pdf,block_member,સામાન્યસ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,7,1.0
block_member_daskroi_tps_2020.pdf,block_member,સામાન્યસ્ત્રી.,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_daskroi_tps_2020.pdf,block_member,“ -સામાન્યસ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_daskroi_tps_2020.pdf,block_member,“બિનઅનામત સામાન્ય,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_gandhinagar_tps_2020.pdf,block_member,* સામાન્ય સ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_gandhinagar_tps_2020.pdf,block_member,1 ' સામાન્યસ્ત્રી |,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_gandhinagar_tps_2020.pdf,block_member,| અનુસૂચિતઆદિજાતિસ્ત્રી |,અનુસૂચિત આદિજાતિ સ્ત્રી,ST,1,1,1.0
block_member_gandhinagar_tps_2020.pdf,block_member,| ચયુસૂચિતજાતિસ્સ્ી |,અનુસૂચિત જાતિ સ્ત્રી,SC,1,1,0.8
block_member_gandhinagar_tps_2020.pdf,block_member,| થચામન્યસ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,1,0.8462
block_member_gandhinagar_tps_2020.pdf,block_member,| બિનઅનામત સામાન્ય * ર],બિન અનામત સામાન્ય,NONE,0,1,0.9677
