Candidate,Party Name ,Ward Number,Constituency Name,Votes Polled,Election Outcome,Reservation Status,Real Assets,Real Liabilities,Asset Error,My Neta Criminal Cases,Ward Number,Direction,Age,Marital Status,Dependents,Other Dependents,PAN ,Returns Filed,Spouse PAN,Spouse Returns Filed,Pending Criminal Cases(Affidavit),Convictions,Spouse Assets,Occupation,Spouse Occupation,EDUCATION,Number of  Voters,Votes Polled ,percentage polled,percent of Votes Polled,percent  of Total Votes,
Sudhir,SP,64,Shakur Pur (SC),1050,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,7.28,3.58,
Meena Kumari,CPI,64,Shakur Pur (SC),884,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,6.13,3.02,
Hanuman,NCP,64,Shakur Pur (SC),563,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,3.9,1.92,
Jati Ram,IND,64,Shakur Pur (SC),97,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.33,
Mamta Dhika,BJP,65,Nimri Colony (SCW),6120,winner,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,37390,16394,43.85,37.33,16.37,
Ms Shakuntla,INC,65,Nimri Colony (SCW),5164,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,31.5,13.81,
Ms.  Madhu,BSP,65,Nimri Colony (SCW),2954,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,18.02,7.9,
Smt. Vinod Kumari,IND,65,Nimri Colony (SCW),1148,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,7,3.07,
Ms Babita,NCP,65,Nimri Colony (SCW),572,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,3.49,1.53,
Ms.  Rani,JMM,65,Nimri Colony (SCW),219,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,1.34,0.59,
Ms. Veermati,INLD,65,Nimri Colony (SCW),126,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.34,
Ms. Mahadevi,IND,65,Nimri Colony (SCW),91,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.24,
Dev Raj,BJP,66,Sawan Park (SC),8831,winner,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,41026,16102,39.25,54.84,21.53,
Sh Beni Ram,INC,66,Sawan Park (SC),4929,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,30.61,12.01,
Santosh Kumar,BSP,66,Sawan Park (SC),851,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,5.29,2.07,
Sh. Ram Phal,IND,66,Sawan Park (SC),568,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,3.53,1.38,
Harish Kumar,JMM,66,Sawan Park (SC),504,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,3.13,1.23,
Sh. Raja Ram,IND,66,Sawan Park (SC),213,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.32,0.52,
Kanhiaiya Lal,IND,66,Sawan Park (SC),185,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.15,0.45,
Sh. Dal Chand,IND,66,Sawan Park (SC),21,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.05,
Mahinder Nagpal,BJP,67,Wazirpur (G),10413,winner,,,,,,,,,,,,,,,,,,,,,,43410,18838,43.4,55.28,23.99,
I. K.Singhal,INC,67,Wazirpur (G),2844,Lost,,,,,,,,,,,,,,,,,,,,,,,,,15.1,6.55,
Sh Vinod Chhabra,NCP,67,Wazirpur (G),1966,Lost,,,,,,,,,,,,,,,,,,,,,,,,,10.44,4.53,
Om Prakash,BSP,67,Wazirpur (G),1097,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.82,2.53,
Sh. Subhash Chander Gupta,IND,67,Wazirpur (G),1047,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.56,2.41,
Smt JaiShree,JMM,67,Wazirpur (G),968,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.14,2.23,
Sh. Radhey Shyam,INLD,67,Wazirpur (G),296,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.57,0.68,
Sh. G.L. Arora,SS,67,Wazirpur (G),158,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.36,
Sh. Mukesh  Anand,IND,67,Wazirpur (G),49,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.11,
Suresh,BJP,68,Ashok Vihar (G),4469,winner,,,,,,,,,,,,,,,,,,,,,,43501,15652,35.98,28.55,10.27,
Sh Anil Kumar,NCP,68,Ashok Vihar (G),4230,Lost,,,,,,,,,,,,,,,,,,,,,,,,,27.03,9.72,
Sh Ratan Chand,INC,68,Ashok Vihar (G),2213,Lost,,,,,,,,,,,,,,,,,,,,,,,,,14.14,5.09,
Sh. Inderjit,IND,68,Ashok Vihar (G),1816,Lost,,,,,,,,,,,,,,,,,,,,,,,,,11.6,4.17,
Sh. Mahinder Sharma,IND,68,Ashok Vihar (G),1515,Lost,,,,,,,,,,,,,,,,,,,,,,,,,9.68,3.48,
Sh. Budhi Ram,IND,68,Ashok Vihar (G),590,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.77,1.36,
Sh.  Shankar Kumar,LJP,68,Ashok Vihar (G),287,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.83,0.66,
Sh. Om Prakash,INLD,68,Ashok Vihar (G),237,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.51,0.54,
Ms. Farida,IND,68,Ashok Vihar (G),116,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.27,
Sh. Rajeh Kumar Malyan,JMM,68,Ashok Vihar (G),104,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.24,
Sh. Praveen Kumar Gupta,IND,68,Ashok Vihar (G),39,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.09,
Sh. Rajesh Gupta,IND,68,Ashok Vihar (G),36,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.08,
Renu Gupta,BJP,69,Kamla Nagar (W),8536,winner,Women,,,,,,,,,,,,,,,,,,,,,40644,18540,45.62,46.04,21,
Preeti Sharma,INC,69,Kamla Nagar (W),7355,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,39.67,18.1,
Bharti,INLD,69,Kamla Nagar (W),1143,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,6.17,2.81,
Anju Bajaj,RJD,69,Kamla Nagar (W),906,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,4.89,2.23,
Renu Khanna,IND,69,Kamla Nagar (W),504,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,2.72,1.24,
Shiva Sharma,NCP,69,Kamla Nagar (W),96,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.24,
Raj Khurana,BJP,70,Rana Pratap Bagh (G),9336,winner,,,,,,,,,,,,,,,,,,,,,,36816,17357,47.15,53.79,25.36,
Vinod Goel,INC,70,Rana Pratap Bagh (G),6077,Lost,,,,,,,,,,,,,,,,,,,,,,,,,35.01,16.51,
Munna Lal,IND,70,Rana Pratap Bagh (G),757,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.36,2.06,
Ajay Monga,INLD,70,Rana Pratap Bagh (G),397,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.29,1.08,
Vivek Kumar Garg,IND,70,Rana Pratap Bagh (G),267,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.54,0.73,
Makhan Lal,NCP,70,Rana Pratap Bagh (G),246,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.42,0.67,
Kedar Nath Yadav,BSP,70,Rana Pratap Bagh (G),243,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.4,0.66,
Jag lal,IND,70,Rana Pratap Bagh (G),34,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.09,
Madhav Prasad,BJP,71,Sangam Park (SC),5740,winner,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,33823,13242,39.15,43.35,16.97,
Radhay Shayam,INC,71,Sangam Park (SC),4317,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,32.6,12.76,
Kanhiaya,BSP,71,Sangam Park (SC),1719,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,12.98,5.08,
Mukesh Kumar,IND,71,Sangam Park (SC),517,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,3.9,1.53,
Rinki,LJP,71,Sangam Park (SC),422,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,3.19,1.25,
Dhaneshwar,IND,71,Sangam Park (SC),299,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,2.26,0.88,
Ram Nakshatar,IND,71,Sangam Park (SC),116,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,0.88,0.34,
Suraj Pal Singh,IND,71,Sangam Park (SC),112,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.33,
Surendar Gupta,BJP,72,Model Town (G),8218,winner,,,,,,,,,,,,,,,,,,,,,,32515,12816,39.42,64.12,25.27,
Suraj Prakash,INC,72,Model Town (G),3421,Lost,,,,,,,,,,,,,,,,,,,,,,,,,26.69,10.52,
Pradeep Kumar,NCP,72,Model Town (G),849,Lost,,,,,,,,,,,,,,,,,,,,,,,,,6.62,2.61,
Ashok Kumar Aggarwal,INLD,72,Model Town (G),276,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.15,0.85,
Om Parkash,IND,72,Model Town (G),52,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.16,
Shalu Malik,INC,73,Shastri Nagar (W),8409,winner,Women,,,,,,,,,,,,,,,,,,,,,43526,20865,47.94,40.3,19.32,
Smt. Saroj Gupta,INLD,73,Shastri Nagar (W),6602,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,31.64,15.17,
Kavita,BJP,73,Shastri Nagar (W),5453,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,26.13,12.53,
Suman Gautam,NCP,73,Shastri Nagar (W),239,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.15,0.55,
Ms. Indu Devi,LJP,73,Shastri Nagar (W),162,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.37,
Tarun Kumar,INC,74,Inderlok Colony (SC),6883,winner,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,38055,16495,43.35,41.73,18.09,
Sh. Brij  Mohan,BJP,74,Inderlok Colony (SC),5192,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,31.48,13.64,
Sh. Ram  Asare,BSP,74,Inderlok Colony (SC),2001,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,12.13,5.26,
Sh. Kishan Chand,IND,74,Inderlok Colony (SC),948,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,5.75,2.49,
Sh. Ranjeet Kumar,IND,74,Inderlok Colony (SC),440,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,2.67,1.16,
Sh. Raj Kumar,IND,74,Inderlok Colony (SC),429,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,2.6,1.13,
Nanda,NCP,74,Inderlok Colony (SC),319,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.93,0.84,
Sh. Mahendra Kumar,IND,74,Inderlok Colony (SC),155,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.41,
Sh. Murari Lal,IND,74,Inderlok Colony (SC),128,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.34,
Satbir Sharma,INC,75,Kishan Ganj (G),11655,winner,,,,,,,,,,,,,,,,,,,,,,45349,22440,49.48,51.94,25.7,
Sh. Ved Prakash,BJP,75,Kishan Ganj (G),7302,Lost,,,,,,,,,,,,,,,,,,,,,,,,,32.54,16.1,
Naresh Jain,BSP,75,Kishan Ganj (G),1114,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.96,2.46,
Sh. Vijay Lamba,INLD,75,Kishan Ganj (G),731,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.26,1.61,
Sh. Sohan  Lal,IND,75,Kishan Ganj (G),389,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.73,0.86,
Sandeep Kumar Saxena,RJD,75,Kishan Ganj (G),337,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.74,
Parveen Kumar,IND,75,Kishan Ganj (G),282,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.26,0.62,
Ms. Monika,SS,75,Kishan Ganj (G),193,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.43,
Sh. Love Kumar Chaudhary,IND,75,Kishan Ganj (G),153,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.34,
Chitraj Agnihotri,LJP,75,Kishan Ganj (G),145,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.32,
Jasbir Singh,NCP,75,Kishan Ganj (G),57,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.13,
Sh. Avinash Puri,IND,75,Kishan Ganj (G),34,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.07,
Sukant,IND,75,Kishan Ganj (G),27,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.06,
Mukesh Sharma,IND,75,Kishan Ganj (G),21,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.05,
Parveen Kumar,BJP,76,Deputy Ganj (G),7611,winner,,,,,,,,,,,,,,,,,,,,,,42902,19105,44.53,39.84,17.74,
Mhd. Naushad,INC,76,Deputy Ganj (G),7291,Lost,,,,,,,,,,,,,,,,,,,,,,,,,38.16,16.99,
Sh. Hari kishan Garg,INLD,76,Deputy Ganj (G),2886,Lost,,,,,,,,,,,,,,,,,,,,,,,,,15.11,6.73,
Sh. Ravinder Kumar,BSP,76,Deputy Ganj (G),450,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.36,1.05,
Ms. Madhuri,JKPP,76,Deputy Ganj (G),237,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.24,0.55,
Md. Farhan,LJP,76,Deputy Ganj (G),236,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.24,0.55,
Sh. Ashok,IND,76,Deputy Ganj (G),150,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.35,
Sh. Balram,SS,76,Deputy Ganj (G),108,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.25,
Sh. Anil Kumar Saini,IND,76,Deputy Ganj (G),66,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.15,
Md. Ilyas,IND,76,Deputy Ganj (G),41,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.1,
Sh.  Prashant Yadav,IND,76,Deputy Ganj (G),29,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.07,
Uma Sharma,INC,77,Kashmiri Gate (W),3009,winner,Women,,,,,,,,,,,,,,,,,,,,,16487,5754,34.9,52.29,18.25,
Gayatri,BJP,77,Kashmiri Gate (W),2450,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,42.58,14.86,
Rekha,SS,77,Kashmiri Gate (W),164,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,2.85,0.99,
Rajindri,LJP,77,Kashmiri Gate (W),102,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.77,0.62,
Shikha,IND,77,Kashmiri Gate (W),29,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.18,
Vikas,INC,78,Majnu Ka Tila (SC),6399,winner,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,32206,13037,40.48,49.08,19.87,
Satish kumar,BJP,78,Majnu Ka Tila (SC),6123,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,46.97,19.01,
Kishan  Chand,IND,78,Majnu Ka Tila (SC),286,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,2.19,0.89,
Vinay Kumar,RJD,78,Majnu Ka Tila (SC),229,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.76,0.71,
Khurram  Iqbal,LJP,79,Jama Masjid (G),5841,winner,,,,,,,,,,,,,,,,,,,,,,34542,15777,45.67,37.02,16.91,
H. Faiazuddin,INC,79,Jama Masjid (G),3546,Lost,,,,,,,,,,,,,,,,,,,,,,,,,22.48,10.27,
Abid Mhd.,BJP,79,Jama Masjid (G),2048,Lost,,,,,,,,,,,,,,,,,,,,,,,,,12.98,5.93,
Talat Sultana,IND,79,Jama Masjid (G),1909,Lost,,,,,,,,,,,,,,,,,,,,,,,,,12.1,5.53,
Mohd. Akram,RJD,79,Jama Masjid (G),1234,Lost,,,,,,,,,,,,,,,,,,,,,,,,,7.82,3.57,
Shakeel Malik,JD(S),79,Jama Masjid (G),643,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.08,1.86,
Javed Anjum,SP,79,Jama Masjid (G),203,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.29,0.59,
Irfanuddin,IND,79,Jama Masjid (G),106,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.31,
Rais Ahmed,IND,79,Jama Masjid (G),97,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.28,
Salma,IND,79,Jama Masjid (G),95,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.28,
Bashiruddin  Dehlvi,IND,79,Jama Masjid (G),55,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.16,
Suman Kumar Gupta,BJP,80,Chandni Chowk (G),8909,winner,,,,,,,,,,,,,,,,,,,,,,37591,18229,48.49,48.87,23.7,
Brij Mohan Sharma,INC,80,Chandni Chowk (G),7782,Lost,,,,,,,,,,,,,,,,,,,,,,,,,42.69,20.7,
Surinder Kumar,SS,80,Chandni Chowk (G),553,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.03,1.47,
Bhawani Shankar,IND,80,Chandni Chowk (G),465,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.55,1.24,
Mannan Ali,IND,80,Chandni Chowk (G),175,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.47,
Mukesh Malhotra,NCP,80,Chandni Chowk (G),154,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.41,
Balram Bari,IND,80,Chandni Chowk (G),125,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.69,0.33,
Vinesh Kumar,IND,80,Chandni Chowk (G),24,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.06,
Neeraj Gupta,IND,80,Chandni Chowk (G),22,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.06,
Thakur Amit,IND,80,Chandni Chowk (G),20,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.05,
Anita Sharma,INC,81,Minto Road (W),4017,winner,Women,,,,,,,,,,,,,,,,,,,,,26056,9131,35.04,43.99,15.42,
Meenu Jain,BJP,81,Minto Road (W),3671,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,40.2,14.09,
Chander Kanta  Bharti,IND,81,Minto Road (W),379,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,4.15,1.45,
Huma,LJP,81,Minto Road (W),261,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,2.86,1,
Sushmaa Kashyap,NCP,81,Minto Road (W),238,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,2.61,0.91,
Minu,BSP,81,Minto Road (W),237,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,2.6,0.91,
Shakuntla Devi,IND,81,Minto Road (W),122,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.34,0.47,
Bismilla,JD(U),81,Minto Road (W),105,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.15,0.4,
Alka,IND,81,Minto Road (W),74,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.28,
Faimida Bagam,IND,81,Minto Road (W),27,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.1,
Krishan Murari Jatav,INC,82,Kucha Pandit (SC),5147,winner,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,37751,15186,40.23,33.89,13.63,
Babu Lal,BJP,82,Kucha Pandit (SC),4871,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,32.08,12.9,
Rakesh Kumar,LJP,82,Kucha Pandit (SC),3874,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,25.51,10.26,
Rakesh Kumar,BSP,82,Kucha Pandit (SC),999,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,6.58,2.65,
Jeet Singh,IND,82,Kucha Pandit (SC),178,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.17,0.47,
Jaini Prasad,IND,82,Kucha Pandit (SC),117,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.31,
Mahmood Zia,INC,83,Bazar Sita Ram (G),4829,winner,,,,,,,,,,,,,,,,,,,,,,29505,13767,46.66,35.08,16.37,
Mohd. Shafeeq,LJP,83,Bazar Sita Ram (G),4021,Lost,,,,,,,,,,,,,,,,,,,,,,,,,29.21,13.63,
Krishan Muari Gupta,BJP,83,Bazar Sita Ram (G),3095,Lost,,,,,,,,,,,,,,,,,,,,,,,,,22.48,10.49,
Jalaluddin,IND,83,Bazar Sita Ram (G),637,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.63,2.16,
Shahabuddin,RJD,83,Bazar Sita Ram (G),544,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.95,1.84,
Ahmed  Sabri,NCP,83,Bazar Sita Ram (G),299,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.17,1.01,
Sushil Sharma,INLD,83,Bazar Sita Ram (G),234,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.7,0.79,
Mohd. Furqan,IND,83,Bazar Sita Ram (G),70,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.24,
Manoj Narayan,IND,83,Bazar Sita Ram (G),38,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.13,
Ubead Iqbal,LJP,84,Turkman Gate (G),6203,winner,,,,,,,,,,,,,,,,,,,,,,30473,13136,43.11,47.22,20.36,
Md.Matloob,INC,84,Turkman Gate (G),2921,Lost,,,,,,,,,,,,,,,,,,,,,,,,,22.24,9.59,
Abdul  Amir Amiro,BJP,84,Turkman Gate (G),1967,Lost,,,,,,,,,,,,,,,,,,,,,,,,,14.97,6.45,
Sayed Nisar Hussain,JD(S),84,Turkman Gate (G),1021,Lost,,,,,,,,,,,,,,,,,,,,,,,,,7.77,3.35,
Md. Shafiq,IND,84,Turkman Gate (G),389,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.96,1.28,
Ashish Soleman,IND,84,Turkman Gate (G),289,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.2,0.95,
Mashroor Hussain,NCP,84,Turkman Gate (G),220,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.67,0.72,
Tanveer Mirza,IND,84,Turkman Gate (G),66,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.22,
Aleem,IND,84,Turkman Gate (G),36,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.12,
Sibghatullah,IND,84,Turkman Gate (G),24,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.08,
Raj Rani,INC,85,Idgah Road (SCW),5195,winner,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,32873,13857,42.15,37.49,15.8,
Ram Bhateri,BJP,85,Idgah Road (SCW),4405,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,31.79,13.4,
Ranjana,LJP,85,Idgah Road (SCW),4257,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,30.72,12.95,
Renuka Gupta,BJP,86,Ballimaran (W),6700,Winner,Women,,,,,,,,,,,,,,,,,,,,,35018,15826,45.19,42.34,19.13,
Saeeda,INC,86,Ballimaran (W),6100,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,38.54,17.42,
Gulistan Shuja,JD(S),86,Ballimaran (W),2900,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,18.32,8.28,
Razia  Begum,IND,86,Ballimaran (W),126,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.36,
Shayam Lal,BJP,87,Ram Nagar (SC),10387,winner,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,43761,19068,43.57,54.47,23.74,
Hukum Chand,INC,87,Ram Nagar (SC),6542,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,34.31,14.95,
Prince  Kumar,INLD,87,Ram Nagar (SC),925,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,4.85,2.11,
Vinod,RJD,87,Ram Nagar (SC),593,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,3.11,1.36,
Laxman Kumar. Indoria,NCP,87,Ram Nagar (SC),283,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.48,0.65,
Nathu Ram,IND,87,Ram Nagar (SC),215,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.13,0.49,
Ram Singh,IND,87,Ram Nagar (SC),123,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.28,
Mohd.Imran,BJP,88,Qasabpura (G),10251,winner,,,,,,,,,,,,,,,,,,,,,,43060,21006,48.78,48.8,23.81,
Mohd. Usman,INC,88,Qasabpura (G),6985,Lost,,,,,,,,,,,,,,,,,,,,,,,,,33.25,16.22,
Ravinder Kumar,INLD,88,Qasabpura (G),911,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.34,2.12,
Ajay Kumar,SS,88,Qasabpura (G),898,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.27,2.09,
Daya Ram Saini,BSP,88,Qasabpura (G),632,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.01,1.47,
Md Sabauddin,RJD,88,Qasabpura (G),628,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.99,1.46,
Jamiluddin Pappan,NCP,88,Qasabpura (G),411,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.96,0.95,
Puran Chand,IND,88,Qasabpura (G),97,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.23,
Rajesh,IND,88,Qasabpura (G),88,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.2,
Md.Irfan Javed Qureshi,IND,88,Qasabpura (G),82,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.19,
Manohar lal Mahajan,IND,88,Qasabpura (G),23,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.05,
Sunil Kakkar,BJP,89,Paharganj (G),10648,winner,,,,,,,,,,,,,,,,,,,,,,41693,19816,47.53,53.73,25.54,
Harish Khosla,INC,89,Paharganj (G),7464,Lost,,,,,,,,,,,,,,,,,,,,,,,,,37.67,17.9,
Kulbhushan,BSP,89,Paharganj (G),419,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.11,1,
