Candidate,Constituency Name,Ward Number,Party,Valid Votes Polled,Election Outcome,Total Valid Votes,Total Voters,Direction,Reservation Status,Real Assets,Real Liabilities,Asset Error,Age,Marital Status,Dependents,Other Dependents,PAN ,Returns Filed,Spouse PAN,Spouse Returns Filed,Pending Criminal Cases(Affidavit),Convictions,Spouse Assets,Occupation,Spouse Occupation,Votes Polled(Old Data),EDUCATION
Sanjay Kathuria,ROHINI-A,24-N,INDEPENDENT,189,Lost,,,N,General,97780,0,,,,,,,,,,,,,,,,Not Given
Urmila Devi,ROHINI-A,24-N,INDEPENDENT,109,Lost,,,N,General,396741,112697,,,,,,,,,,,,,,,,12th Pass
Narain Singh,ROHINI-A,24-N,INDEPENDENT,132,Lost,,,N,General,500220,0,,,,,,,,,,,,,,,,8th Pass
Rohit Sharma,ROHINI-A,24-N,INDIAN NATIONAL CONGRESS,7200,Lost,,,N,General,500802,0,,,,,,,,,,,,,,,7200,Graduate Professional
Rakesh Kumar Garg,ROHINI-A,24-N,AAM AADMI PARTY,6442,Lost,,,N,General,1565797,0,,,,,,,,,,,,,,,,Doctorate
Shahnaaz,ROHINI-A,24-N,INDEPENDENT,27,Lost,,,N,General,2010000,0,,,,,,,,,,,,,,,,5th Pass
Deepak Mehra,GHUMAN HERA,40-S,SAMAJWADI PARTY,7842,Winner,27121,43836,S,SC,5591459,12163,Correct,43,married,3,0,yes,yes,yes,no,1,0,640614,scan not visible,housewife,7842,10th Pass
Nawal Singh,ROHINI-A,24-N,INDEPENDENT,3127,Lost,,,N,General,3615967,139655,,,,,,,,,,,,,,,,10th Pass
Manoj Saxena,ROHINI-A,24-N,INDEPENDENT,22,Lost,,,N,General,7328313,0,,,,,,,,,,,,,,,,Post Graduate
Sushma,ROHINI-A,24-N,INDEPENDENT,21,Lost,,,N,General,10550000,0,,,,,,,,,,,,,,,,Graduate
Brijesh Kedia,ROHINI-A,24-N,INDEPENDENT,206,Lost,,,N,General,14804501,284900,,,,,,,,,,,,,,,,12th Pass
Sangeeta,ROHINI-A,24-N,INDEPENDENT,105,Lost,,,N,General,24530706,0,,,,,,,,,,,,,,,,Graduate
NOTA,ROHINI-A,24-N,,255,,,,N,General,,,,,,,,,,,,,,,,,,
Savitri Bhandari,BAPRAULA,24-S,INDEPENDENT,432,Lost,,,S,Women,113000,0,,,,,,,,,,,,,,,,8th Pass
Ranjeeta Kumari,BAPRAULA,24-S,INDEPENDENT,47,Lost,,,S,Women,770921,212500,,,,,,,,,,,,,,,,Graduate
Neelam,BAPRAULA,24-S,INDEPENDENT,242,Lost,,,S,Women,1872036,0,,,,,,,,,,,,,,,,8th Pass
Shobha Yadav,BAPRAULA,24-S,INDEPENDENT,1547,Lost,,,S,Women,1906202,0,,,,,,,,,,,,,,,,5th Pass
Nirmla Kumari,GOKAL PURI,53-E,BHARATIYA JANATA PARTY,11647,Winner,29519,50133,E,SCW,8641070,0,Correct,40,married,no,no,yes,no,yes,yes,0,0,1291070,housewife,business,11647,10th Pass
Jugni Devi,BAPRAULA,24-S,JANATA DAL (UNITED),263,Lost,,,S,Women,3932987,2877600,,,,,,,,,,,,,,,,Graduate
Rakhi Tomar,BAPRAULA,24-S,INDEPENDENT,3658,Lost,,,S,Women,7530000,1900000,,,,,,,,,,,,,,,,5th Pass
Amrita Rashmi,BAPRAULA,24-S,INDEPENDENT,4238,Lost,,,S,Women,20683760,1399968,,,,,,,,,,,,,,,,Graduate
Jyoti Sharma,BAPRAULA,24-S,BAHUJAN SAMAJ PARTY,2247,Lost,,,S,Women,25976408,180000,,,,,,,,,,,,,,,,12th Pass
Asha Solanki,BAPRAULA,24-S,INDIAN NATIONAL CONGRESS,6735,Lost,,,S,Women,44534976,80720,,,,,,,,,,,,,,,6745,8th Pass
NOTA,BAPRAULA,24-S,,234,,,,S,Women,,,,,,,,,,,,,,,,,,
Vishal,SHASTRI PARK,25-E,BAHUJAN SAMAJ PARTY,160,Lost,,,E,General,132500,0,,,,,,,,,,,,,,,,12th Pass
Sonam Verma,SHASTRI PARK,25-E,INDEPENDENT,101,Lost,,,E,General,281543,0,,,,,,,,,,,,,,,,8th Pass
Mohd Nawab,SHASTRI PARK,25-E,JANATA DAL (UNITED),302,Lost,,,E,General,287000,0,,,,,,,,,,,,,,,,8th Pass
Sanjeev Kumar Jain,SHASTRI PARK,25-E,INDEPENDENT,57,Lost,,,E,General,704696,3373,,,,,,,,,,,,,,,,10th Pass
Riajuddin,SHASTRI PARK,25-E,AAM AADMI PARTY,3256,Lost,,,E,General,749963,0,,,,,,,,,,,,,,,,12th Pass
Vinod Jain,SHASTRI PARK,25-E,INDEPENDENT,49,Lost,,,E,General,1946249,494355,,,,,,,,,,,,,,,,10th Pass
Antim Gahlot,GOPAL NAGAR,41-S,BHARATIYA JANATA PARTY,6013,Winner,27309,47950,S,Women,1907563,0,Correct,33,married,2,0,yes,yes,yes,yes,0,0,1000000,social worker,real estate,6013,12th Pass
"ROHTASH KUMAR
MATHUR",SHASTRI PARK,25-E,SAMAJWADI PARTY,111,Lost,,,E,General,3653000,0,,,,,,,,,,,,,,,,8th Pass
Abdul Hannan,SHASTRI PARK,25-E,"ALL INDIA MAJLIS­E­ ITTEHADUL
MUSLIMEEN",2871,Lost,,,E,General,23596599,0,,,,,,,,,,,,,,,,8th Pass
"SURENDER
PRAKASH SHARMA",SHASTRI PARK,25-E,INDIAN NATIONAL CONGRESS,10804,Lost,,,E,General,149879954,17002841,,,,,,,,,,,,,,,10804,10th Pass
NOTA,SHASTRI PARK,25-E,,123,,,,E,General,,,,,,,,,,,,,,,,,,
Shashi,ROHINI-B,25-N,INDIAN NATIONAL CONGRESS,3662,Lost,,,N,Women,1366758,0,,,,,,,,,,,,,,,,Post Graduate
Mamta Gola,ROHINI-B,25-N,INDEPENDENT,84,Lost,,,N,Women,1972587,0,,,,,,,,,,,,,,,,Graduate
Chander Prakash,GOVIND PURI,91-S,INDIAN NATIONAL CONGRESS,12886,Winner,26742,50823,S,General,53728688,4967323,Correct,39,married,1,0,yes,yes,yes,yes,0,0,4070069,business,business,12886,Post Graduate
Anu Bindal,ROHINI-B,25-N,AAM AADMI PARTY,6739,Lost,,,N,Women,5758783,3496966,,,,,,,,,,,,,,,6739,10th Pass
Suman Anil Rana,ROHINI-B,25-N,INDEPENDENT,3432,Lost,,,N,Women,25680770,9903372,,,,,,,,,,,,,,,,Graduate
NOTA,ROHINI-B,25-N,,245,,,,N,Women,,,,,,,,,,,,,,,,,,
Markandey Mishra,MOHAN GARDEN-SOUTH,25-S,INDEPENDENT,97,Lost,,,S,General,35666,0,,,,,,,,,,,,,,,,8th Pass
Shikha Roy,GREATER KAILASH,86-S,BHARATIYA JANATA PARTY,12979,Winner,24191,56496,S,Women,68114240,2969322,Correct,52,married,2,0,yes,yes,yes,yes,2,0,8895123,advocate,advocate,12979,Post Graduate
Janardhan,MOHAN GARDEN-SOUTH,25-S,INDEPENDENT,616,Lost,,,S,General,8235000,0,,,,,,,,,,,,,,,,12th Pass
Nandan Singh Rawat,MOHAN GARDEN-SOUTH,25-S,BAHUJAN SAMAJ PARTY,840,Lost,,,S,General,8692231,0,,,,,,,,,,,,,,,,Graduate
Braj Kishor Jha,MOHAN GARDEN-SOUTH,25-S,"ALL INDIA FORWARD
BLOC",179,Lost,,,S,General,25925170,0,,,,,,,,,,,,,,,,Graduate
SHUSHIL KUMAR SHARMA,MOHAN GARDEN-SOUTH,25-S,INDEPENDENT,7591,Lost,,,S,General,35801525,0,,,,,,,,,,,,,,,7591,12th Pass
Manoj Kumar Goel,MOHAN GARDEN-SOUTH,25-S,INDIAN NATIONAL CONGRESS,5962,Lost,,,S,General,51862520,0,,,,,,,,,,,,,,,,12th Pass
NOTA,MOHAN GARDEN-SOUTH,25-S,,253,,,,S,General,,,,,,,,,,,,,,,,,,
Kamini,KANTI NAGAR,26-E,INDEPENDENT,217,Lost,,,E,Women,448052,0,,,,,,,,,,,,,,,,12th Pass
Guddia Nazmin,KANTI NAGAR,26-E,INDEPENDENT,105,Lost,,,E,Women,661757,0,,,,,,,,,,,,,,,,5th Pass
Sujeet Thakur,HAIDERPUR,61-N,BHARATIYA JANATA PARTY,9897,Winner,25657,48390,N,General,24744818,0,Correct,47,married,2,1,yes,yes,no,no,0,0,698000,business,housewife,9897,8th Pass
Kaushal Devi,KANTI NAGAR,26-E,"NATIONALIST
CONGRESS PARTY",447,Lost,,,E,Women,3904847,0,,,,,,,,,,,,,,,,Illiterate
Vandana Rani,KANTI NAGAR,26-E,AAM AADMI PARTY,5364,Lost,,,E,Women,7682978,100000,,,,,,,,,,,,,,,,8th Pass
Varyam Kaur,KANTI NAGAR,26-E,INDIAN NATIONAL CONGRESS,6376,Lost,,,E,Women,13128696,380000,,,,,,,,,,,,,,,6376,10th Pass
NOTA,KANTI NAGAR,26-E,,153,,,,E,Women,,,,,,,,,,,,,,,,,,
Bhogender Raut,VIJAY VIHAR,26-N,INDEPENDENT,27,Lost,,,N,General,10458,0,,,,,,,,,,,,,,,,12th Pass
Jitendar Kumar,VIJAY VIHAR,26-N,INDEPENDENT,16,Lost,,,N,General,123134,0,,,,,,,,,,,,,,,,5th Pass
Mohd. Shamim,VIJAY VIHAR,26-N,INDEPENDENT,54,Lost,,,N,General,165000,0,,,,,,,,,,,,,,,,8th Pass
Jai Kumar,VIJAY VIHAR,26-N,INDEPENDENT,40,Lost,,,N,General,190349,0,,,,,,,,,,,,,,,,5th Pass
Dinesh Kumar,VIJAY VIHAR,26-N,INDEPENDENT,78,Lost,,,N,General,252000,,,,,,,,,,,,,,,,,12th Pass
Bhanu Pratap,VIJAY VIHAR,26-N,INDEPENDENT,686,Lost,,,N,General,295000,0,,,,,,,,,,,,,,,,12th Pass
Rupesh Garg,VIJAY VIHAR,26-N,INDEPENDENT,70,Lost,,,N,General,555000,500000,,,,,,,,,,,,,,,,10th Pass
Devender Singhal,VIJAY VIHAR,26-N,SHIV SENA,229,Lost,,,N,General,601500,0,,,,,,,,,,,,,,,,8th Pass
Rajesh,VIJAY VIHAR,26-N,INDEPENDENT,177,Lost,,,N,General,749500,0,,,,,,,,,,,,,,,,Literate
Soniya,VIJAY VIHAR,26-N,INDEPENDENT,28,Lost,,,N,General,1027771,0,,,,,,,,,,,,,,,,Post Graduate
Alok Dixit,VIJAY VIHAR,26-N,INDEPENDENT,341,Lost,,,N,General,1748397,0,,,,,,,,,,,,,,,,12th Pass
Suraj Goyal,VIJAY VIHAR,26-N,INDEPENDENT,94,Lost,,,N,General,1793940,0,,,,,,,,,,,,,,,,12th Pass
Kiran Chopra,HARI NAGAR-A,10-S,BHARATIYA JANATA PARTY,12659,Winner,32828,62393,S,Women,19793701,480000,Correct,58,Married,0,0,Yes,Yes,Yes,Yes,0,2,,Self-Employed,Business,12659,10th Pass
Bhupendera Singh Rawat,VIJAY VIHAR,26-N,JANATA DAL (UNITED),1098,Lost,,,N,General,3455300,0,,,,,,,,,,,,,,,,8th Pass
Subhash,VIJAY VIHAR,26-N,INDEPENDENT,254,Lost,,,N,General,8612105,0,,,,,,,,,,,,,,,,12th Pass
Manoj,VIJAY VIHAR,26-N,INDEPENDENT,3993,Lost,,,N,General,17815113,7844972,,,,,,,,,,,,,,,,Post Graduate
Pyare Lal Sharma,VIJAY VIHAR,26-N,INDEPENDENT,550,Lost,,,N,General,18097588,0,,,,,,,,,,,,,,,,8th Pass
Faim Ul Islam,VIJAY VIHAR,26-N,BAHUJAN SAMAJ PARTY,1685,Lost,,,N,General,19547560,17020634,,,,,,,,,,,,,,,,8th Pass
Surender Solanki,VIJAY VIHAR,26-N,AAM AADMI PARTY,8387,Lost,,,N,General,22457457,1100000,,,,,,,,,,,,,,,8387,12th Pass
Jagdish Yadav,VIJAY VIHAR,26-N,INDIAN NATIONAL CONGRESS,2689,Lost,,,N,General,28180424,0,,,,,,,,,,,,,,,,Graduate
NOTA,VIJAY VIHAR,26-N,,151,,,,N,General,,,,,,,,,,,,,,,,,,
Vaishnavi,MOHAN GARDEN-NORTH,26-S,INDEPENDENT,63,Lost,,,S,Women,119800,60485,,,,,,,,,,,,,,,,12th Pass
Shakuntla,MOHAN GARDEN-NORTH,26-S,AAM AADMI PARTY,8175,Lost,,,S,Women,259869,0,,,,,,,,,,,,,,,8175,5th Pass
Sultana,MOHAN GARDEN-NORTH,26-S,BAHUJAN SAMAJ PARTY,517,Lost,,,S,Women,695500,0,,,,,,,,,,,,,,,,8th Pass
Anamika,HARI NAGAR-B,97-S,BHARATIYA JANATA PARTY,11085,Winner,30910,57076,S,Women,6701500,0,Correct,37,married,0,0,yes,no,yes,yes,0,0,4254500,housewife,business,11085,Post Graduate
Rachna Gandhi,MOHAN GARDEN-NORTH,26-S,INDEPENDENT,345,Lost,,,S,Women,12435531,1800000,,,,,,,,,,,,,,,,5th Pass
Salini Sharma,MOHAN GARDEN-NORTH,26-S,INDIAN NATIONAL CONGRESS,3780,Lost,,,S,Women,19205959,1328512,,,,,,,,,,,,,,,,Literate
NOTA,MOHAN GARDEN-NORTH,26-S,,170,,,,S,Women,,,,,,,,,,,,,,,,,,
Gaurav Bhanot,RAGHUBARPURA,27-E,AAM AADMI PARTY,3997,Lost,,,E,General,646259,0,,,,,,,,,,,,,,,,12th Pass
Anuj Sharma,RAGHUBARPURA,27-E,INDEPENDENT,69,Lost,,,E,General,687237,0,,,,,,,,,,,,,,,,10th Pass
Puneet Sharma,RAGHUBARPURA,27-E,INDEPENDENT,110,Lost,,,E,General,703000,0,,,,,,,,,,,,,,,,12th Pass
Vijay Singh,RAGHUBARPURA,27-E,SHIV SENA,82,Lost,,,E,General,795000,0,,,,,,,,,,,,,,,,5th Pass
Vinod Kumar,HARKESH NAGAR,92-S,BHARATIYA JANATA PARTY,9406,Winner,29346,58011,S,SC,6316701,600000,Correct,37,married,2,0,yes,yes,no,no,0,0,4170000,business,housewife,9406,10th Pass
Sunil Kumar Garg,RAGHUBARPURA,27-E,INDEPENDENT,31,Lost,,,E,General,3776483,0,,,,,,,,,,,,,,,,12th Pass
Sanjeev Kumar,RAGHUBARPURA,27-E,BAHUJAN SAMAJ PARTY,355,Lost,,,E,General,4069000,0,,,,,,,,,,,,,,,,8th Pass
"YATINDER
SHARMA",RAGHUBARPURA,27-E,INDEPENDENT,60,Lost,,,E,General,5067732,3000000,,,,,,,,,,,,,,,,Graduate
Rajesh Sharma,RAGHUBARPURA,27-E,INDIAN NATIONAL CONGRESS,8935,Lost,,,E,General,5948482,1891228,,,,,,,,,,,,,,,8935,8th Pass
"DINESH
SHARMA",RAGHUBARPURA,27-E,INDEPENDENT,881,Lost,,,E,General,11898865,1526224,,,,,,,,,,,,,,,,12th Pass
Man Mohan Sharma,RAGHUBARPURA,27-E,INDEPENDENT,701,Lost,,,E,General,16222298,1043726,,,,,,,,,,,,,,,,12th Pass
"DHARM
CHAUDHARY",RAGHUBARPURA,27-E,INDEPENDENT,582,Lost,,,E,General,48276352,1840000,,,,,,,,,,,,,,,,12th Pass
NOTA,RAGHUBARPURA,27-E,,169,,,,E,General,,,,,,,,,,,,,,,,,,
Asha Aggarwal,BUDH VIHAR,27-N,INDEPENDENT,68,Lost,,,N,Women,325000,0,,,,,,,,,,,,,,,,8th Pass
Rekha,BUDH VIHAR,27-N,"RASHTRIYA
LOK DAL",131,Lost,,,N,Women,746595,0,,,,,,,,,,,,,,,,8th Pass
Kumkum,BUDH VIHAR,27-N,INDEPENDENT,83,Lost,,,N,Women,1163987,0,,,,,,,,,,,,,,,,10th Pass
Bijendri,HARSH VIHAR,55-E,BHARATIYA JANATA PARTY,13181,Winner,37173,59520,E,SCW,4456206,0,Correct,40,married,no,no,yes,yes,yes,yes,0,0,3765347,,business,13181,8th Pass
Rachna Jain,BUDH VIHAR,27-N,INDEPENDENT,34,Lost,,,N,Women,4337754,0,,,,,,,,,,,,,,,,12th Pass
Pinki Bansal,BUDH VIHAR,27-N,INDIAN NATIONAL CONGRESS,2586,Lost,,,N,Women,6776363,570333,,,,,,,,,,,,,,,,8th Pass
Bala Jain,BUDH VIHAR,27-N,AAM AADMI PARTY,9088,Lost,,,N,Women,7872221,0,,,,,,,,,,,,,,,9088,5th Pass
Babli Sharma,BUDH VIHAR,27-N,INDEPENDENT,208,Lost,,,N,Women,9321000,275000,,,,,,,,,,,,,,,,Illiterate
NOTA,BUDH VIHAR,27-N,,182,,,,N,Women,,,,,,,,,,,,,,,,,,
Ashok Kumar,HASTSAL,21-S,AAM AADMI PARTY,10201,Winner,35992,67282,S,General,46848577,0,Correct,35,Married,0,0,yes,Yes,No,No,1,0,,Business,Self-Employed,10201,10th Pass
Balraj Sharma,NAWADA,27-S,AAM AADMI PARTY,8050,Lost,,,S,General,5255569,0,,,,,,,,,,,,,,,8050,12th Pass
Ramesh Gahlot,NAWADA,27-S,BHARATIYA JANATA PARTY,4676,Lost,,,S,General,13855000,0,,,,,,,,,,,,,,,,Others
Naresh Chander Sharma,NAWADA,27-S,INDIAN NATIONAL CONGRESS,2584,Lost,,,S,General,46149000,435000,,,,,,,,,,,,,,,,Graduate Professional
Alka Ghalot,NAWADA,27-S,INDEPENDENT,456,Lost,,,S,General,225521703,0,,,,,,,,,,,,,,,,12th Pass
NOTA,NAWADA,27-S,,245,,,,S,General,,,,,,,,,,,,,,,,,,
Swati Rana,DILSHAD COLONY,28-E,INDEPENDENT,193,Lost,,,E,Women,416000,60000,,,,,,,,,,,,,,,,10th Pass
Anil Kumar,HAUZ KHAS,62-S,BHARATIYA JANATA PARTY,8709,Winner,21759,45352,S,General,9077412,0,Correct,46,married,3,0,yes,yes,yes,yes,1,0,3613099,business,housewife,8709,12th Pass
"PARAMJIT
KAUR",DILSHAD COLONY,28-E,INDEPENDENT,93,Lost,,,E,Women,5511048,0,,,,,,,,,,,,,,,,10th Pass
"HEENU
MAHAJAN",DILSHAD COLONY,28-E,AAM AADMI PARTY,7787,Lost,,,E,Women,5646849,2527753,,,,,,,,,,,,,,,7787,Graduate Professional
Kulbir Kaur,DILSHAD COLONY,28-E,INDIAN NATIONAL CONGRESS,6418,Lost,,,E,Women,7856935,320000,,,,,,,,,,,,,,,,Graduate Professional
NOTA,DILSHAD COLONY,28-E,,134,,,,E,Women,,,,,,,,,,,,,,,,,,
Om Prakash,RITHALA,28-N,INDEPENDENT,291,Lost,,,N,General,140000,0,,,,,,,,,,,,,,,,Not Given
Chanchal Choudhary,RITHALA,28-N,BAHUJAN SAMAJ PARTY,804,Lost,,,N,General,255000,87000,,,,,,,,,,,,,,,,10th Pass
Arun Kumar Sharma,RITHALA,28-N,BHARATIYA JANATA PARTY,7546,Lost,,,N,General,631874,0,,,,,,,,,,,,,,,75476,12th Pass
Jitander Singh,RITHALA,28-N,INDEPENDENT,95,Lost,,,N,General,1316000,0,,,,,,,,,,,,,,,,8th Pass
Sughar Singh,RITHALA,28-N,SAMAJWADI PARTY,734,Lost,,,N,General,1339874,0,,,,,,,,,,,,,,,,8th Pass
Nisha,RITHALA,28-N,INDEPENDENT,51,Lost,,,N,General,1621000,0,,,,,,,,,,,,,,,,8th Pass
Vinit,RITHALA,28-N,INDEPENDENT,33,Lost,,,N,General,2247644,1023300,,,,,,,,,,,,,,,,Graduate
Gopal Sharma,RITHALA,28-N,INDEPENDENT,203,Lost,,,N,General,2896860,11704,,,,,,,,,,,,,,,,8th Pass
Archana,HOLAMBI KHURD,4-N,INDEPENDENT,6903,Winner,24307,44639,N,SCW,1013723,63800,Correct,29,married,1,0,yes,no,yes,no,0,0,855219,housewife,business,6903,Post Graduate
Narender Pal Kashyap,RITHALA,28-N,INDEPENDENT,47,Lost,,,N,General,3450500,0,,,,,,,,,,,,,,,,8th Pass
Shakti,RITHALA,28-N,INDEPENDENT,42,Lost,,,N,General,3879717,6200,,,,,,,,,,,,,,,,Graduate
Sushant Mishra,RITHALA,28-N,INDIAN NATIONAL CONGRESS,2643,Lost,,,N,General,5035421,1953340,,,,,,,,,,,,,,,,Graduate
Ashok Vashisht,RITHALA,28-N,INDEPENDENT,2419,Lost,,,N,General,7730836,483928,,,,,,,,,,,,,,,,12th Pass
Satbir Chauhan,RITHALA,28-N,INDEPENDENT,4491,Lost,,,N,General,14901199,0,,,,,,,,,,,,,,,,8th Pass
NOTA,RITHALA,28-N,,145,,,,N,General,,,,,,,,,,,,,,,,,,
Rajni Sharma,UTTAM NAGAR,28-S,INDIAN NATIONAL CONGRESS,6625,Lost,,,S,Women,524634,0,,,,,,,,,,,,,,,,Post Graduate
Suman Rani Kaushik,UTTAM NAGAR,28-S,INDEPENDENT,923,Lost,,,S,Women,1534120,0,,,,,,,,,,,,,,,,5th Pass
Seema Bhatia,UTTAM NAGAR,28-S,INDEPENDENT,90,Lost,,,S,Women,2130834,7000,,,,,,,,,,,,,,,,10th Pass
Aparna Goel,I.P. EXTENSION,19-E,BHARATIYA JANATA PARTY,10124,Winner,28483,56393,E,General,87883483,725782,Correct,46,married,1,0,yes,yes,yes,yes,0,0,48797425,salaried,business,10124,Post Graduate
Sunita Khanna,UTTAM NAGAR,28-S,AAM AADMI PARTY,9338,Lost,,,S,Women,8107845,3280000,,,,,,,,,,,,,,,9338,Graduate
Santra Devi,UTTAM NAGAR,28-S,INDEPENDENT,284,Lost,,,S,Women,25025487,0,,,,,,,,,,,,,,,,10th Pass
NOTA,UTTAM NAGAR,28-S,,247,,,,S,Women,,,,,,,,,,,,,,,,,,
Rani,VIVEK VIHAR,29-E,INDEPENDENT,41,Lost,,,E,General,154000,0,,,,,,,,,,,,,,,,Illiterate
Azad Mohammad,VIVEK VIHAR,29-E,INDEPENDENT,114,Lost,,,E,General,232790,0,,,,,,,,,,,,,,,,5th Pass
Sunil Kumar,VIVEK VIHAR,29-E,INDEPENDENT,170,Lost,,,E,General,2250160,0,,,,,,,,,,,,,,,,12th Pass
Sunita Kaushik,INDER PURI,103-N,BHARATIYA JANATA PARTY,12850,Winner,28991,58797,N,Women,10186576,0,Correct,40,married,2,0,no,no,no,no,0,0,1185576,self employed,,12850,8th Pass
"RITESH
CHATURVEDI",VIVEK VIHAR,29-E,AAM AADMI PARTY,3856,Lost,,,E,General,4474280,2383658,,,,,,,,,,,,,,,,10th Pass
Mohd Javed,VIVEK VIHAR,29-E,INDEPENDENT,31,Lost,,,E,General,5505500,4135474,,,,,,,,,,,,,,,,12th Pass
Nafis Malik,VIVEK VIHAR,29-E,"SAMAJWADI
PARTY",630,Lost,,,E,General,15610823,0,,,,,,,,,,,,,,,,Not Given
"MUZAFFAR
KHAN",VIVEK VIHAR,29-E,INDEPENDENT,18,Lost,,,E,General,25035000,0,,,,,,,,,,,,,,,,Illiterate
Neelam Kumari,VIVEK VIHAR,29-E,"NATIONALIST CONGRESS
PARTY",381,Lost,,,E,General,50504081,4570000,,,,,,,,,,,,,,,,Post Graduate
Preeti,VIVEK VIHAR,29-E,INDIAN NATIONAL CONGRESS,7626,Lost,,,E,General,53114381,0,,,,,,,,,,,,,,,7626,Illiterate
NOTA,VIVEK VIHAR,29-E,,107,,,,E,General,,,,,,,,,,,,,,,,,,
Jaikul,NANGAL THAKRAN,29-N,INDEPENDENT,95,Lost,,,N,Women,110000,0,,,,,,,,,,,,,,,,Illiterate
Aarti,NANGAL THAKRAN,29-N,BHARATIYA JANATA PARTY,9310,Lost,,,N,Women,885189,0,,,,,,,,,,,,,,,9310,Graduate
Suman Dagar,ISAPUR,45-S,BHARATIYA JANATA PARTY,7392,Winner,28616,43091,S,Women,4553531,0,Correct,34,single,0,0,yes,yes,,,0,0,,agriculture,na,7392,Post Graduate
Basanti Devi,NANGAL THAKRAN,29-N,BAHUJAN SAMAJ PARTY,245,Lost,,,N,Women,4078708,0,,,,,,,,,,,,,,,,Illiterate
Neelam Dabas,NANGAL THAKRAN,29-N,INDIAN NATIONAL LOK DAL,1689,Lost,,,N,Women,12872977,0,,,,,,,,,,,,,,,,Others
NOTA,NANGAL THAKRAN,29-N,,131,,,,N,Women,,,,,,,,,,,,,,,,,,
Meena,NANGAL THAKRAN,29-N,AAM AADMI PARTY,6689,,,,N,Women,,,,,,,,,,,,,,,,,,
Neelam,NANGAL THAKRAN,29-N,INDIAN NATIONAL CONGRESS,2893,,,,N,Women,,,,,,,,,,,,,,,,,,
Jyoti,BINDAPUR,29-S,INDEPENDENT,32,Lost,,,S,General,2172000,0,,,,,,,,,,,,,,,,Graduate
Poonam,JAHANGIR PURI,21-N,INDIAN NATIONAL CONGRESS,6038,Winner,18154,33712,N,Women,16812028,1229488,Error -Fixed,43,married,2,0,yes,yes,yes,yes,0,0,9589538,self-employed,self-employed,6038,Illiterate
Sudesh,BINDAPUR,29-S,INDEPENDENT,114,Lost,,,S,General,3270000,0,,,,,,,,,,,,,,,,Literate
Jageshwar Singh,BINDAPUR,29-S,INDEPENDENT,132,Lost,,,S,General,4956658,0,,,,,,,,,,,,,,,,10th Pass
Randhir Singh Tandi,BINDAPUR,29-S,BAHUJAN SAMAJ PARTY,1052,Lost,,,S,General,7913119,3140000,,,,,,,,,,,,,,,,5th Pass
Rohit Kumar,BINDAPUR,29-S,INDEPENDENT,226,Lost,,,S,General,14544775,169898,,,,,,,,,,,,,,,,Graduate
Pradeep Tandon,BINDAPUR,29-S,INDEPENDENT,123,Lost,,,S,General,25463488,0,,,,,,,,,,,,,,,,Post Graduate
Alok Sharma,BINDAPUR,29-S,INDIAN NATIONAL CONGRESS,4048,Lost,,,S,General,75182063,62000,,,,,,,,,,,,,,,,Graduate Professional
Desh Raj Raghav,BINDAPUR,29-S,AAM AADMI PARTY,11222,Lost,,,S,General,169620912,4300000,,,,,,,,,,,,,,,11222,10th Pass
NOTA,BINDAPUR,29-S,,205,,,,S,General,,,,,,,,,,,,,,,,,,
Kamlesh Kumar Shukla,JAITPUR,98-S,BHARATIYA JANATA PARTY,10461,Winner,23830,43702,S,General,3514832,25000,Correct,41,married,3,0,yes,yes,no,no,0,0,5000,business,housewife,10461,10th Pass
Pushpa,TRILOKPURI-WEST,3-E,AAM AADMI PARTY,6093,Lost,,,E,SCW,3593931,0,,,,,,,,,,,,,,,6093,12th Pass
Poonam,TRILOKPURI-WEST,3-E,INDIAN NATIONAL CONGRESS,4399,Lost,,,E,SCW,10500,0,,,,,,,,,,,,,,,,10th Pass
Komal,TRILOKPURI-WEST,3-E,INDEPENDENT,3985,Lost,,,E,SCW,127027,0,,,,,,,,,,,,,,,,12th Pass
NOTA,TRILOKPURI-WEST,3-E,,224,,,,E,SCW,,,,,,,,,,,,,,,,,,
Sultana Abad,JAMA MASJID,85-N,INDIAN NATIONAL CONGRESS,10419,Winner,17216,32550,N,Women,3007264,0,Correct,50,married,1,0,no,no,yes,yes,0,0,1291635,social Worker,business,10419,12th Pass
Priti Singh,ALIPUR,3-N,"LOK JAN
SHAKTI PARTY",839,Lost,,,N,Women,5846280,1000000,,,,,,,,,,,,,,,,10th Pass
Babita,ALIPUR,3-N,BAHUJAN SAMAJ PARTY,4769,Lost,,,N,Women,6075200,200500,,,,,,,,,,,,,,,,12th Pass
Sunita,ALIPUR,3-N,INDIAN NATIONAL CONGRESS,6548,Lost,,,N,Women,7207985,285000,,,,,,,,,,,,,,,,10th Pass
Soniya,ALIPUR,3-N,INDEPENDENT,154,Lost,,,N,Women,10211813,1205844,,,,,,,,,,,,,,,,8th Pass
Meenu,ALIPUR,3-N,AAM AADMI PARTY,8663,Lost,,,N,Women,15453961,0,,,,,,,,,,,,,,,8663,8th Pass
"SUNITA
CHAUHAN",ALIPUR,3-N,INDEPENDENT,422,Lost,,,N,Women,23607022,516440,,,,,,,,,,,,,,,,10th Pass
Sarita,ALIPUR,3-N,JANATA DAL (UNITED),1246,Lost,,,N,Women,57350949,500000,,,,,,,,,,,,,,,,Post Graduate
