wardyear_num	rd_bad_patch_potholes	ws_burst_water_main_lines	bld_change_user_res_comm	strm_cleaning_of_open_swd	drain_cleaning_of_septic_tank	strm_cleaning_water_entrance	strm_cleaning_removal_of_silt	swm_clean_rep_block_channels	swm_collection_pt_not_attend	misc_complaints_miscellenous	ws_contaminated_water_supply	rd_digging_of_roads	drain_drainage_choke_blockage	gdn_fallen_tree_on_road	strm_flooding_during_monsoon	pst_fogging	swm_gbg_lorry_not_report_cove	swm_gbg_not_lifted_gully	swm_gbg_not_lifted_mun_market	swm_gbg_not_lifted_from_road	encr_hawkers	bld_heavy_leakage_from_ceiling	heal_birth_deat_cert_issue	ws_leaks_in_water_lines_meter	gdn_lifting_of_tree_cutting	mun_maint_municipal_property	mun_major_repairs_to_mun_prop	mun_minor_repairs_to_mun_prop	pst_mosquito_nuisance	encr_municipal_colony_slum	encr_municipal_land_foot_swd	encr_municipal_plot	swm_no_attend_public_toilets	swm_non_attend_nuis_detect	ws_non_receipt_water_bills	pst_nuisance_cockroaches	encr_nuisance_due_to_vagrants	pst_nuisance_due_to_white_ants	drain_odour_from_drains	shp_online_renewal_application	shp_open_beyond_permis_hours	bld_other_buildings	misc_others	drain_others_drn	encr_others_ecnr	est_others_estate	lic_others_lic	heal_others_moh	mun_others_rnt	swm_others_swm	ws_others_was	col_others_colony_officer_col	ws_overflow_overhead_tank	drain_overflowing_drn_manhole	bld_perm_temp_monsoon_shed	gdn_perm_for_tree_cutting	encr_private_land_bldg_fact	swm_dustbins	strm_provid_manhole_cover_swd	rd_providing_rd_name_plate	drain_raising_of_manhole	pst_rat_nuisance	rd_reinstatement_of_trenches	rd_relaying_and_repairs_roads	swm_removal_of_dead_animals	swm_removal_of_debris	ws_removal_of_water_meters	strm_repair_damaged_open_swd	rd_repairs_of_road_footpath	drain_repairs_to_pipe_sewers	drain_replacement_manhole	rd_resurfacing_of_road	shp_running_without_license	ws_shortage_of_water_supply	rd_signals	swm_silt_lifted_from_road	rd_speed_breakers	rd_street_lighting	swm_sweeping_of_roads	lic_trade_without_license	gdn_trimming_of_branches	bld_unauth_alteration_bldg	lic_unauth_banners_advt_road	bld_unauth_constr_development	col_unauth_constr_in_slum	est_unauth_constr_reserve_plot	col_unauth_ext_constr	fac_unauth_factory_workshop	lic_unauth_storage_explosives	ws_unauth_tapping_water_conn	pst_unauth_uncov_water_storage	ws_unauth_use_waterchange_user	heal_unauth_food_sell	lic_unauth_stalls_road_foot	lic_unauth_workshop_or_garage	swm_unhygienic_cond_toilets	ws_use_of_booster_pump	castequota_scst	gender_election	genderquota	members	hdi	term	adminward	year
"2016-B"	7.8571429			53.0	4.8571429	32.0		9.25	2.9545455		6.9642857	27.6	5.2760736			16.5625	3.3333333	3.0163934	4.0	4.4285714	13.273256		5.0	7.4285714	3.1111111				12.413043		29.888889		4.0	3.4090909			52.5		8.2	11.333333		14.0						10.0					3.0	5.1		18.0	40.0	2.5	7.4			16.444444		24.666667	4.0	2.826087				6.4545455	10.4	54.928571	14.666667	3.4814815		2.8571429	28.0		3.0	17.730769	62.333333	42.833333	11.0	36.981132	31.0	22.0		30.0	5.3333333	5.0769231	3.0	12.666667	28.875	17.538462	16.0		5.3333333	0.3333333	0.0	0.3333333	3	0.71	2012	"B"	2016
"2016-C"	20.65	10.0		24.0	15.4	17.25	9.5		5.5		6.5142857	38.583333	16.009615	10.5	19.0	18.551724	7.5	6.5045872	5.0	4.3928571	34.5	8.0	29.0	10.4	5.0	32.5	39.0	16.0	22.614035		32.75	31.0	4.6666667	5.6071429			33.142857		14.923077		18.0			1.0	37.0		9.0			4.0			4.3333333	20.112676		18.875		9.75	21.333333	43.0		22.315789	16.0	22.0	3.0	5.8529412		24.5		22.888889	18.125	30.846154	18.75	9.4909091	3.0	3.7368421		32.8	5.8823529	12.0	41.166667		26.428571						33.0	12.4	15.25	10.8	26.333333	34.809524			5.6666667	0.3333333	0.0	0.5	4	0.89	2012	"C"	2016
"2016-D"	19.356863	14.25	40.0	14.708333	13.166667	13.129032	5.0	12.333333	16.0		16.826923	17.533333	18.523901	12.789474	13.0	13.77	27.0	13.76087		15.36	16.47644	24.428571	19.25	15.1875	16.933333	16.571429	24.692308	22.9	12.211382		17.776699	25.428571	16.666667	19.066667	15.0		28.76	17.0	20.5			24.5875		13.5	36.0			41.833333		12.888889			19.590909	19.5	22.666667	23.333333	9.3333333	14.5	14.285714		20.0	16.114286	28.833333	18.5	13.0	20.807692		25.0		11.7	18.133333	17.770833		13.346939	39.5	14.0	34.166667	23.166667	14.714286	52.75	13.606557	20.904348	10.090909	15.871921	86.0			81.0	29.0	16.764706	19.0	20.777778	39.090909	28.608696			16.166667	0.0	0.0	0.2857143	7	0.96	2012	"D"	2016
"2016-E"	13.669492	7.9	29.0	8.0	22.0			8.4	15.288889		10.195402	12.117647	10.005988	18.2	2.0	5.4811321	11.090909	10.865385	4.0	11.711111	12.902857	24.5	20.545455	9.6875	14.571429	17.0	15.0	31.5	6.1509434		17.03125	34.6	5.0	14.564103	6.0	3.0	28.342105	6.25	15.166667	7.0	28.0	19.833333			10.666667		21.25			43.5			7.2	9.8795181	43.5	13.714286	32.2	15.375	12.0	8.0		5.4	10.0	8.6666667	17.0	15.686869		15.5		16.375	15.75	14.052632	20.666667	10.533333	12.0	18.753425	19.642857		10.757576	12.1	12.967213	30.047619	5.03125	27.919075				14.111111		10.176471		6.25	31.90625	15.782609	11.0	14.684211	7.0	0.25	0.0	0.375	8	0.54	2012	"E"	2016
"2016-FN"	5.2512821	6.25	11.0	11.0	14.0	6.7777778	16.0		5.8148148		10.117647	12.433526	11.793651	13.714286	10.5	6.2875	13.0	13.0	17.4	12.55	13.377358	14.555556	12.866667	10.047619	6.8571429	11.0	4.5	12.2	5.9527027	18.75	15.69697	14.777778	5.0	9.3571429	8.5	6.5	11.947368	5.6666667	15.0	5.8333333	16.333333	14.333333			21.2					37.5			7.8636364	8.6833333	10.857143	11.947368	15.5	4.0	12.0	18.0		8.974359	8.5714286	20.5	4.6666667	14.26		10.5		9.1666667	9.2727273	12.142857	14.5	8.9166667	16.5	8.375	11.941176	2.0	8.4615385	16.4	11.589286	12.0	7.8139535	14.475096	27.285714		10.0	11.333333		8.8076923	8.8	11.538462	19.955556	15.708333		7.3333333	10.0	0.3333333	0.0	0.6	10	0.41	2012	"FN"	2016
"2016-FS"	12.482014	44.0	53.0		10.0	17.0		3.0	10.368421		14.875	26.56	9.1743119	29.666667		36.344828	8.25	7.375	1.0	11.307692	20.316667	32.2	58.25	26.933333	10.166667	30.0	41.0	27.25	28.392857		30.777778	50.0	12.5	10.1			28.806452	14.666667	15.6		13.0	80.5			9.0								27.5	10.62069	33.0	26.6	60.0	8.8181818	9.1428571			22.727273	27.0	41.0	4.0	14.233333				13.5	10.6	24.4	10.333333	26.434783	35.2	7.6666667	31.666667	38.333333	7.6666667	8.0	37.181818	35.466667	17.925926	48.814815				45.75		20.772727	72.0	16.333333	42.0	34.708333	34.0	11.5	18.0	0.4285714	0.0	0.5714286	7	0.67	2012	"FS"	2016
"2016-GN"	19.283333	6.0	34.0	4.0	13.6	12.0	27.0	25.166667	10.0		9.5531915	15.333333	7.0458716		26.0	8.5844156		23.727273		19.625	7.5629291	19.5	9.0	9.8	17.8	24.0		12.0	8.2105263	16.25	22.944444	2.0	17.0	22.111111	6.25		23.148148		9.875	15.5	16.333333	31.0		10.0	17.0		5.7			14.3			6.7058824	10.559322	10.0	53.0	22.361111	20.0	17.5	15.0	6.0	8.0652174		41.333333		21.5625	6.0			13.555556	10.0	15.0	18.25	8.3269231		21.8	19.333333	20.0	19.916667	44.875	19.923077	24.722222	14.826923	22.600917	24.88	52.0	21.0	42.666667	26.0	7.4710744	7.8	9.7647059	16.452381	37.346154			7.75	0.6	0.0	0.2727273	11	0.49	2012	"GN"	2016
"2016-GS"	12.481481	23.0	16.0	28.0	19.4	7.0	32.0	14.5	12.958333		15.333333	26.555556	12.382609	28.0	35.0	12.690909	10.8	11.388889		10.75	11.224719	6.6923077		17.5	11.066667	36.666667	11.0	31.857143	11.155844	27.333333	20.861111	25.181818	14.0	14.04	42.0	9.0	22.979167	13.5	20.5	14.5	30.0	8.3571429			7.6666667					15.333333			37.4	13.522388	21.0	28.0	9.8888889	19.75	22.833333	36.0		10.65				13.275862	4.0			23.666667	21.666667	20.692308	22.0	18.95	28.0	11.125	21.7	25.333333	10.857143	23.333333	23.133333	9.4166667	14.773333	10.267857	33.0	22.5		11.0	13.333333	27.0	35.0	22.25	31.5	20.027778		10.0		0.4444444	0.0	0.7777778	9	0.66	2012	"GS"	2016
"2016-HE"	26.333333			27.0	14.5	72.5	36.0	2.6666667	19.685714		25.666667	49.666667	6.3893805		59.0	7.254902	11.25	11.633333	26.0	13.5	22.964912		9.6666667	26.909091	16.7		71.0		7.3188406		39.4		8.6	14.5	24.0	9.0	46.5		5.0	32.0	39.5	32.0											35.0	29.55	59.0	27.0	50.833333	7.7857143				11.391304				16.357143				26.5	38.5	51.666667	31.75	45.307692		12.75	26.5	37.0	11.125	37.444444		28.642857	14.969697	32.978723	50.0			32.5		31.5	6.75	30.0	23.666667	51.571429				0.3636364	0.0	0.5454546	11	0.47	2012	"HE"	2016
"2016-HW"	17.389706	18.428571	50.75		9.0	1.0	23.0		15.478261		22.931034	27.5625	5.59601	26.0		17.892857	8.5	9.6909091	38.0	9.0	11.423077	38.0	30.25	18.52	15.058824		14.0	6.0	19.515625		25.552632	32.333333		7.6666667	16.333333	31.0	16.266667	19.5	20.142857	22.5	19.0												30.4	19.396552		6.5	42.846154	12.25	18.75	47.0		22.941176	21.0	24.166667		10.361111	22.0	10.25		25.2	26.5	32.090909	34.444444	16.618182		18.333333	33.428571	13.333333	7.5714286	62.0	23.75	42.736842	21.1	42.868421	89.75	18.0		49.0		25.5	11.0	15.666667	27.153846	25.333333		1.0	17.5	0.4	0.0	0.6666667	6	0.68	2012	"HW"	2016
"2016-KE"	27.335714	17.454545	18.0	27.333333	23.609756	31.166667	23.571429	23.0	25.0		31.642857	25.377049	12.463462	24.833333	18.315789	18.116564	19.0	22.805556	35.5	20.814815	13.397541		7.5714286	21.376344	21.1	28.0	29.75	29.0	17.172043		28.449664	24.136364	18.6	19.0625	19.615385	6.0	28.854839	23.866667	30.583333	30.0	17.0	16.0		3.0	9.0		27.0	13.0		6.3333333			33.0	25.408602	40.333333	35.631579	50.071429	18.964286	27.327273	36.5	18.0	15.131579	16.5	20.555556	7.0	21.561404	22.0	22.5		22.846154	27.553191	27.791667	24.705882	22.632258	26.666667	16.666667	26.521739	26.171429	30.733333	22.5	24.895833	49.9	9.9831224	42.8				18.6	17.75	21.078431	21.4	28.857143	24.777778	19.082192	13.916667	23.333333	17.6	0.2	0.0	0.7333333	15	0.67	2012	"KE"	2016
"2016-KW"	32.809735	43.666667	32.5	35.285714	29.952381	22.5	28.947368		26.571429		41.842105	34.052632	5.1500525	13.0	35.25	20.264901	18.0	29.4	24.0	44.472222	17.114007	51.6	19.363636	38.5	29.892857	25.5	30.0	30.210526	20.957346		32.367089	36.357143	45.0	33.952381	26.833333	29.0	33.461538	13.666667	20.7	9.6	15.0	15.333333			14.0		5.0						43.0	30.206897	19.0		31.724138	40.24	34.04	49.0	34.0	18.53125	40.5		26.0	27.857143	64.666667	36.6		34.333333	25.0	39.5	12.941176	31.172727	42.0	21.935484	34.7	32.85	29.166667	22.041667	19.8	44.535714	12.22314	42.632035	4.0			27.071429	16.333333	43.206897	21.0	37.666667	22.65625	21.392857	9.0	3.0	54.5	0.25	0.0	0.3846154	13	0.66	2012	"KW"	2016
"2016-L"	7.4694836		34.5		5.8571429		5.0	35.0	24.892857		4.25	7.3333333	12.067797	22.5	24.0	29.863636	28.166667	26.035088	9.0	21.6875	31.941176	28.823529	23.0	7.5	20.571429	8.5	5.0		30.838235		5.7692308		28.666667	21.916667		43.0	11.0	24.857143	29.5	30.0	33.0	42.5								9.0			6.0	8.9655172	12.5	19.0	34.829787	28.2	3.0	10.0		32.473684			15.0	22.956522				14.75	6.0	6.75	30.666667	4.75		20.333333		8.0	19.84375	10.0	16.25	35.769231	27.257426	32.733333	27.0	19.25	69.0	23.333333		6.6666667		8.0	15.0	14.333333		27.666667		0.2	0.0	0.6666667	15	0.29	2012	"L"	2016
"2016-ME"	8.6201117		15.0	17.5	14.892857	10.0	16.222222	36.0	24.416667		54.0	17.538462	11.527397		8.1666667	11.942857	32.0	29.866667	10.0	31.454545	55.055556		24.0	47.6	31.0	9.0	10.6	17.0	13.079646	38.5	10.838235	19.380952	41.75	26.416667		10.5	10.877551	12.5	11.0		5.0	31.0		10.0						60.0				11.878049	17.0	11.818182	42.692308	40.25	11.222222	11.5	16.0	11.35	6.0	13.333333	62.0	33.846154		13.857143		15.214286	13.0	18.181818	23.0	39.333333	11.0	27.0	13.714286	10.375	33.833333	57.777778	12.0	39.8	42.0	29.730263	46.814815	14.25	59.0	62.666667	41.0	49.0	24.0		30.0	25.066667		41.666667		0.4615385	0.0	0.3846154	13	0.05	2012	"ME"	2016
"2016-MW"	41.811881	14.625		14.0	39.266667	45.0	37.25	32.25	15.777778		11.157895	28.444444	33.091667		28.0	9.7333333	23.625	17.857143		40.111111	23.813559	102.0	25.0	8.8055556	17.846154	13.666667	57.0	8.5	12.493827		31.545455	46.75	32.5	34.6875			32.891892	11.5	31.4	4.0		39.0											11.0	28.670886		49.0	38.714286	17.0	34.764706	32.0		10.0	23.0	33.0	16.0	34.0	17.5	26.0		21.4	30.8125	21.090909	22.0	12.5		24.0	34.142857	35.681818	23.25	29.75	44.375	42.0	5.9795918	42.733333		55.5		29.0		17.533333	24.5	10.0	30.0	31.454545		14.0	6.75	0.1666667	0.0	0.75	8	0.33	2012	"MW"	2016
"2016-N"	13.56	13.69697		30.555556	28.7	31.0	26.230769	3.0	6.3939394		25.125	12.153846	22.844961		25.636364	8.6373626	6.4090909	6.8055556		8.6923077	12.140741		9.4285714	14.994413	11.393939			23.0	9.8294118	18.5	20.02439	24.583333	6.0	7.6551724	31.25	8.3333333	31.513514	16.428571	27.0	6.0		15.0		2.0	12.2			11.0		8.0		3.0	15.75	21.128205		31.8	31.0	6.7222222	26.133333	33.0	5.0	5.8235294		12.416667	6.0	8.7391304		10.333333		41.25	19.461538	23.285714	30.5	19.075	11.8	6.375	32.666667	31.727273	6.4347826	23.259259	33.583333	22.25	10.80198	32.454545	4.6969697		3.0	18.5	53.5	17.038462	7.3333333	14.333333	15.2	23.303571	18.5	11.5	3.0	0.1818182	0.0	0.5	12	0.52	2012	"N"	2016
"2016-PN"	15.109195	22.714286	23.5	35.85	21.0	22.25	3.5	36.0	25.947368		21.931507	16.238095	15.246032	8.0	31.2	11.494444	37.777778	37.933333		24.470588	19.119266	33.333333	18.571429	22.428571	30.066667	35.0	32.0	30.0	11.619048		19.694737	20.181818	25.5	40.675	18.636364	20.75	29.345455	13.375	24.428571	12.5	11.6	17.25		14.666667	6.0			5.0		8.0			24.0	27.756522	42.0	31.363636	23.2	30.75	21.470588		4.0	12.880952	23.2	9.1428571	24.5	32.452381	7.3333333	17.333333		15.166667	18.928571	16.111111	12.774194	21.078261	9.0	31.263158	18.535714	20.76	27.714286	19.64	18.896552	27.066667	18.228346	20.949008				30.076923	54.5	23.1375	9.5	26.466667	23.583333	22.5	15.0	50.571429	24.0	0.1333333	0.0	0.3125	16	0.47	2012	"PN"	2016
"2016-PS"	9.7813953	12.0	43.0	24.571429	6.0	18.0	24.0		12.044444		23.25	25.16	15.375723	36.571429	24.0	15.378049	15.75	13.913043	23.0	17.233333	13.590909	80.285714	9.15	24.111111	15.384615				16.306122		24.454545	33.75	28.0	14.0625	27.8	23.0	47.454545		25.5	22.0	29.2	23.777778								8.0			16.0	23.190476	29.0	40.333333	16.9	13.65	24.875			9.1818182		18.478261	8.6	11.827586	29.5	33.0		35.166667	25.789474	33.625	25.333333	24.590909		13.636364	35.833333	28.0	8.7368421	18.5	39.2	40.0	9.8586957	29.24				31.0		34.526316	22.166667	58.714286	14.333333	35.928571	11.0	45.0	27.5	0.5	0.0	0.625	8	0.59	2012	"PS"	2016
"2016-RC"	20.731959	51.5		29.0	29.0	19.0		11.0	12.207547		30.62069	31.666667	6.104918	40.166667	18.6	15.392	11.555556	13.625	4.0	13.12	21.504505	21.5	12.0	28.15	12.2			8.0	16.572327		41.833333	13.0	10.5	14.6	32.333333	10.0		14.25	16.833333	32.0					12.0			41.5		8.0			20.0	21.357143		38.0	16.5	14.458333	34.0			19.777778			3.0	13.541667	44.0			18.142857	16.0625	31.571429	48.0	32.046729	25.0	8.2777778	35.0	40.785714	13.05	23.142857	36.036145	46.625	7.6181818	31.96				39.25	14.0	23.814815	9.0	26.0	15.172414	28.0	14.0		34.4	0.0	0.0	0.6	10	0.84	2012	"RC"	2016
"2016-RN"	53.619048	14.0		43.0	30.857143	41.0		15.0	36.0		11.375	42.5	4.9065421		24.0	38.535714	14.666667	17.0		1.5	24.357143	52.0	39.0	9.25	11.333333	88.0			34.7		38.28125	48.0	19.5	6.5	5.875		78.0	4.0	42.5			42.666667			18.0					6.0			12.0	31.73913	14.0	72.333333	38.428571	15.571429	62.333333			35.818182		43.0		9.2	28.0	17.0		15.75	25.75	27.727273		12.461538		7.6666667	72.5	97.75	18.5	31.5	66.125	34.576923	38.1	29.141791				37.5		12.9		11.8		40.571429		46.0	12.8	0.1428571	0.0	0.5714286	7	0.69	2012	"RN"	2016
"2016-RS"	14.136232	15.1875	27.0	27.875	23.0	34.368421	32.0	44.5	11.148148		20.464286	19.086957	12.797101	13.285714	31.285714	13.878788	3.0	14.875		21.625	36.86	20.142857	18.333333	23.342857	10.48	49.0	18.666667	36.5	13.386364		24.144928	24.428571	17.333333	15.611111	26.6	8.1666667	31.361111	9.6666667	17.0	6.0	4.0	10.75		9.8333333		27.0		2.0		23.0			29.0	22.896104	24.0	22.7	25.333333	22.681818	32.333333	24.4	25.0	13.619048	16.166667	23.714286		15.258065	9.75	28.666667		20.0	22.875	25.813953		17.767123	18.0	19.318182	31.615385	22.333333	15.857143	39.923077	18.866667	25.325	20.078125	24.878924	18.571429			50.0	36.0	10.576923	8.5	4.5	18.647059	28.972973		3.0	7.8333333	0.5454546	0.0	0.4545455	11	0.54	2012	"RS"	2016
"2016-S"	33.943396	21.586207		28.0	28.0	18.5	27.428571	14.5	8.3448276		19.066667	23.0	22.259615		28.454545	18.480519	10.545455	17.387097		14.058824	27.7625	52.5	27.428571	18.611111	5.1111111	24.0	28.666667		20.566667	13.5	30.129032	29.5	40.0	9.25	30.285714	40.0	31.230769	12.5	25.0	12.5		32.5		26.0	34.5					29.0			29.6	27.322581	37.0		24.285714	17.153846	31.583333	36.0	15.5	32.551724		17.142857	5.6666667	20.736842	11.0	28.333333		29.0	31.875	29.16	16.230769	21.333333	6.0	9.9444444	37.333333	29.571429	19.461538		29.0	28.181818	8.8358209	25.438525	17.36		4.0	26.166667	13.0	16.964286		25.25	46.666667	30.842105		10.0		0.4615385	0.0	0.2307692	13	0.51	2012	"S"	2016
"2016-T"	9.37	7.4285714		28.0	26.571429	26.5	12.0	20.0	11.0		15.125		35.04	41.0	32.333333	9.0793651	19.0	14.6	8.0	15.0	34.363636	37.666667		11.446809	8.6	33.0		42.0	9.8539326	4.0	31.709677	21.0		12.166667	9.5	9.0	44.0	9.6666667	51.0		12.0	36.0								5.0			10.0	36.25	60.0	39.666667	47.25	11.0	41.0	8.0		9.0	11.5		12.333333	14.04	13.333333			20.75	20.0	16.5	16.0	12.956522	22.0	13.666667	37.0	46.791667	12.1	16.066667	44.285714	40.181818	17.931034	38.177778	17.0		32.0	21.0		15.0	9.5	4.5	3.0	19.941176		15.75	10.6	0.6	0.0	0.5	6	0.76	2012	"T"	2016
"2017-A"	32.52	14.0	46.0	142.6	274.5	123.0	90.75		51.5		24.393939	29.214286	152.38251	167.0	140.0	43.894737	115.0	116.21277	1.0	43.722222	74.54918	90.555556	100.0	21.428571	35.888889	67.0	26.0	87.555556	46.514286		104.8625	183.5	215.66667	112.7619	25.0	130.0	122.375		227.78571	22.64	35.0					147.5		221.0					79.0	160.74286	176.0	14.333333	49.571429	95.235294	45.0	134.28571		50.0	31.0	80.368421		52.035714		119.0		181.0	129.83333	53.74359	57.375	20.688889	149.66667	2.52	100.33333	132.875	24.25	63.666667	75.875	68.866667	37.15	62.442424	99.0			94.75	9.0	18.5	42.0	31.571429	85.205882	97.3		1.0	11.0	0.3333333	0.0	0.6666667	3	0.58	2017	"A"	2017
"2017-B"	17.885714				9.5			2.0	1.7		5.4666667	42.0	21.490066			78.090909	1.0	2.5454545		1.9772727	49.379433		220.0	3.3333333	3.25		14.0		128.4		97.666667			2.6818182			123.25	124.0	6.0	34.0													2.0	27.351351			18.6	1.6923077			14.0	147.79167		124.5		1.5666667				14.5625	42.125	48.571429	21.142857	4.6027397		1.6			1.125	64.133333		8.0	59.75	16.735849	195.0				51.0	8.5	125.0	3.0	112.2	68.5625	11.333333	1.5	9.0	0.5	0.0	1.0	2	0.71	2017	"B"	2017
"2017-C"	30.385714	6.7272727		64.642857	38.0	44.580645		11.333333	5.6666667		5.2111111	51.166667	26.337748	30.0	64.333333	51.454545	1.1666667	2.507772	8.0	2.0190476	36.407821			5.3181818	1.1666667	16.5	144.75	80.875	46.153846	128.0	48.074074	72.0	1.0	3.8571429	6.0		53.211765		35.4	34.791667	20.25					55.0							2.5	38.549296		19.5	109.5	1.0	67.333333	125.33333		70.764706	210.0	47.75		5.9722222		19.0		16.277778	29.916667	27.904762	35.222222	5.4684685		5.1666667	31.0	68.5	2.0434783	65.902439	40.6		77.318182		46.0				140.0	6.3333333	109.0	5.6666667	234.0	66.672414	105.66667	1.0	1.0	0.3333333	0.0	0.3333333	3	0.89	2017	"C"	2017
"2017-D"	22.575581	14.111111	74.4	19.333333	15.416667	18.035714	12.333333	1.2	71.375		12.836364	29.8	43.105769	12.4375	13.2	15.382022	1.3333333	23.613445	265.0	23.390909	41.103896	56.875	31.809524	11.666667	3.6785714	17.5	54.833333	33.142857	11.111111	189.0	28.613636	25.0	1.0	41.639344			24.934066	17.75	34.888889	77.794118	175.5					143.4							16.45	48.228216	22.6	18.666667	45.758621	30.470588	41.0	29.6	139.0	16.375	18.615385	34.172414	27.833333	40.855422	17.666667	27.2		63.5	118.95652	26.092105	188.77778	12.96748	151.75	70.9375	47.333333	22.954545	45.5	59.742857	13.8125	45.870748	12.304348	44.870861	97.3	126.0	22.0	32.0	61.5	11.636364	21.0	8.2857143	76.173913	41.628571	32.857143	58.0		0.5	0.0	0.6666667	6	0.96	2017	"D"	2017
"2017-E"	19.941176	23.0	17.7	12.0	29.6	12.75	4.0	4.4	3.5882353		20.779412	39.142857	14.214592	13.666667	9.6666667	6.2	1.6363636	3.2947368	1.25	2.5	20.472603	29.916667	13.142857	19.5	3.3076923	32.916667	42.333333	26.0	6.1549296		29.890411	12.0	5.8	3.2352941			23.622951	12.5	17.428571	14.6	31.333333				36.291667	34.0							17.166667	16.300654	23.5	41.272727	34.72043	2.8571429	26.5	19.5		6.9861111		44.571429	1.0	9.3267327		24.5		21.071429	17.888889	29.02439	23.466667	18.029412	49.0	14.210526	39.5	38.6	3.2941176	17.416667	15.473684	27.072072	4.7272727	30.56848	98.428571	68.0	75.0	11.2	9.0	17.0	8.1818182	9.3333333	26.825397	42.020408		1.0	32.2	0.2857143	0.0	0.4285714	7	0.54	2017	"E"	2017
"2017-FN"	15.561151	13.6	10.75	8.3333333	16.625	15.583333	35.5	3.5	5.0526316		10.4375	31.479769	16.772727	50.0	49.6	13.393939	13.454545	7.0243902	14.875	3.3186813	15.512415	15.3125	12.545455	15.40625	2.5333333	17.7	5.375	21.0	13.911765	15.0	25.388889	22.636364	24.666667	3.5892857	8.0	6.75	30.853659	13.4	6.1428571	7.2727273	14.5					18.888889							9.0833333	18.366667	19.7	9.5	12.157895	2.5217391	20.833333	27.428571		10.285714	26.153846	15.533333	1.25	4.474359		11.571429		24.111111	23.214286	15.625	14.727273	8.7076923	11.4	10.277778	25.24	20.6	5.3333333	7.3125	26.862069	13.771429	9.1904762	15.795699	16.75			16.333333	3.0	11.185185	15.1	12.909091	16.529412	13.526316	13.0	5.75	7.3333333	0.4	0.0	0.4	10	0.41	2017	"FN"	2017
"2017-FS"	29.061224	17.0	55.5	94.0	70.777778	32.0	2.5	7.0	1.25		22.714286	28.363636	41.205128		113.5	22.807692	1.0666667	2.0		1.6428571	42.384615	71.090909	89.5	25.916667	15.846154	99.5	62.5	38.0	20.290323		57.9	41.4	8.0	32.086957	18.5	49.0	54.328571	25.0	114.2	5.3666667	15.0				72.833333	99.2							32.2	67.791667	135.0	8.0	136.31818	23.4375	64.857143		17.0	32.25	60.5	31.423077		3.4761905	15.0	74.666667		39.875	30.0	29.947368	18.444444	37.411765	36.0	5.1666667	49.142857	52.0	10.894737	95.555556	83.8125	79.7	42.380952	74.868421	103.0		142.0	96.0	101.66667	47.363636	23.166667	32.5	96.736842	50.473684		1.0	14.0	0.2857143	0.0	0.5714286	7	0.67	2017	"FS"	2017
"2017-GN"	54.30303	15.0	124.0		156.21429			57.25	21.461538		24.022222	91.333333	117.32468		137.0	16.8	32.666667	7.804878	34.625	23.977011	11.34072	88.5	50.4	11.857143	13.153846	31.0			14.01	22.0	62.25		1.5	52.675926	56.0	10.5	95.454545	12.5	175.33333	83.952381	150.66667												20.909091	136.75	207.0		138.95238	25.933333		62.0	90.0	14.588235		70.875	1.25	50.144231	14.5			134.1	148.33333	52.967742	151.72727	15.119048	2.0	58.9	127.0	206.0	23.615385	95.57971	30.0	206.68	59.953125	121.5672	32.715596	45.142857	78.615385	173.75	47.333333	12.469136	8.4	15.75	20.558824	69.069444	58.4	124.5	19.285714	0.2727273	0.0	0.6363636	11	0.49	2017	"GN"	2017
"2017-GS"	30.0	56.0	27.2	36.0	100.72727	140.23077	63.5	1.0	8.4444444		48.529412	46.470588	67.651685	86.0	67.555556	19.153846	1.3333333	4.7083333	1.0	3.6086957	49.301775	18.2		31.75	1.8571429	119.25	104.2	64.769231	16.208791	174.0	50.959184	10.0	2.0	7.3428571		10.0	48.967213		31.5	23.527778	37.5					349.0							56.5	88.011364	18.25	37.571429	17.115385	3.25	121.0	128.75		17.107143	46.0	41.346154	2.0	7.4776119	11.0	101.16667		139.85714	111.21739	48.740741	32.785714	26.655172	51.0	1.3333333	39.714286	45.615385	4.7692308	29.333333	63.941176	15.851613	40.0	17.676923	227.63636		182.1	31.333333	59.571429	44.375	34.0	42.6	178.97561	51.348485	69.0	13.285714		0.4285714	0.0	0.1428571	7	0.66	2017	"GS"	2017
"2017-HE"	48.798507	93.8	58.5	46.0	68.75	61.0	54.5	2.0	11.545455		54.362069	93.173913	23.674419	110.0	38.615385	6.2307692	10.857143	5.625	1.0	6.3275862	45.77305	24.0	26.0	61.058824	9.1071429	23.0	35.5	90.142857	8.3076923	137.28571	99.506024	158.16667	15.285714	10.413043	53.333333	42.0	86.642857	7.0	50.0	24.969697	32.0					44.833333							102.0	54.365854	75.75	24.5	60.0	19.545455	95.857143	60.8		5.3684211	150.0	90.631579	1.0	9.7058824	11.0	142.0		63.444444	44.791667	52.487179	23.818182	53.263158	215.0	6.6190476	102.09091	56.272727	2.9473684	61.777778	68.052632	62.9	29.180328	68.620192	93.6	16.75	95.6	43.666667	88.666667	70.2	5.5	98.166667	45.259259	87.697674	75.333333	3.1428571	8.0	0.4	0.0	0.4	10	0.47	2017	"HE"	2017
